"Conditions","Condições"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Quando ativado, os parâmetros de paginação serão incluídos nos URLs canónicos para conteúdo paginado."
"Strip store codes from canonicals","Remover códigos de loja dos canónicos"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Remova os códigos de loja dos URLs canónicos para uma estrutura de URL mais limpa ao usar múltiplas vistas de loja."
"Cross-domain canonical URL","URL canónico entre domínios"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Configure URLs canónicos para apontar para um domínio preferido quando o conteúdo existe em múltiplos domínios."
"HTTPS URLs for cross-domain canonical","URLs HTTPS para canónico entre domínios"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Force o protocolo HTTPS nos URLs canónicos entre domínios por segurança e consistência."
"Product page settings","Definições da página de produto"
"Configure canonical URL behavior specifically for product pages.","Configure o comportamento dos URLs canónicos especificamente para páginas de produto."
"Product canonical URL format","Formato de URL canónico de produto"
"Choose between shortest/longest path format for product canonical URLs.","Escolha entre o formato de caminho mais curto/mais longo para os URLs canónicos de produto."
"Canonical tag for child products","Etiqueta canónica para produtos filhos"
"Define canonical URL behavior for child products within complex product types.","Defina o comportamento dos URLs canónicos para produtos filhos em tipos de produtos complexos."
"Configurable product","Produto configurável"
"Set canonical tag behavior for simple products that are part of configurable products.","Defina o comportamento da etiqueta canónica para produtos simples que fazem parte de produtos configuráveis."
"Grouped product","Produto agrupado"
"Set canonical tag behavior for simple products that are part of grouped products.","Defina o comportamento da etiqueta canónica para produtos simples que fazem parte de produtos agrupados."
"Bundle product","Produto conjunto"
"Set canonical tag behavior for simple products that are part of bundle products.","Defina o comportamento da etiqueta canónica para produtos simples que fazem parte de produtos conjuntos."
"Category page settings","Definições da página de categoria"
"Configure canonical URL behavior specifically for category pages.","Configure o comportamento dos URLs canónicos especificamente para páginas de categoria."
"Canonical URL for filtered categories","URL canónico para categorias filtradas"
"Define how canonical URLs should handle category pages with active filters.","Defina como os URLs canónicos devem tratar as páginas de categoria com filtros ativos."
"Filter inclusion in canonical URL","Inclusão de filtro no URL canónico"
"Configure which specific filters should be included in canonical URLs.","Configure quais os filtros específicos a incluir nos URLs canónicos."
"Enable link rel=""next/prev""","Ativar link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implemente etiquetas de relação de paginação para ajudar os motores de pesquisa a compreender a estrutura do conteúdo paginado."
"Meta Robots settings","Definições de Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Controle o comportamento de indexação e rastreamento com meta etiquetas e cabeçalhos Robots."
"Custom robots rules by URL pattern","Regras de robots personalizadas por padrão de URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Configure diretivas de meta etiqueta Robots personalizadas para padrões de URL específicos."
"Robots meta header for HTTPS","Cabeçalho meta Robots para HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Configure o comportamento do cabeçalho X-Robots-Tag especificamente para páginas HTTPS."
"Alternate and hreflang settings","Definições de alternativo e hreflang"
"Configure alternate language version indicators for international SEO optimization.","Configure indicadores de versão de idioma alternativo para otimização SEO internacional."
"Enable alternate and hreflang links","Ativar hiperligações alternativas e hreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Ative as etiquetas de versão de idioma alternativo para ajudar os motores de pesquisa a apresentar a versão de idioma/região correta aos utilizadores."
"Manual alternate setting","Definição alternativa manual"
"Configure specific store relationships for hreflang tag generation.","Configure relações de loja específicas para a geração de etiquetas hreflang."
"Hreflang x-default settings","Definições x-default do Hreflang"
"Specify which store view should be used as the default language fallback.","Especifique qual a vista de loja a usar como idioma predefinido de reserva."
"Hreflang locale code","Código de localidade Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Substitua o código de localidade predefinido usado nos atributos hreflang para esta vista de loja."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Designe este site como a versão de idioma predefinida quando apropriado."
"Add locale code to hreflang","Adicionar código de localidade ao hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Adicione automaticamente códigos de localidade aos atributos hreflang com base nas definições de localidade da loja."
"Simplify category alternate links","Simplificar hiperligações alternativas de categoria"
"Remove extra parameters from category alternate URLs.","Remova parâmetros adicionais dos URLs alternativos de categoria."
"Include hreflang links in sitemap","Incluir hiperligações hreflang no mapa do site"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Adicione indicadores de idioma alternativo aos mapas do site XML para melhorar o SEO em múltiplos idiomas."
"Manage URL redirects to maintain SEO value and improve user experience.","Gira os redireccionamentos de URL para manter o valor SEO e melhorar a experiência do utilizador."
"Trailing slash redirects","Redireccionamentos com barra final"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Normalize o formato de URL garantindo uma utilização consistente da barra final em todo o site."
"Process URLs","Processar URLs"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Aplique a definição de barra final a todos os URLs existentes na base de dados.<br/>Guarde a configuração antes de premir o botão."
"Redirect URLs to lowercase","Redirecionar URLs para minúsculas"
"Force lowercase URL format to prevent duplicate content from case variations.","Force o formato de URL em minúsculas para evitar conteúdo duplicado devido a variações de maiúsculas/minúsculas."
"Page types allowed for lowercase redirects","Tipos de página permitidos para redireccionamentos em minúsculas"
"Specify which page types should be included in lowercase redirection rules.","Especifique quais os tipos de página a incluir nas regras de redireccionamento em minúsculas."
"SEO-friendly URL settings","Definições de URL compatíveis com SEO"
"Configure URL structure optimization for better search engine visibility.","Configure a otimização da estrutura de URL para melhor visibilidade nos motores de pesquisa."
"Create shorter category URLs","Criar URLs de categoria mais curtos"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Gere URLs de categoria mais curtos e limpos eliminando os caminhos de categoria pai."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Aplique a remoção do caminho de categoria pai a todos os URLs de categoria existentes na base de dados.<br/>Guarde a configuração antes de premir o botão."
"Product","Produto"
"URL key template","Modelo de chave de URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Defina um modelo estruturado para a geração automática de chaves de URL de produto usando atributos de produto.<br/><br/>Exemplo:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Para aplicar a todos os produtos, execute em ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Informações adicionais:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","A função está desativada se o campo atual estiver vazio."
"Use template for new product URLs","Usar modelo para novos URLs de produto"
"Automatically generate URL keys based on the template when creating new products.","Gere automaticamente chaves de URL com base no modelo ao criar novos produtos."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Se ativado, a extensão irá substituir a chave de URL nativa do Magento <br/>"
"Update URLs on visibility change","Atualizar URLs ao alterar a visibilidade"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Regenere as chaves de URL quando a visibilidade do produto for atualizada para manter a consistência."
"SEO-friendly product image settings","Definições de imagens de produto compatíveis com SEO"
"Optimize product image filenames and attributes for better image search visibility.","Otimize os nomes de ficheiros e atributos das imagens de produto para melhor visibilidade na pesquisa de imagens."
"Enable SEO-friendly image URLs","Ativar URLs de imagem compatíveis com SEO"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Gere nomes de ficheiros de imagem descritivos e ricos em palavras-chave para imagens de produto.<br><strong>Aviso:</strong> Esta funcionalidade pode causar problemas de desempenho significativos ao usar armazenamento remoto (AWS S3, Azure Blob, etc.) devido a chamadas de API adicionais necessárias para verificar a existência de ficheiros. Para lojas com armazenamento remoto, considere manter esta opção desativada ou espere tempos de carregamento de página mais elevados."
"Image name template","Modelo de nome de imagem"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Defina o padrão para gerar nomes de ficheiros de imagem compatíveis com SEO usando atributos de produto.<br/>Se estiver vazio, será usado [product_name]."
"Autogenerate image alt and title","Gerar automaticamente alt e título de imagem"
"Automatically create descriptive alt and title attributes for product images.","Crie automaticamente atributos alt e título descritivos para imagens de produto."
"Image alt template","Modelo de alt de imagem"
"Define the pattern for generating image alt text using product attributes.","Defina o padrão para gerar texto alt de imagem usando atributos de produto."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Para obter o valor no modelo de imagem (normalmente image_with_borders.phtml), use $block->getLabel()"
"Image title template","Modelo de título de imagem"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Defina o padrão para gerar atributos de título de imagem usando atributos de produto.<br/>Se estiver vazio, será usado um valor do campo 'Modelo de alt de imagem'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Para obter o valor no modelo de imagem (normalmente image_with_borders.phtml), use $block->getTitle()"
"Product breadcrumbs","Breadcrumbs de produto"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Configure a geração de trilho de breadcrumb na página de produto para melhorar a navegação e o SEO."
"Appearance","Aparência"
"Define when and how custom breadcrumb trails should appear on product pages.","Defina quando e como os trilhos de breadcrumb personalizados devem aparecer nas páginas de produto."
"Format","Formato"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Escolha entre o caminho mais curto (nível de categoria mais alto) ou o caminho mais longo (categoria mais profunda) para a geração de breadcrumbs."
"Include brand","Incluir marca"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Adicione a marca do produto como um item de breadcrumb no trilho de navegação. A marca aparecerá como um elemento de breadcrumb clicável antes do nome do produto."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information.","Especifique qual o atributo de produto que contém informações de marca."
"Brand format","Formato de marca"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Escolha como o item de breadcrumb de marca é apresentado. ""Apenas marca"" mostra apenas o nome da marca. ""Categoria + Marca"" mostra o nome da categoria pai seguido do nome da marca num único item de breadcrumb."
"Alternate settings","Definições alternativas"
"Open Graph image URL","URL da imagem Open Graph"
"If empty Open Graph will use logo image URL","Se estiver vazio, o Open Graph usará o URL da imagem do logótipo"
"General information","Informações gerais"
"Is active","Está ativo"
"Canonical URL","URL canónico"
"Visible in store view","Visível na vista de loja"
"Check URL for regular expression","Verificar URL com expressão regular"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","Neste campo, use apenas expressão regular. Deixe em branco para desativar.<br/>Por exemplo: /orion-two-tone-fitted-jacket/<br/>Se o URL da página corresponder a esta expressão e as outras condições forem cumpridas, a regra será aplicada."
"Additional","Adicional"
"Sort order","Ordem de classificação"
"Comments","Comentários"
"Add canonical rewrite","Adicionar reescrita canónica"
"Change status","Alterar estado"
"Delete items","Eliminar itens"
"Are you sure you want to delete the selected items?","Tem a certeza de que pretende eliminar os itens selecionados?"
"ID","ID"
"Regular expression","Expressão regular"
"Status","Estado"
"Store view","Vista de loja"
"Request URL","URL de pedido"
"Target URL","URL de destino"
"Redirect type","Tipo de redireccionamento"
"HTTP response status code that will be used when redirecting.","Código de estado de resposta HTTP que será usado ao redirecionar."
"Redirect only if the request URL can't be found (404)","Redirecionar apenas se o URL do pedido não for encontrado (404)"
"Request URL and Target URL cannot be the same.","O URL de pedido e o URL de destino não podem ser iguais."
"Target URL must be different from Request URL.","O URL de destino tem de ser diferente do URL de pedido."
"Auto-redirect for removed products","Redirecionamento automático para produtos removidos"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Redireciona automaticamente os URLs de produtos desativados ou eliminados para um destino ativo relevante em vez de devolver um erro 404. Os destinos são resolvidos por ordem de prioridade: a primeira categoria ativa do produto, depois o URL alternativo e, por fim, a página inicial. As regras geradas aparecem em Marketing &#8594; SEO &#8594; Redirects e podem ser editadas ou removidas."
"Enable auto-redirect on disable","Ativar redirecionamento automático ao desativar"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Gera um redirecionamento quando um produto é definido como Desativado. Reativar o produto remove o respetivo redirecionamento automático."
"Enable auto-redirect on delete","Ativar redirecionamento automático ao eliminar"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Gera um redirecionamento quando um produto é eliminado, utilizando o URL do produto capturado no momento da eliminação."
"Fallback URL","URL alternativo"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Destino utilizado quando um produto removido não tem qualquer categoria ativa. Deixe em branco para redirecionar para a página inicial."
"301 preserves link equity (recommended); 302/307 are temporary.","301 preserva a autoridade das ligações (recomendado); 302/307 são temporários."
"Source","Origem"
"Manual","Manual"
"Auto","Automático"
"Auto-generated for removed product #%1","Gerado automaticamente para o produto removido n.º %1"
