"Conditions","Koşullar"
"Strip store codes from canonicals","Canonical'lardan mağaza kodlarını kaldır"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Birden fazla mağaza görünümü kullanırken daha temiz bir URL yapısı için canonical URL'lerden mağaza kodlarını kaldırın."
"Cross-domain canonical URL","Çapraz alan canonical URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","İçerik birden fazla etki alanında bulunduğunda, canonical URL'leri tercih edilen bir etki alanına işaret edecek şekilde yapılandırın."
"HTTPS URLs for cross-domain canonical","Çapraz alan canonical için HTTPS URL'leri"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Güvenlik ve tutarlılık için çapraz alan canonical URL'lerde HTTPS protokolünü zorunlu kılın."
"Product page settings","Ürün sayfası ayarları"
"Configure canonical URL behavior specifically for product pages.","Canonical URL davranışını özellikle ürün sayfaları için yapılandırın."
"Product canonical URL format","Ürün canonical URL formatı"
"Choose between shortest/longest path format for product canonical URLs.","Ürün canonical URL'leri için en kısa/en uzun yol formatı arasında seçim yapın."
"Canonical tag for child products","Alt ürünler için canonical etiketi"
"Define canonical URL behavior for child products within complex product types.","Karmaşık ürün türlerindeki alt ürünler için canonical URL davranışını tanımlayın."
"Configurable product","Yapılandırılabilir ürün"
"Set canonical tag behavior for simple products that are part of configurable products.","Yapılandırılabilir ürünlerin parçası olan basit ürünler için canonical etiketi davranışını ayarlayın."
"Grouped product","Gruplu ürün"
"Set canonical tag behavior for simple products that are part of grouped products.","Gruplu ürünlerin parçası olan basit ürünler için canonical etiketi davranışını ayarlayın."
"Bundle product","Paket ürün"
"Set canonical tag behavior for simple products that are part of bundle products.","Paket ürünlerin parçası olan basit ürünler için canonical etiketi davranışını ayarlayın."
"Category page settings","Kategori sayfası ayarları"
"Configure canonical URL behavior specifically for category pages.","Canonical URL davranışını özellikle kategori sayfaları için yapılandırın."
"Canonical URL for filtered categories","Filtrelenmiş kategoriler için canonical URL"
"Define how canonical URLs should handle category pages with active filters.","Canonical URL'lerin aktif filtreli kategori sayfalarını nasıl ele alması gerektiğini tanımlayın."
"Filter inclusion in canonical URL","Canonical URL'ye filtre dahil etme"
"Configure which specific filters should be included in canonical URLs.","Hangi filtrelerin canonical URL'lere dahil edileceğini yapılandırın."
"Enable link rel=""next/prev""","link rel=""next/prev"" etkinleştir"
"Implement pagination relationship tags to help search engines understand paginated content structure.","Arama motorlarının sayfalanmış içerik yapısını anlamasına yardımcı olmak için sayfalama ilişki etiketleri uygulayın."
"Meta Robots settings","Meta Robots ayarları"
"Control indexing and crawling behavior with Robots meta tags and headers.","Robots meta etiketleri ve başlıklarıyla indeksleme ve tarama davranışını kontrol edin."
"Custom robots rules by URL pattern","URL desenine göre özel robots kuralları"
"Configure custom Robots meta tag directives for specific URL patterns.","Belirli URL desenleri için özel Robots meta etiketi yönergeleri yapılandırın."
"Robots meta header for HTTPS","HTTPS için Robots meta başlığı"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","X-Robots-Tag başlığı davranışını özellikle HTTPS sayfaları için yapılandırın."
"Alternate and hreflang settings","Alternate ve hreflang ayarları"
"Configure alternate language version indicators for international SEO optimization.","Uluslararası SEO optimizasyonu için alternatif dil sürümü göstergelerini yapılandırın."
"Enable alternate and hreflang links","Alternate ve hreflang bağlantılarını etkinleştir"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Arama motorlarının kullanıcılara doğru dil/bölgesel sürümü sunmasına yardımcı olmak için alternatif dil sürümü etiketlerini etkinleştirin."
"Manual alternate setting","Manuel alternate ayarı"
"Configure specific store relationships for hreflang tag generation.","Hreflang etiketi oluşturmak için belirli mağaza ilişkilerini yapılandırın."
"Hreflang x-default settings","Hreflang x-default ayarları"
"Specify which store view should be used as the default language fallback.","Varsayılan dil geri dönüşü olarak hangi mağaza görünümünün kullanılacağını belirtin."
"Hreflang locale code","Hreflang yerel kodu"
"Override the default locale code used in hreflang attributes for this store view.","Bu mağaza görünümü için hreflang özelliklerinde kullanılan varsayılan yerel kodu geçersiz kılın."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Uygun olduğunda bu web sitesini varsayılan dil sürümü olarak belirleyin."
"Add locale code to hreflang","Hreflang'e yerel kod ekle"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Mağaza yerel ayarlarına göre hreflang özelliklerine otomatik olarak yerel kodlar ekleyin."
"Simplify category alternate links","Kategori alternate bağlantılarını basitleştir"
"Remove extra parameters from category alternate URLs.","Kategori alternate URL'lerinden fazladan parametreleri kaldırın."
"Include hreflang links in sitemap","Site haritasına hreflang bağlantılarını dahil et"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Geliştirilmiş çok dilli SEO için XML site haritalarına alternatif dil göstergeleri ekleyin."
"Manage URL redirects to maintain SEO value and improve user experience.","SEO değerini korumak ve kullanıcı deneyimini iyileştirmek için URL yönlendirmelerini yönetin."
"Trailing slash redirects","Sonda eğik çizgi yönlendirmeleri"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Sitede tutarlı sonda eğik çizgi kullanımını zorunlu kılarak URL formatını standartlaştırın."
"Process URLs","URL'leri işle"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Sonda eğik çizgi ayarını veritabanındaki tüm mevcut URL'lere uygulayın.<br/>Düğmeye basmadan önce yapılandırmayı kaydedin."
"Redirect URLs to lowercase","URL'leri küçük harfe yönlendir"
"Force lowercase URL format to prevent duplicate content from case variations.","Büyük/küçük harf farklılıklarından kaynaklanan yinelenen içeriği önlemek için URL formatını küçük harfe zorunlu kılın."
"Page types allowed for lowercase redirects","Küçük harf yönlendirmeleri için izin verilen sayfa türleri"
"Specify which page types should be included in lowercase redirection rules.","Küçük harf yönlendirme kurallarına hangi sayfa türlerinin dahil edileceğini belirtin."
"SEO-friendly URL settings","SEO uyumlu URL ayarları"
"Configure URL structure optimization for better search engine visibility.","Daha iyi arama motoru görünürlüğü için URL yapısı optimizasyonunu yapılandırın."
"Create shorter category URLs","Daha kısa kategori URL'leri oluştur"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Üst kategori yollarını ortadan kaldırarak daha kısa ve temiz kategori URL'leri oluşturun."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Üst kategori yolu kaldırma işlemini veritabanındaki tüm mevcut kategori URL'lerine uygulayın.<br/>Düğmeye basmadan önce yapılandırmayı kaydedin."
"Product","Ürün"
"URL key template","URL anahtarı şablonu"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Ürün özelliklerini kullanarak otomatik ürün URL anahtarı oluşturma için yapılandırılmış bir şablon tanımlayın.<br/><br/>Örnek:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Tüm ürünlere uygulamak için ssh üzerinden çalıştırın:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Ek bilgi:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Mevcut alan boşsa işlev devre dışıdır."
"Use template for new product URLs","Yeni ürün URL'leri için şablon kullan"
"Automatically generate URL keys based on the template when creating new products.","Yeni ürünler oluştururken şablona göre otomatik olarak URL anahtarları oluşturun."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Etkinleştirilirse uzantı, Magento'nun yerel URL anahtarının üzerine yazar <br/>"
"Update URLs on visibility change","Görünürlük değişikliğinde URL'leri güncelle"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Tutarlılığı korumak için ürün görünürlüğü güncellendiğinde URL anahtarlarını yeniden oluşturun."
"SEO-friendly product image settings","SEO uyumlu ürün resmi ayarları"
"Optimize product image filenames and attributes for better image search visibility.","Resim aramasında daha iyi görünürlük için ürün resmi dosya adlarını ve özelliklerini optimize edin."
"Enable SEO-friendly image URLs","SEO uyumlu resim URL'lerini etkinleştir"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Ürün resimleri için açıklayıcı, anahtar kelime açısından zengin dosya adları oluşturun.<br><strong>Uyarı:</strong> Bu özellik, dosya varlığını kontrol etmek için gereken ek API çağrıları nedeniyle uzak depolama (AWS S3, Azure Blob, vb.) kullanılırken önemli performans sorunlarına neden olabilir. Uzak depolamalı mağazalar için bu seçeneği devre dışı bırakmayı düşünün veya artan sayfa yükleme sürelerini bekleyin."
"Image name template","Resim adı şablonu"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Ürün özelliklerini kullanarak SEO uyumlu resim dosyası adları oluşturmak için deseni tanımlayın.<br/>Boşsa [product_name] kullanılır."
"Autogenerate image alt and title","Resim alt ve title'ını otomatik oluştur"
"Automatically create descriptive alt and title attributes for product images.","Ürün resimleri için otomatik olarak açıklayıcı alt ve title özellikleri oluşturun."
"Image alt template","Resim alt şablonu"
"Define the pattern for generating image alt text using product attributes.","Ürün özelliklerini kullanarak resim alt metni oluşturmak için deseni tanımlayın."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Resim şablonundaki değeri almak için (genellikle image_with_borders.phtml) $block->getLabel() kullanın"
"Image title template","Resim title şablonu"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Ürün özelliklerini kullanarak resim title özelliği oluşturmak için deseni tanımlayın.<br/>Boşsa 'Resim alt şablonu' alanından bir değer kullanılır."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Resim şablonundaki değeri almak için (genellikle image_with_borders.phtml) $block->getTitle() kullanın"
"Product breadcrumbs","Ürün ekmek kırıntıları"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Navigasyonu ve SEO'yu iyileştirmek için ürün sayfalarında ekmek kırıntısı iz oluşturmayı yapılandırın."
"Appearance","Görünüm"
"Define when and how custom breadcrumb trails should appear on product pages.","Özel ekmek kırıntısı izlerinin ürün sayfalarında ne zaman ve nasıl görüneceğini tanımlayın."
"Format","Biçim"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Ekmek kırıntısı oluşturmak için en kısa yol (en yüksek kategori düzeyi) veya en uzun yol (en derin kategori) arasında seçim yapın."
"Include brand","Markayı dahil et"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Ürünün markasını navigasyon izinde bir ekmek kırıntısı öğesi olarak ekleyin. Marka, ürün adından önce tıklanabilir bir ekmek kırıntısı öğesi olarak görünür."
"Brand attribute","Marka özelliği"
"Specify which product attribute contains brand information.","Hangi ürün özelliğinin marka bilgisi içerdiğini belirtin."
"Brand format","Marka biçimi"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Marka ekmek kırıntısı öğesinin nasıl görüneceğini seçin. \"Yalnızca marka\" yalnızca marka adını gösterir. \"Kategori + Marka\" üst kategori adını ve ardından tek bir ekmek kırıntısı öğesinde marka adını gösterir."
"Alternate settings","Alternate ayarları"
"Open Graph image URL","Open Graph resim URL'si"
"If empty Open Graph will use logo image URL","Boşsa Open Graph logo resim URL'sini kullanır"
"General information","Genel bilgi"
"Is active","Aktif"
"Canonical URL","Canonical URL"
"Visible in store view","Mağaza görünümünde görünür"
"Check URL for regular expression","URL'yi düzenli ifadeyle kontrol et"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","Bu alanda yalnızca düzenli ifade kullanın. Devre dışı bırakmak için boş bırakın.<br/>Örneğin: /orion-two-tone-fitted-jacket/<br/>Sayfanın URL'si bu ifadeyle eşleşirse ve diğer koşullar karşılanırsa kural uygulanır."
"Additional","Ek"
"Sort order","Sıralama düzeni"
"Comments","Yorumlar"
"Add canonical rewrite","Canonical yeniden yazma ekle"
"Change status","Durumu değiştir"
"Delete items","Öğeleri sil"
"Are you sure you want to delete the selected items?","Seçilen öğeleri silmek istediğinizden emin misiniz?"
"ID","ID"
"Regular expression","Düzenli ifade"
"Status","Durum"
"Store view","Mağaza Görünümü"
"Request URL","İstek URL'si"
"Target URL","Hedef URL"
"Redirect type","Yönlendirme türü"
"HTTP response status code that will be used when redirecting.","Yönlendirme sırasında kullanılacak HTTP yanıt durum kodu."
"Redirect only if the request URL can't be found (404)","Yalnızca istek URL'si bulunamıyorsa yönlendir (404)"
"Request URL and Target URL cannot be the same.","İstek URL'si ve Hedef URL aynı olamaz."
"Target URL must be different from Request URL.","Hedef URL, İstek URL'sinden farklı olmalıdır."
"Auto-redirect for removed products","Kaldırılan ürünler için otomatik yönlendirme"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Devre dışı bırakılan veya silinen ürünlerin URL'lerini 404 döndürmek yerine ilgili etkin bir hedefe otomatik olarak yönlendirir. Hedefler öncelik sırasına göre belirlenir: ürünün ilk etkin kategorisi, ardından yedek URL ve son olarak ana sayfa. Oluşturulan kurallar Marketing &#8594; SEO &#8594; Redirects bölümünde görünür ve düzenlenebilir veya kaldırılabilir."
"Enable auto-redirect on disable","Devre dışı bırakıldığında otomatik yönlendirmeyi etkinleştir"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Bir ürün Devre Dışı olarak ayarlandığında bir yönlendirme oluşturur. Ürünün yeniden etkinleştirilmesi, otomatik yönlendirmesini kaldırır."
"Enable auto-redirect on delete","Silindiğinde otomatik yönlendirmeyi etkinleştir"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Bir ürün silindiğinde, silme anında yakalanan ürün URL'sini kullanarak bir yönlendirme oluşturur."
"Fallback URL","Yedek URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Kaldırılan bir ürünün etkin kategorisi olmadığında kullanılan hedef. Ana sayfaya yönlendirmek için boş bırakın."
"301 preserves link equity (recommended); 302/307 are temporary.","301 bağlantı değerini korur (önerilir); 302/307 geçicidir."
"Source","Kaynak"
"Manual","Manuel"
"Auto","Otomatik"
"Auto-generated for removed product #%1","Kaldırılan ürün #%1 için otomatik oluşturuldu"
