"Conditions","Bedingungen"
"Product ID: %1 Store ID: %2 Url Key: %3","Produkt-ID: %1 Shop-ID: %2 URL-Schlüssel: %3"
"Already used url key","URL-Schlüssel bereits verwendet"
"Empty url key","Leerer URL-Schlüssel"
"Duplicate used url key","Doppelter URL-Schlüssel"
"Updated url key","Aktualisierter URL-Schlüssel"
"Edit","Bearbeiten"
"Delete","Löschen"
"Delete item?","Element löschen?"
"Back","Zurück"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun möchten?"
"Reset","Zurücksetzen"
"Resets input fields values","Setzt die Werte der Eingabefelder zurück"
"Save and continue edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"All store views","Alle Shop-Ansichten"
"Tests passed.","Tests bestanden."
"test(s) remaining","Test(s) verbleibend"
"Hint","Hinweis"
"Solution","Lösung"
"here","hier"
"Import redirects (.csv)","Weiterleitungen importieren (.csv)"
"Import redirects","Weiterleitungen importieren"
"Download example CSV file for redirect import","Beispiel-CSV-Datei für den Weiterleitungsimport herunterladen"
"Example of CSV file","Beispiel einer CSV-Datei"
"Export redirects (.csv)","Weiterleitungen exportieren (.csv)"
"Export redirects","Weiterleitungen exportieren"
"This operation can take a long time.","Dieser Vorgang kann lange dauern."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alle Kategorie-URLs werden geändert. Diese Aktion kann nicht rückgängig gemacht werden. Möchten Sie dies bestätigen?"
"Error during request.","Fehler bei der Anfrage."
"Error during removal of category path.","Fehler beim Entfernen des Kategoriepfads."
"Error during processing URLs.","Fehler bei der Verarbeitung von URLs."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alle URLs werden geändert. Diese Aktion kann nicht rückgängig gemacht werden. Möchten Sie dies bestätigen?"
"Category image for %1","Kategoriebild für %1"
"Attention","Achtung"
"SEO general settings","Allgemeine SEO-Einstellungen"
"Canonical settings","Canonical-Einstellungen"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Canonical-URLs konfigurieren, um Probleme mit doppeltem Inhalt zu vermeiden und Ranking-Signale zu konsolidieren."
"Common settings","Allgemeine Einstellungen"
"Control general canonical URL behavior across your store.","Allgemeines Canonical-URL-Verhalten im gesamten Shop steuern."
"Enable canonical URLs","Canonical-URLs aktivieren"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Canonical-URL-Generierung aktivieren, um Abstrafungen für doppelte Inhalte zu vermeiden und das SEO-Ranking zu verbessern."
"Don't use canonical URLs on pages","Canonical-URLs auf Seiten nicht verwenden"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","URL-Muster angeben, bei denen Canonical-Tags weggelassen werden sollen (eine URL pro Zeile)."
"Add pagination to canonical URLs","Seitennavigation zu Canonical-URLs hinzufügen"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Wenn aktiviert, werden Paginierungsparameter in Canonical-URLs für paginierte Inhalte einbezogen."
"Strip store codes from canonicals","Shop-Codes aus Canonicals entfernen"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Shop-Codes aus Canonical-URLs entfernen für eine sauberere URL-Struktur bei mehreren Shop-Ansichten."
"Cross-domain canonical URL","Domainübergreifende Canonical-URL"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Canonical-URLs so konfigurieren, dass sie auf eine bevorzugte Domain verweisen, wenn Inhalte auf mehreren Domains vorhanden sind."
"HTTPS URLs for cross-domain canonical","HTTPS-URLs für domainübergreifende Canonical"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","HTTPS-Protokoll in domainübergreifenden Canonical-URLs für Sicherheit und Konsistenz erzwingen."
"Product page settings","Produktseiten-Einstellungen"
"Configure canonical URL behavior specifically for product pages.","Canonical-URL-Verhalten speziell für Produktseiten konfigurieren."
"Product canonical URL format","Canonical-URL-Format für Produkte"
"Choose between shortest/longest path format for product canonical URLs.","Zwischen dem kürzesten/längsten Pfadformat für Produkt-Canonical-URLs wählen."
"Canonical tag for child products","Canonical-Tag für untergeordnete Produkte"
"Define canonical URL behavior for child products within complex product types.","Canonical-URL-Verhalten für untergeordnete Produkte innerhalb komplexer Produkttypen definieren."
"Configurable product","Konfigurierbares Produkt"
"Set canonical tag behavior for simple products that are part of configurable products.","Canonical-Tag-Verhalten für einfache Produkte festlegen, die Teil konfigurierbarer Produkte sind."
"Grouped product","Gruppenprodukt"
"Set canonical tag behavior for simple products that are part of grouped products.","Canonical-Tag-Verhalten für einfache Produkte festlegen, die Teil von Gruppenprodukten sind."
"Bundle product","Bundle-Produkt"
"Set canonical tag behavior for simple products that are part of bundle products.","Canonical-Tag-Verhalten für einfache Produkte festlegen, die Teil von Bundle-Produkten sind."
"Category page settings","Kategorieseiten-Einstellungen"
"Configure canonical URL behavior specifically for category pages.","Canonical-URL-Verhalten speziell für Kategorieseiten konfigurieren."
"Canonical URL for filtered categories","Canonical-URL für gefilterte Kategorien"
"Define how canonical URLs should handle category pages with active filters.","Festlegen, wie Canonical-URLs mit Kategorieseiten mit aktiven Filtern umgehen sollen."
"Filter inclusion in canonical URL","Filtereinbeziehung in Canonical-URL"
"Configure which specific filters should be included in canonical URLs.","Festlegen, welche spezifischen Filter in Canonical-URLs einbezogen werden sollen."
"Enable link rel=""next/prev""","Link rel=""next/prev"" aktivieren"
"Implement pagination relationship tags to help search engines understand paginated content structure.","Paginierungsbeziehungs-Tags implementieren, damit Suchmaschinen die Struktur paginierter Inhalte verstehen."
"Meta Robots settings","Meta-Robots-Einstellungen"
"Control indexing and crawling behavior with Robots meta tags and headers.","Indexierungs- und Crawling-Verhalten mit Robots-Meta-Tags und -Headern steuern."
"Custom robots rules by URL pattern","Benutzerdefinierte Robots-Regeln nach URL-Muster"
"Configure custom Robots meta tag directives for specific URL patterns.","Benutzerdefinierte Robots-Meta-Tag-Direktiven für bestimmte URL-Muster konfigurieren."
"Robots meta header for HTTPS","Robots-Meta-Header für HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","X-Robots-Tag-Header-Verhalten speziell für HTTPS-Seiten konfigurieren."
"Alternate and hreflang settings","Alternate- und Hreflang-Einstellungen"
"Configure alternate language version indicators for international SEO optimization.","Alternate-Sprachversions-Indikatoren für internationale SEO-Optimierung konfigurieren."
"Enable alternate and hreflang links","Alternate- und Hreflang-Links aktivieren"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Alternate-Sprachversions-Tags aktivieren, damit Suchmaschinen Nutzern die richtige Sprach-/Regionalversion anzeigen."
"Manual alternate setting","Manuelle Alternate-Einstellung"
"Configure specific store relationships for hreflang tag generation.","Bestimmte Shop-Beziehungen für die Hreflang-Tag-Generierung konfigurieren."
"Hreflang x-default settings","Hreflang x-default-Einstellungen"
"Specify which store view should be used as the default language fallback.","Angeben, welche Shop-Ansicht als Standard-Sprachfallback verwendet werden soll."
"Hreflang locale code","Hreflang-Gebietsschema-Code"
"Override the default locale code used in hreflang attributes for this store view.","Den Standard-Gebietsschema-Code, der in Hreflang-Attributen für diese Shop-Ansicht verwendet wird, überschreiben."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Diese Website gegebenenfalls als Standard-Sprachversion festlegen."
"Add locale code to hreflang","Gebietsschema-Code zu Hreflang hinzufügen"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Gebietsschema-Codes basierend auf den Shop-Gebietsschema-Einstellungen automatisch an Hreflang-Attribute anhängen."
"Simplify category alternate links","Kategoriale Alternate-Links vereinfachen"
"Remove extra parameters from category alternate URLs.","Zusätzliche Parameter aus Kategorie-Alternate-URLs entfernen."
"Include hreflang links in sitemap","Hreflang-Links in Sitemap einbeziehen"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Alternate-Sprachkennzeichen zu XML-Sitemaps hinzufügen für verbesserte mehrsprachige SEO."
"Manage URL redirects to maintain SEO value and improve user experience.","URL-Weiterleitungen verwalten, um SEO-Wert zu erhalten und die Benutzererfahrung zu verbessern."
"Trailing slash redirects","Weiterleitungen mit abschließendem Schrägstrich"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","URL-Format standardisieren, indem eine konsistente Verwendung abschließender Schrägstriche auf der gesamten Website erzwungen wird."
"Process URLs","URLs verarbeiten"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Die Einstellung für abschließende Schrägstriche auf alle vorhandenen URLs in der Datenbank anwenden.<br/>Konfiguration speichern, bevor Sie die Schaltfläche betätigen."
"Redirect URLs to lowercase","URLs zu Kleinbuchstaben weiterleiten"
"Force lowercase URL format to prevent duplicate content from case variations.","Kleinbuchstaben-URL-Format erzwingen, um doppelte Inhalte durch Groß-/Kleinschreibungsvarianten zu verhindern."
"Page types allowed for lowercase redirects","Seitentypen für Kleinbuchstaben-Weiterleitungen erlaubt"
"Specify which page types should be included in lowercase redirection rules.","Angeben, welche Seitentypen in Kleinbuchstaben-Weiterleitungsregeln einbezogen werden sollen."
"SEO-friendly URL settings","SEO-freundliche URL-Einstellungen"
"Configure URL structure optimization for better search engine visibility.","URL-Strukturoptimierung für bessere Suchmaschinen-Sichtbarkeit konfigurieren."
"Create shorter category URLs","Kürzere Kategorie-URLs erstellen"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Kürzere, sauberere Kategorie-URLs generieren, indem übergeordnete Kategoriepfade entfernt werden."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Die Entfernung des übergeordneten Kategoriepfads auf alle vorhandenen Kategorie-URLs in der Datenbank anwenden.<br/>Konfiguration speichern, bevor Sie die Schaltfläche betätigen."
"Product","Produkt"
"URL key template","URL-Schlüssel-Vorlage"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Eine strukturierte Vorlage für die automatische Produkt-URL-Schlüssel-Generierung mithilfe von Produktattributen definieren.<br/><br/>Beispiel:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Für alle Produkte anwenden, SSH-Befehl:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Weitere Informationen:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Funktion ist deaktiviert, wenn das aktuelle Feld leer ist."
"Use template for new product URLs","Vorlage für neue Produkt-URLs verwenden"
"Automatically generate URL keys based on the template when creating new products.","URL-Schlüssel beim Erstellen neuer Produkte automatisch anhand der Vorlage generieren."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Wenn aktiviert, überschreibt die Erweiterung den nativen Magento-URL-Schlüssel <br/>"
"Update URLs on visibility change","URLs bei Sichtbarkeitsänderung aktualisieren"
"Regenerate URL keys when product visibility is updated to maintain consistency.","URL-Schlüssel neu generieren, wenn die Produktsichtbarkeit aktualisiert wird, um Konsistenz zu gewährleisten."
"SEO-friendly product image settings","SEO-freundliche Produktbild-Einstellungen"
"Optimize product image filenames and attributes for better image search visibility.","Produktbild-Dateinamen und -Attribute für bessere Bildsuch-Sichtbarkeit optimieren."
"Enable SEO-friendly image URLs","SEO-freundliche Bild-URLs aktivieren"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Beschreibende, keyword-reiche Bilddateinamen für Produktbilder generieren.<br><strong>Warnung:</strong> Diese Funktion kann bei der Verwendung von Remote-Speicher (AWS S3, Azure Blob usw.) erhebliche Leistungsprobleme verursachen, da zusätzliche API-Aufrufe zur Überprüfung der Dateiexistenz erforderlich sind. Für Shops mit Remote-Speicher sollten Sie diese Option deaktiviert lassen oder mit längeren Seitenladezeiten rechnen."
"Image name template","Bildnamen-Vorlage"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Das Muster für die Generierung SEO-freundlicher Bilddateinamen mithilfe von Produktattributen definieren.<br/>Wenn leer, wird [product_name] verwendet."
"Autogenerate image alt and title","Bild-Alt und -Titel automatisch generieren"
"Automatically create descriptive alt and title attributes for product images.","Beschreibende Alt- und Titel-Attribute für Produktbilder automatisch erstellen."
"Image alt template","Bild-Alt-Vorlage"
"Define the pattern for generating image alt text using product attributes.","Das Muster für die Generierung von Bild-Alt-Text mithilfe von Produktattributen definieren."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Um den Wert in der Bildvorlage (normalerweise image_with_borders.phtml) abzurufen, verwenden Sie $block->getLabel()"
"Image title template","Bildtitel-Vorlage"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Das Muster für die Generierung von Bildtitel-Attributen mithilfe von Produktattributen definieren.<br/>Wenn leer, wird ein Wert aus dem Feld 'Bild-Alt-Vorlage' verwendet."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Um den Wert in der Bildvorlage (normalerweise image_with_borders.phtml) abzurufen, verwenden Sie $block->getTitle()"
"Product breadcrumbs","Produkt-Breadcrumbs"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Breadcrumb-Generierung für Produktseiten konfigurieren, um Navigation und SEO zu verbessern."
"Appearance","Erscheinungsbild"
"Define when and how custom breadcrumb trails should appear on product pages.","Festlegen, wann und wie benutzerdefinierte Breadcrumb-Trails auf Produktseiten angezeigt werden sollen."
"Format","Format"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Zwischen dem kürzesten Pfad (höchste Kategorieebene) oder dem längsten Pfad (tiefste Kategorie) für die Breadcrumb-Generierung wählen."
"Include brand","Marke einbeziehen"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Die Marke des Produkts als Breadcrumb-Element im Navigationspfad hinzufügen. Die Marke erscheint als anklickbares Breadcrumb-Element vor dem Produktnamen."
"Brand attribute","Marken-Attribut"
"Specify which product attribute contains brand information.","Angeben, welches Produktattribut Markeninformationen enthält."
"Brand format","Marken-Format"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Festlegen, wie das Marken-Breadcrumb-Element angezeigt wird. ""Nur Marke"" zeigt nur den Markennamen. ""Kategorie + Marke"" zeigt den übergeordneten Kategorienamen gefolgt vom Markennamen in einem einzigen Breadcrumb-Element."
"Alternate settings","Alternate-Einstellungen"
"Open Graph image URL","Open-Graph-Bild-URL"
"If empty Open Graph will use logo image URL","Wenn leer, verwendet Open Graph die Logo-Bild-URL"
"General information","Allgemeine Informationen"
"Is active","Ist aktiv"
"Canonical URL","Canonical-URL"
"Visible in store view","In Shop-Ansicht sichtbar"
"Check URL for regular expression","URL auf regulären Ausdruck prüfen"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","In diesem Feld nur reguläre Ausdrücke verwenden. Leer lassen zum Deaktivieren.<br/>Beispiel: /orion-two-tone-fitted-jacket/<br/>Wenn die URL der Seite diesem Ausdruck entspricht und andere Bedingungen erfüllt sind, wird die Regel angewendet."
"Additional","Zusätzlich"
"Sort order","Sortierreihenfolge"
"Comments","Kommentare"
"Add canonical rewrite","Canonical-Umschreibung hinzufügen"
"Change status","Status ändern"
"Delete items","Elemente löschen"
"Are you sure you want to delete the selected items?","Sind Sie sicher, dass Sie die ausgewählten Elemente löschen möchten?"
"ID","ID"
"Regular expression","Regulärer Ausdruck"
"Status","Status"
"Store view","Shop-Ansicht"
"Request URL","Anfrage-URL"
"Target URL","Ziel-URL"
"Redirect type","Weiterleitungstyp"
"HTTP response status code that will be used when redirecting.","HTTP-Antwortstatuscode, der bei der Weiterleitung verwendet wird."
"Redirect only if the request URL can't be found (404)","Nur weiterleiten, wenn die Anfrage-URL nicht gefunden werden kann (404)"
"Request URL and Target URL cannot be the same.","Anfrage-URL und Ziel-URL dürfen nicht identisch sein."
"Target URL must be different from Request URL.","Die Ziel-URL muss sich von der Anfrage-URL unterscheiden."
"Auto-redirect for removed products","Automatische Weiterleitung für entfernte Produkte"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Leitet die URLs deaktivierter oder gelöschter Produkte automatisch zu einem relevanten aktiven Ziel weiter, anstatt einen 404-Fehler zurückzugeben. Ziele werden in folgender Prioritätsreihenfolge aufgelöst: die erste aktive Kategorie des Produkts, dann die Fallback-URL und schließlich die Startseite. Generierte Regeln erscheinen unter Marketing &#8594; SEO &#8594; Redirects und können bearbeitet oder entfernt werden."
"Enable auto-redirect on disable","Automatische Weiterleitung beim Deaktivieren aktivieren"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Erstellt eine Weiterleitung, wenn ein Produkt auf Deaktiviert gesetzt wird. Beim erneuten Aktivieren des Produkts wird seine automatische Weiterleitung entfernt."
"Enable auto-redirect on delete","Automatische Weiterleitung beim Löschen aktivieren"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Erstellt eine Weiterleitung beim Löschen eines Produkts unter Verwendung der zum Zeitpunkt des Löschens erfassten Produkt-URL."
"Fallback URL","Fallback-URL"
