"Conditions","Condições"
"Meta title not defined.","Meta título não definido."
"Meta description not defined.","Meta descrição não definida."
"Meta keywords not defined.","Meta palavras-chave não definidas."
"Some alt tags are empty or missing.","Algumas tags alt estão vazias ou ausentes."
"Total number of images","Número total de imagens"
"Images without alt attribute","Imagens sem atributo alt"
"Images with empty alt attribute","Imagens com atributo alt vazio"
"%1 images with correct alt attribute.","%1 imagens com atributo alt correto."
"Conditions combination","Combinação de condições"
"Categories and layered navigation","Categorias e navegação em camadas"
"Products","Produtos"
"Product attributes","Atributos do produto"
"Products additional","Produtos adicionais"
"Attribute set","Conjunto de atributos"
"Category","Categoria"
"Created (days ago)","Criado (dias atrás)"
"Updated (days ago)","Atualizado (dias atrás)"
"Quantity","Quantidade"
"Price - Final Price","Preço - Preço final"
"Percent Discount","Desconto percentual"
"Open Chooser","Abrir seletor"
"Disabled","Desativado"
"Enabled for all websites","Ativado para todos os sites"
"Configure","Configurar"
"Add automatically","Adicionar automaticamente"
"Add all selected options","Adicionar todas as opções selecionadas"
"Add if only one option selected","Adicionar apenas se uma opção estiver selecionada"
"Without filters","Sem filtros"
"With all filters","Com todos os filtros"
"Default","Padrão"
"Parent product","Produto pai"
"Use Robots meta header","Usar cabeçalho meta Robots"
"Enabled","Ativado"
"Enabled if cookie exist","Ativado se o cookie existir"
"Right","Direita"
"Left","Esquerda"
"Active","Ativo"
"Inactive","Inativo"
"Don't change","Não alterar"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Default first","Padrão primeiro"
"Custom","Personalizado"
"Brand only","Apenas marca"
"Category + Brand","Categoria + Marca"
"Direct link","Link direto"
"Shortest path","Caminho mais curto"
"Longest path","Caminho mais longo"
"Long","Longo"
"Short","Curto"
"Include categories path to Product URLs","Incluir caminho de categorias nas URLs de produto"
"Don't include categories path to Product URLs","Não incluir caminho de categorias nas URLs de produto"
"301 Moved permanently","301 Movido permanentemente"
"302 Object moved","302 Objeto movido"
"307 Temporary redirect","307 Redirecionamento temporário"
"Total number of products with reviews","Número total de produtos com avaliações"
"Total number of reviews","Número total de avaliações"
"Redirect to the same page with trailing slash","Redirecionar para a mesma página com barra final"
"Redirect to the same page without trailing slash","Redirecionar para a mesma página sem barra final"
"Parent category path has been removed.","O caminho da categoria pai foi removido."
"Alternate Settings","Configurações de alternativas"
"Alternate group","Grupo alternativo"
"Open Graph Image Url","URL de imagem Open Graph"
"Wrong Hreflang locale code value: ""%1"". Must use the <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">ISO 3166-1 Alpha 2 format</a>","Valor de código de localidade Hreflang incorreto: ""%1"". Deve usar o <a target=""_blank"" href=""http://en.wikipedia.org/wiki/ISO_3166-1_alpha-2"">formato ISO 3166-1 Alpha 2</a>"
"Template for URL key of Product Images","Template para chave de URL de imagens do produto"
"Template for Product Images Alt","Template para alt de imagens do produto"
"Template for Product Images Title","Template para título de imagens do produto"
"The store can't be indexed when closed to robots and crawlers.","A loja não pode ser indexada quando está fechada para robôs e rastreadores."
"The page needs to display a correct title and store description in search results.","A página precisa exibir um título correto e a descrição da loja nos resultados de pesquisa."
"Unable to run test, the robots.txt file is empty","Não é possível executar o teste, o arquivo robots.txt está vazio"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Obtenha uma compreensão mais profunda dos seus clientes. O Google Analytics fornece as ferramentas gratuitas de que você precisa para analisar os dados do seu negócio em um único lugar."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Por favor, ative o módulo Mirasvit_SeoSitemap executando o seguinte comando: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Resultados de pesquisa aprimorados que fornecem informações adicionais aos usuários sobre o conteúdo de uma página. O Google e outros mecanismos de pesquisa usam dados estruturados, contidos no HTML ou Javascript de uma página web, para formar esses snippets."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Usar nomes de produtos ou outras variáveis como nomes de arquivo de imagem é mais descritivo para os mecanismos de pesquisa do que usar caracteres ou números aleatórios."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","As tags alt fornecem uma alternativa de texto para uma imagem para mecanismos de pesquisa e para quem usa leitores de tela para acessar uma página web."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando a opção ""Usar meta tags de produtos se não estiverem vazias"" está definida como ""Sim"", ela afetará este template. Leia mais"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Quando a opção ""Usar meta tags de categorias se não estiverem vazias"" está definida como ""Sim"", ela afetará este template. Leia mais"
"Blog Data","Dados do blog"
"Brand Data","Dados da marca"
"Category Data","Dados da categoria"
"CMS Page Data","Dados de páginas CMS"
"Filter Data","Dados de filtro"
"Landing Page Data","Dados da landing page"
"Current Page Data","Dados da página atual"
"Pagination","Paginação"
"Page %1","Página %1"
"Product Data","Dados do produto"
"Store Data","Dados da loja"
"Reversed by TrailingSlashService","Revertido por TrailingSlashService"
"Auto-generated by TrailingSlashService","Gerado automaticamente por TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID do produto: %1 ID da loja: %2 Chave de URL: %3"
"Already used url key","Chave de URL já utilizada"
"Empty url key","Chave de URL vazia"
"Duplicate used url key","Chave de URL duplicada"
"Updated url key","Chave de URL atualizada"
"Edit","Editar"
"Delete","Excluir"
"Delete item?","Excluir item?"
"Back","Voltar"
"Are you sure you want to do this?","Você tem certeza de que deseja fazer isso?"
"Reset","Redefinir"
"Resets input fields values","Redefine os valores dos campos de entrada"
"Save and continue edit","Salvar e continuar editando"
"Save","Salvar"
"All store views","Todas as visões da loja"
"Tests passed.","Testes aprovados."
"test(s) remaining","teste(s) restante(s)"
"Hint","Dica"
"Solution","Solução"
"here","aqui"
"Import redirects (.csv)","Importar redirecionamentos (.csv)"
"Import redirects","Importar redirecionamentos"
"Download example CSV file for redirect import","Baixar arquivo CSV de exemplo para importação de redirecionamentos"
"Example of CSV file","Exemplo de arquivo CSV"
"Export redirects (.csv)","Exportar redirecionamentos (.csv)"
"Export redirects","Exportar redirecionamentos"
"This operation can take a long time.","Esta operação pode demorar muito tempo."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todas as URLs de categoria serão alteradas. Esta ação não pode ser desfeita. Você deseja confirmar?"
"Error during request.","Erro durante a solicitação."
"Error during removal of category path.","Erro durante a remoção do caminho da categoria."
"Error during processing URLs.","Erro durante o processamento das URLs."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todas as URLs serão alteradas. Esta ação não pode ser desfeita. Você deseja confirmar?"
"Category image for %1","Imagem da categoria para %1"
"Attention","Atenção"
"SEO general settings","Configurações gerais de SEO"
"Canonical settings","Configurações de canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Configure as URLs canonical para evitar problemas de conteúdo duplicado e consolidar os sinais de classificação."
"Common settings","Configurações comuns"
"Control general canonical URL behavior across your store.","Controle o comportamento geral das URLs canonical em sua loja."
"Enable canonical URLs","Ativar URLs canonical"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Ative a geração de URLs canonical para evitar penalidades por conteúdo duplicado e melhorar o posicionamento SEO."
"Don't use canonical URLs on pages","Não usar URLs canonical nas páginas"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Especifique os padrões de URL onde as tags canonical devem ser omitidas (uma URL por linha)."
"Add pagination to canonical URLs","Adicionar paginação às URLs canonical"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Quando ativado, os parâmetros de paginação serão incluídos nas URLs canonical do conteúdo paginado."
"Strip store codes from canonicals","Remover códigos de loja dos canonical"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Remova os códigos de loja das URLs canonical para uma estrutura de URL mais limpa ao usar múltiplas visões da loja."
"Cross-domain canonical URL","URL canonical entre domínios"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Configure as URLs canonical para apontar para um domínio preferido quando o conteúdo existe em vários domínios."
"HTTPS URLs for cross-domain canonical","URLs HTTPS para canonical entre domínios"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Force o protocolo HTTPS nas URLs canonical entre domínios para segurança e consistência."
"Product page settings","Configurações da página de produto"
"Configure canonical URL behavior specifically for product pages.","Configure o comportamento das URLs canonical especificamente para as páginas de produto."
"Product canonical URL format","Formato de URL canonical de produto"
"Choose between shortest/longest path format for product canonical URLs.","Escolha entre o formato de caminho mais curto ou mais longo para as URLs canonical de produto."
"Canonical tag for child products","Tag canonical para produtos filhos"
"Define canonical URL behavior for child products within complex product types.","Defina o comportamento das URLs canonical para produtos filhos dentro de tipos de produto complexos."
"Configurable product","Produto configurável"
"Set canonical tag behavior for simple products that are part of configurable products.","Defina o comportamento da tag canonical para produtos simples que fazem parte de produtos configuráveis."
"Grouped product","Produto agrupado"
"Set canonical tag behavior for simple products that are part of grouped products.","Defina o comportamento da tag canonical para produtos simples que fazem parte de produtos agrupados."
"Bundle product","Produto bundle"
"Set canonical tag behavior for simple products that are part of bundle products.","Defina o comportamento da tag canonical para produtos simples que fazem parte de produtos bundle."
"Category page settings","Configurações da página de categoria"
"Configure canonical URL behavior specifically for category pages.","Configure o comportamento das URLs canonical especificamente para as páginas de categoria."
"Canonical URL for filtered categories","URL canonical para categorias filtradas"
"Define how canonical URLs should handle category pages with active filters.","Defina como as URLs canonical devem tratar as páginas de categoria com filtros ativos."
"Filter inclusion in canonical URL","Inclusão de filtros na URL canonical"
"Configure which specific filters should be included in canonical URLs.","Configure quais filtros específicos devem ser incluídos nas URLs canonical."
"Enable link rel=""next/prev""","Ativar link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implemente tags de relação de paginação para ajudar os mecanismos de pesquisa a entender a estrutura do conteúdo paginado."
"Meta Robots settings","Configurações de Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Controle o comportamento de indexação e rastreamento com as meta tags e cabeçalhos Robots."
"Custom robots rules by URL pattern","Regras de robôs personalizadas por padrão de URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Configure diretivas personalizadas de meta tags Robots para padrões de URL específicos."
"Robots meta header for HTTPS","Cabeçalho meta Robots para HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Configure o comportamento do cabeçalho X-Robots-Tag especificamente para páginas HTTPS."
"Alternate and hreflang settings","Configurações de alternativas e hreflang"
"Configure alternate language version indicators for international SEO optimization.","Configure os indicadores de versão de idioma alternativo para otimização SEO internacional."
"Enable alternate and hreflang links","Ativar links alternativos e hreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Ative as tags de versão de idioma alternativo para ajudar os mecanismos de pesquisa a servir a versão correta de idioma/região aos usuários."
"Manual alternate setting","Configuração manual de alternativas"
"Configure specific store relationships for hreflang tag generation.","Configure relações de loja específicas para a geração de tags hreflang."
"Hreflang x-default settings","Configurações de hreflang x-default"
"Specify which store view should be used as the default language fallback.","Especifique qual visão da loja deve ser usada como idioma padrão de fallback."
"Hreflang locale code","Código de localidade Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Substitua o código de localidade padrão usado nos atributos hreflang para esta visão da loja."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Designe este site como a versão de idioma padrão quando apropriado."
"Add locale code to hreflang","Adicionar código de localidade ao hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Adicione automaticamente códigos de localidade aos atributos hreflang com base nas configurações de localidade da loja."
"Simplify category alternate links","Simplificar links alternativos de categoria"
"Remove extra parameters from category alternate URLs.","Remova parâmetros extras das URLs alternativas de categoria."
"Include hreflang links in sitemap","Incluir links hreflang no mapa do site"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Adicione indicadores de idioma alternativo aos mapas do site XML para um SEO multilíngue aprimorado."
"Manage URL redirects to maintain SEO value and improve user experience.","Gerencie os redirecionamentos de URL para manter o valor SEO e melhorar a experiência do usuário."
"Trailing slash redirects","Redirecionamentos com barra final"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Padronize o formato de URL aplicando o uso consistente de barra final em todo o site."
"Process URLs","Processar URLs"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Aplique a configuração de barra final a todas as URLs existentes no banco de dados.<br/>Salve as configurações antes de clicar no botão."
"Redirect URLs to lowercase","Redirecionar URLs para minúsculas"
"Force lowercase URL format to prevent duplicate content from case variations.","Force o formato de URL em minúsculas para evitar conteúdo duplicado por variações de maiúsculas/minúsculas."
"Page types allowed for lowercase redirects","Tipos de página permitidos para redirecionamentos em minúsculas"
"Specify which page types should be included in lowercase redirection rules.","Especifique quais tipos de página devem ser incluídos nas regras de redirecionamento em minúsculas."
"SEO-friendly URL settings","Configurações de URLs amigáveis para SEO"
"Configure URL structure optimization for better search engine visibility.","Configure a otimização da estrutura de URL para melhor visibilidade nos mecanismos de pesquisa."
"Create shorter category URLs","Criar URLs de categoria mais curtas"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Gere URLs de categoria mais curtas e limpas eliminando os caminhos das categorias pai."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Aplique a remoção do caminho da categoria pai a todas as URLs de categoria existentes no banco de dados.<br/>Salve as configurações antes de clicar no botão."
"Product","Produto"
"URL key template","Template de chave de URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Defina um template estruturado para a geração automática de chave de URL do produto usando atributos do produto.<br/><br/>Exemplo:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Para aplicar a todos os produtos, execute via SSH:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Informações adicionais:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","A função está desativada se o campo atual estiver vazio."
"Use template for new product URLs","Usar template para novas URLs de produto"
"Automatically generate URL keys based on the template when creating new products.","Gere automaticamente chaves de URL com base no template ao criar novos produtos."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Se ativado, a extensão substituirá a chave de URL nativa do Magento <br/>"
"Update URLs on visibility change","Atualizar URLs ao alterar visibilidade"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Regenere as chaves de URL quando a visibilidade do produto for atualizada para manter a consistência."
"SEO-friendly product image settings","Configurações de imagens de produto amigáveis para SEO"
"Optimize product image filenames and attributes for better image search visibility.","Otimize os nomes de arquivo e atributos das imagens de produto para melhor visibilidade na pesquisa de imagens."
"Enable SEO-friendly image URLs","Ativar URLs de imagem amigáveis para SEO"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Gere nomes de arquivo de imagem descritivos e ricos em palavras-chave para imagens de produto.<br><strong>Aviso:</strong> Este recurso pode causar problemas significativos de desempenho ao usar armazenamento remoto (AWS S3, Azure Blob, etc.) devido às chamadas de API adicionais necessárias para verificar a existência do arquivo. Para lojas com armazenamento remoto, considere manter esta opção desativada ou espere tempos de carregamento de página mais longos."
"Image name template","Template de nome de imagem"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Defina o padrão para gerar nomes de arquivo de imagem amigáveis para SEO usando atributos do produto.<br/>Se vazio, [product_name] será usado."
"Autogenerate image alt and title","Gerar automaticamente alt e título de imagem"
"Automatically create descriptive alt and title attributes for product images.","Crie automaticamente atributos alt e título descritivos para as imagens do produto."
"Image alt template","Template de alt de imagem"
"Define the pattern for generating image alt text using product attributes.","Defina o padrão para gerar o texto alt de imagem usando atributos do produto."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Para obter o valor no template de imagem (geralmente image_with_borders.phtml), use $block->getLabel()"
"Image title template","Template de título de imagem"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Defina o padrão para gerar atributos de título de imagem usando atributos do produto.<br/>Se vazio, um valor do campo 'Template de alt de imagem' será usado."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Para obter o valor no template de imagem (geralmente image_with_borders.phtml), use $block->getTitle()"
"Product breadcrumbs","Breadcrumbs do produto"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Configure a geração de trilhas de breadcrumb nas páginas de produto para melhorar a navegação e o SEO."
"Appearance","Aparência"
"Define when and how custom breadcrumb trails should appear on product pages.","Defina quando e como as trilhas de breadcrumb personalizadas devem aparecer nas páginas de produto."
"Format","Formato"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Escolha entre o caminho mais curto (nível de categoria mais alto) ou o caminho mais longo (categoria mais profunda) para a geração de breadcrumb."
"Include brand","Incluir marca"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Adicione a marca do produto como item de breadcrumb na trilha de navegação. A marca aparecerá como um elemento de breadcrumb clicável antes do nome do produto."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information.","Especifique qual atributo do produto contém as informações de marca."
"Brand format","Formato de marca"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Escolha como o item de breadcrumb da marca aparece. ""Apenas marca"" mostra apenas o nome da marca. ""Categoria + Marca"" mostra o nome da categoria pai seguido do nome da marca em um único item de breadcrumb."
"Alternate settings","Configurações de alternativas"
"Open Graph image URL","URL de imagem Open Graph"
"If empty Open Graph will use logo image URL","Se vazio, o Open Graph usará a URL da imagem do logotipo"
"General information","Informações gerais"
"Is active","Está ativo"
"Canonical URL","URL canonical"
"Visible in store view","Visível na visão da loja"
"Check URL for regular expression","Verificar URL com expressão regular"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","Neste campo use apenas expressões regulares. Deixe em branco para desativar.<br/>Por exemplo: /orion-two-tone-fitted-jacket/<br/>Se a URL da página corresponder a esta expressão e outras condições forem atendidas, a regra será aplicada."
"Additional","Adicional"
"Sort order","Ordem de classificação"
"Comments","Comentários"
"Add canonical rewrite","Adicionar reescrita canonical"
"Change status","Alterar status"
"Delete items","Excluir itens"
"Are you sure you want to delete the selected items?","Você tem certeza de que deseja excluir os itens selecionados?"
"ID","ID"
"Regular expression","Expressão regular"
"Status","Status"
"Store view","Visão da loja"
"Request URL","URL de solicitação"
"Target URL","URL de destino"
"Redirect type","Tipo de redirecionamento"
"HTTP response status code that will be used when redirecting.","Código de status de resposta HTTP que será usado ao redirecionar."
"Redirect only if the request URL can't be found (404)","Redirecionar apenas se a URL solicitada não puder ser encontrada (404)"
"Request URL and Target URL cannot be the same.","A URL de solicitação e a URL de destino não podem ser iguais."
"Target URL must be different from Request URL.","A URL de destino deve ser diferente da URL de solicitação."
"Auto-redirect for removed products","Redirecionamento automático para produtos removidos"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Redireciona automaticamente as URLs de produtos desativados ou excluídos para um destino ativo relevante em vez de retornar um erro 404. Os destinos são resolvidos por ordem de prioridade: a primeira categoria ativa do produto, depois a URL alternativa e, por fim, a página inicial. As regras geradas aparecem em Marketing &#8594; SEO &#8594; Redirects e podem ser editadas ou removidas."
"Enable auto-redirect on disable","Ativar redirecionamento automático ao desativar"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Gera um redirecionamento quando um produto é definido como Desativado. Reativar o produto remove o respectivo redirecionamento automático."
"Enable auto-redirect on delete","Ativar redirecionamento automático ao excluir"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Gera um redirecionamento quando um produto é excluído, usando a URL do produto capturada no momento da exclusão."
"Fallback URL","URL alternativa"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Destino usado quando um produto removido não tem nenhuma categoria ativa. Deixe em branco para redirecionar para a página inicial."
"301 preserves link equity (recommended); 302/307 are temporary.","301 preserva a autoridade dos links (recomendado); 302/307 são temporários."
"Source","Origem"
"Manual","Manual"
"Auto","Automático"
"Auto-generated for removed product #%1","Gerado automaticamente para o produto removido nº %1"
