"Conditions","Condiciones"
"Template for URL key of Product Images","Plantilla para la clave de URL de imágenes de producto"
"Template for Product Images Alt","Plantilla para el alt de imágenes de producto"
"Template for Product Images Title","Plantilla para el título de imágenes de producto"
"The store can't be indexed when closed to robots and crawlers.","La tienda no puede ser indexada cuando está cerrada a robots y rastreadores."
"The page needs to display a correct title and store description in search results.","La página necesita mostrar un título correcto y la descripción de la tienda en los resultados de búsqueda."
"Unable to run test, the robots.txt file is empty","No se puede ejecutar la prueba, el archivo robots.txt está vacío"
"Get a deeper understanding of your customers. Google Analytics gives you the free tools you need to analyze data for your business in one place.","Obtenga una comprensión más profunda de sus clientes. Google Analytics le proporciona las herramientas gratuitas que necesita para analizar los datos de su negocio en un solo lugar."
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Por favor, habilite el módulo Mirasvit_SeoSitemap ejecutando el siguiente comando: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Resultados de búsqueda mejorados que proporcionan información adicional a los buscadores sobre el contenido de una página. Google y otros motores de búsqueda utilizan datos estructurados, contenidos en el HTML o Javascript de una página web, para formar estos fragmentos."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Usar nombres de productos u otras variables como nombres de archivo de imagen es más descriptivo para los motores de búsqueda que usar caracteres aleatorios o números."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Las etiquetas alt proporcionan una alternativa de texto para una imagen para los motores de búsqueda y quienes usan lectores de pantalla para acceder a una página web."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Cuando la opción ""Usar meta etiquetas de productos si no están vacías"" está configurada en ""Sí"", afectará a esta plantilla. Leer más"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","Cuando la opción ""Usar meta etiquetas de categorías si no están vacías"" está configurada en ""Sí"", afectará a esta plantilla. Leer más"
"Blog Data","Datos del blog"
"Brand Data","Datos de marca"
"Category Data","Datos de categoría"
"CMS Page Data","Datos de páginas CMS"
"Filter Data","Datos de filtro"
"Landing Page Data","Datos de la página de destino"
"Current Page Data","Datos de la página actual"
"Pagination","Paginación"
"Page %1","Página %1"
"Product Data","Datos del producto"
"Store Data","Datos de la tienda"
"Reversed by TrailingSlashService","Revertido por TrailingSlashService"
"Auto-generated by TrailingSlashService","Generado automáticamente por TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","ID del producto: %1 ID de la tienda: %2 Clave de URL: %3"
"Already used url key","Clave de URL ya utilizada"
"Empty url key","Clave de URL vacía"
"Duplicate used url key","Clave de URL duplicada"
"Updated url key","Clave de URL actualizada"
"Edit","Editar"
"Delete","Eliminar"
"Delete item?","¿Eliminar elemento?"
"Back","Atrás"
"Are you sure you want to do this?","¿Está seguro de que desea hacer esto?"
"Reset","Restablecer"
"Resets input fields values","Restablece los valores de los campos de entrada"
"Save and continue edit","Guardar y continuar editando"
"Save","Guardar"
"All store views","Todas las vistas de la tienda"
"Tests passed.","Pruebas superadas."
"test(s) remaining","prueba(s) restante(s)"
"Hint","Sugerencia"
"Solution","Solución"
"here","aquí"
"Import redirects (.csv)","Importar redirecciones (.csv)"
"Import redirects","Importar redirecciones"
"Download example CSV file for redirect import","Descargar archivo CSV de ejemplo para importación de redirecciones"
"Example of CSV file","Ejemplo de archivo CSV"
"Export redirects (.csv)","Exportar redirecciones (.csv)"
"Export redirects","Exportar redirecciones"
"This operation can take a long time.","Esta operación puede tardar mucho tiempo."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todas las URLs de categoría serán modificadas. Esta acción no se puede deshacer. ¿Desea confirmarlo?"
"Error during request.","Error durante la solicitud."
"Error during removal of category path.","Error durante la eliminación de la ruta de categoría."
"Error during processing URLs.","Error durante el procesamiento de las URLs."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Todas las URLs serán modificadas. Esta acción no se puede deshacer. ¿Desea confirmarlo?"
"Category image for %1","Imagen de categoría para %1"
"Attention","Atención"
"SEO general settings","Configuración general de SEO"
"Canonical settings","Configuración de canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Configure las URLs canonical para evitar problemas de contenido duplicado y consolidar las señales de posicionamiento."
"Common settings","Configuración común"
"Control general canonical URL behavior across your store.","Controle el comportamiento general de las URLs canonical en su tienda."
"Enable canonical URLs","Habilitar URLs canonical"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Active la generación de URLs canonical para evitar penalizaciones por contenido duplicado y mejorar el posicionamiento SEO."
"Don't use canonical URLs on pages","No usar URLs canonical en páginas"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Especifique los patrones de URL donde se deben omitir las etiquetas canonical (una URL por línea)."
"Add pagination to canonical URLs","Añadir paginación a las URLs canonical"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Cuando está habilitado, los parámetros de paginación se incluirán en las URLs canonical del contenido paginado."
"Strip store codes from canonicals","Eliminar códigos de tienda de los canonical"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Elimine los códigos de tienda de las URLs canonical para una estructura de URL más limpia al usar múltiples vistas de tienda."
"Cross-domain canonical URL","URL canonical entre dominios"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Configure las URLs canonical para apuntar a un dominio preferido cuando el contenido existe en varios dominios."
"HTTPS URLs for cross-domain canonical","URLs HTTPS para canonical entre dominios"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Fuerce el protocolo HTTPS en las URLs canonical entre dominios para mayor seguridad y coherencia."
"Product page settings","Configuración de páginas de producto"
"Configure canonical URL behavior specifically for product pages.","Configure el comportamiento de las URLs canonical específicamente para las páginas de producto."
"Product canonical URL format","Formato de URL canonical de producto"
"Choose between shortest/longest path format for product canonical URLs.","Elija entre el formato de ruta más corta o más larga para las URLs canonical de producto."
"Canonical tag for child products","Etiqueta canonical para productos hijo"
"Define canonical URL behavior for child products within complex product types.","Defina el comportamiento de las URLs canonical para los productos hijo en tipos de producto complejos."
"Configurable product","Producto configurable"
"Set canonical tag behavior for simple products that are part of configurable products.","Establezca el comportamiento de la etiqueta canonical para los productos simples que son parte de productos configurables."
"Grouped product","Producto agrupado"
"Set canonical tag behavior for simple products that are part of grouped products.","Establezca el comportamiento de la etiqueta canonical para los productos simples que son parte de productos agrupados."
"Bundle product","Producto agrupado (bundle)"
"Set canonical tag behavior for simple products that are part of bundle products.","Establezca el comportamiento de la etiqueta canonical para los productos simples que son parte de productos bundle."
"Category page settings","Configuración de páginas de categoría"
"Configure canonical URL behavior specifically for category pages.","Configure el comportamiento de las URLs canonical específicamente para las páginas de categoría."
"Canonical URL for filtered categories","URL canonical para categorías filtradas"
"Define how canonical URLs should handle category pages with active filters.","Defina cómo deben gestionar las URLs canonical las páginas de categoría con filtros activos."
"Filter inclusion in canonical URL","Inclusión de filtros en la URL canonical"
"Configure which specific filters should be included in canonical URLs.","Configure qué filtros específicos deben incluirse en las URLs canonical."
"Enable link rel=""next/prev""","Habilitar link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implemente etiquetas de relación de paginación para ayudar a los motores de búsqueda a entender la estructura del contenido paginado."
"Meta Robots settings","Configuración de Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Controle el comportamiento de indexación y rastreo con las meta etiquetas y encabezados Robots."
"Custom robots rules by URL pattern","Reglas de robots personalizadas por patrón de URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Configure directivas personalizadas de meta etiquetas Robots para patrones de URL específicos."
"Robots meta header for HTTPS","Encabezado meta Robots para HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Configure el comportamiento del encabezado X-Robots-Tag específicamente para páginas HTTPS."
"Alternate and hreflang settings","Configuración de alternativas y hreflang"
"Configure alternate language version indicators for international SEO optimization.","Configure los indicadores de versión de idioma alternativo para la optimización SEO internacional."
"Enable alternate and hreflang links","Habilitar enlaces alternativos y hreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Active las etiquetas de versión de idioma alternativo para ayudar a los motores de búsqueda a mostrar la versión de idioma/región correcta a los usuarios."
"Manual alternate setting","Configuración manual de alternativas"
"Configure specific store relationships for hreflang tag generation.","Configure relaciones de tienda específicas para la generación de etiquetas hreflang."
"Hreflang x-default settings","Configuración de hreflang x-default"
"Specify which store view should be used as the default language fallback.","Especifique qué vista de la tienda debe usarse como idioma predeterminado de respaldo."
"Hreflang locale code","Código de región de Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Reemplace el código de región predeterminado utilizado en los atributos hreflang para esta vista de la tienda."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Designe este sitio web como la versión de idioma predeterminada cuando corresponda."
"Add locale code to hreflang","Añadir código de región a hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Añada automáticamente códigos de región a los atributos hreflang según la configuración regional de la tienda."
"Simplify category alternate links","Simplificar los enlaces alternativos de categoría"
"Remove extra parameters from category alternate URLs.","Elimine los parámetros adicionales de las URLs alternativas de categoría."
"Include hreflang links in sitemap","Incluir enlaces hreflang en el mapa del sitio"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Añada indicadores de idioma alternativo a los mapas del sitio XML para mejorar el SEO multilingüe."
"Manage URL redirects to maintain SEO value and improve user experience.","Administre las redirecciones de URL para mantener el valor SEO y mejorar la experiencia del usuario."
"Trailing slash redirects","Redirecciones de barra final"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Estandarice el formato de URL aplicando un uso coherente de la barra final en todo el sitio."
"Process URLs","Procesar URLs"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Aplique la configuración de barra final a todas las URLs existentes en la base de datos.<br/>Guarde la configuración antes de presionar el botón."
"Redirect URLs to lowercase","Redirigir URLs a minúsculas"
"Force lowercase URL format to prevent duplicate content from case variations.","Fuerce el formato de URL en minúsculas para evitar contenido duplicado por variaciones de mayúsculas y minúsculas."
"Page types allowed for lowercase redirects","Tipos de página permitidos para redirecciones en minúsculas"
"Specify which page types should be included in lowercase redirection rules.","Especifique qué tipos de página deben incluirse en las reglas de redirección en minúsculas."
"SEO-friendly URL settings","Configuración de URLs amigables para SEO"
"Configure URL structure optimization for better search engine visibility.","Configure la optimización de la estructura de URL para una mejor visibilidad en los motores de búsqueda."
"Create shorter category URLs","Crear URLs de categoría más cortas"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Genere URLs de categoría más cortas y limpias eliminando las rutas de categoría padre."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Aplique la eliminación de la ruta de categoría padre a todas las URLs de categoría existentes en la base de datos.<br/>Guarde la configuración antes de presionar el botón."
"Product","Producto"
"URL key template","Plantilla de clave de URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Defina una plantilla estructurada para la generación automática de claves de URL de productos utilizando atributos de producto.<br/><br/>Ejemplo:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Para aplicar a todos los productos, ejecute por SSH:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Información adicional:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","La función está deshabilitada si el campo actual está vacío."
"Use template for new product URLs","Usar plantilla para nuevas URLs de producto"
"Automatically generate URL keys based on the template when creating new products.","Genere automáticamente claves de URL basadas en la plantilla al crear nuevos productos."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Si está habilitado, la extensión sobrescribirá la clave de URL nativa de Magento <br/>"
"Update URLs on visibility change","Actualizar URLs al cambiar la visibilidad"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Regenere las claves de URL cuando se actualice la visibilidad del producto para mantener la coherencia."
"SEO-friendly product image settings","Configuración de imágenes de producto amigables para SEO"
"Optimize product image filenames and attributes for better image search visibility.","Optimice los nombres de archivo e atributos de las imágenes de producto para una mejor visibilidad en la búsqueda de imágenes."
"Enable SEO-friendly image URLs","Habilitar URLs de imagen amigables para SEO"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Genere nombres de archivo de imagen descriptivos y ricos en palabras clave para las imágenes de producto.<br><strong>Advertencia:</strong> Esta función puede causar problemas significativos de rendimiento al usar almacenamiento remoto (AWS S3, Azure Blob, etc.) debido a las llamadas API adicionales necesarias para verificar la existencia del archivo. Para tiendas con almacenamiento remoto, considere mantener esta opción deshabilitada o espere mayores tiempos de carga de página."
"Image name template","Plantilla de nombre de imagen"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Defina el patrón para generar nombres de archivo de imagen amigables para SEO usando atributos de producto.<br/>Si está vacío, se usará [product_name]."
"Autogenerate image alt and title","Generar automáticamente alt y título de imagen"
"Automatically create descriptive alt and title attributes for product images.","Cree automáticamente atributos alt y título descriptivos para las imágenes de producto."
"Image alt template","Plantilla de alt de imagen"
"Define the pattern for generating image alt text using product attributes.","Defina el patrón para generar el texto alt de imagen usando atributos de producto."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Para obtener el valor en la plantilla de imagen (generalmente image_with_borders.phtml), use $block->getLabel()"
"Image title template","Plantilla de título de imagen"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Defina el patrón para generar atributos de título de imagen usando atributos de producto.<br/>Si está vacío, se usará un valor del campo 'Plantilla de alt de imagen'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Para obtener el valor en la plantilla de imagen (generalmente image_with_borders.phtml), use $block->getTitle()"
"Product breadcrumbs","Migas de pan del producto"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Configure la generación de rutas de migas de pan en las páginas de producto para mejorar la navegación y el SEO."
"Appearance","Apariencia"
"Define when and how custom breadcrumb trails should appear on product pages.","Defina cuándo y cómo deben aparecer las rutas de migas de pan personalizadas en las páginas de producto."
"Format","Formato"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Elija entre la ruta más corta (nivel de categoría más alto) o la ruta más larga (categoría más profunda) para la generación de migas de pan."
"Include brand","Incluir marca"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Añada la marca del producto como elemento de miga de pan en la ruta de navegación. La marca aparecerá como un elemento de miga de pan clicable antes del nombre del producto."
"Brand attribute","Atributo de marca"
"Specify which product attribute contains brand information.","Especifique qué atributo de producto contiene la información de marca."
"Brand format","Formato de marca"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Elija cómo aparece el elemento de miga de pan de marca. ""Solo marca"" muestra solo el nombre de la marca. ""Categoría + Marca"" muestra el nombre de la categoría padre seguido del nombre de la marca en un único elemento de miga de pan."
"Alternate settings","Configuración de alternativas"
"Open Graph image URL","URL de imagen Open Graph"
"If empty Open Graph will use logo image URL","Si está vacío, Open Graph usará la URL de la imagen del logotipo"
"General information","Información general"
"Is active","Está activo"
"Canonical URL","URL canonical"
"Visible in store view","Visible en la vista de la tienda"
"Check URL for regular expression","Verificar URL con expresión regular"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","En este campo use solo expresiones regulares. Deje en blanco para deshabilitar.<br/>Por ejemplo: /orion-two-tone-fitted-jacket/<br/>Si la URL de la página coincide con esta expresión y se cumplen otras condiciones, se aplicará la regla."
"Additional","Adicional"
"Sort order","Orden de clasificación"
"Comments","Comentarios"
"Add canonical rewrite","Añadir reescritura canonical"
"Change status","Cambiar estado"
"Delete items","Eliminar elementos"
"Are you sure you want to delete the selected items?","¿Está seguro de que desea eliminar los elementos seleccionados?"
"ID","ID"
"Regular expression","Expresión regular"
"Status","Estado"
"Store view","Vista de la tienda"
"Request URL","URL de solicitud"
"Target URL","URL de destino"
"Redirect type","Tipo de redirección"
"HTTP response status code that will be used when redirecting.","Código de estado de respuesta HTTP que se utilizará al redirigir."
"Redirect only if the request URL can't be found (404)","Redirigir solo si no se puede encontrar la URL de solicitud (404)"
"Request URL and Target URL cannot be the same.","La URL de solicitud y la URL de destino no pueden ser iguales."
"Target URL must be different from Request URL.","La URL de destino debe ser diferente de la URL de solicitud."
"Auto-redirect for removed products","Redirección automática para productos eliminados"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Redirige automáticamente las URL de los productos deshabilitados o eliminados a un destino activo relevante en lugar de devolver un error 404. Los destinos se resuelven por orden de prioridad: la primera categoría activa del producto, luego la URL alternativa y, por último, la página de inicio. Las reglas generadas aparecen en Marketing &#8594; SEO &#8594; Redirects y se pueden editar o eliminar."
"Enable auto-redirect on disable","Habilitar redirección automática al deshabilitar"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Genera una redirección cuando un producto se establece como Deshabilitado. Volver a habilitar el producto elimina su redirección automática."
"Enable auto-redirect on delete","Habilitar redirección automática al eliminar"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Genera una redirección cuando se elimina un producto, utilizando la URL del producto capturada en el momento de la eliminación."
"Fallback URL","URL alternativa"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Destino utilizado cuando un producto eliminado no tiene ninguna categoría activa. Déjelo en blanco para redirigir a la página de inicio."
"301 preserves link equity (recommended); 302/307 are temporary.","301 conserva la autoridad de enlace (recomendado); 302/307 son temporales."
"Source","Origen"
"Manual","Manual"
"Auto","Automático"
"Auto-generated for removed product #%1","Generado automáticamente para el producto eliminado n.º %1"
