"Conditions","Condizioni"
"Error during request.","Errore durante la richiesta."
"Error during removal of category path.","Errore durante la rimozione del percorso categoria."
"Error during processing URLs.","Errore durante l'elaborazione degli URL."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Tutti gli URL verranno modificati. Questa azione non può essere annullata. Vuoi confermarlo?"
"Category image for %1","Immagine categoria per %1"
"Attention","Attenzione"
"SEO general settings","Impostazioni generali SEO"
"Canonical settings","Impostazioni canonical"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Configura gli URL canonical per prevenire problemi di contenuto duplicato e consolidare i segnali di ranking."
"Common settings","Impostazioni comuni"
"Control general canonical URL behavior across your store.","Controlla il comportamento generale degli URL canonical nel tuo negozio."
"Enable canonical URLs","Abilita URL canonical"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Attiva la generazione di URL canonical per prevenire penalizzazioni da contenuto duplicato e migliorare il posizionamento SEO."
"Don't use canonical URLs on pages","Non usare URL canonical nelle pagine"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Specifica i pattern URL in cui i tag canonical devono essere omessi (un URL per riga)."
"Add pagination to canonical URLs","Aggiungi paginazione agli URL canonical"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","Quando abilitato, i parametri di paginazione verranno inclusi negli URL canonical per i contenuti paginati."
"Strip store codes from canonicals","Rimuovi i codici negozio dai canonical"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Rimuovi i codici negozio dagli URL canonical per una struttura URL più pulita quando si utilizzano più viste del negozio."
"Cross-domain canonical URL","URL canonical cross-domain"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Configura gli URL canonical per puntare a un dominio preferito quando il contenuto esiste su più domini."
"HTTPS URLs for cross-domain canonical","URL HTTPS per canonical cross-domain"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Forza il protocollo HTTPS negli URL canonical cross-domain per sicurezza e coerenza."
"Product page settings","Impostazioni pagina prodotto"
"Configure canonical URL behavior specifically for product pages.","Configura il comportamento degli URL canonical specificamente per le pagine prodotto."
"Product canonical URL format","Formato URL canonical prodotto"
"Choose between shortest/longest path format for product canonical URLs.","Scegli tra il formato percorso più breve o più lungo per gli URL canonical dei prodotti."
"Canonical tag for child products","Tag canonical per prodotti figlio"
"Define canonical URL behavior for child products within complex product types.","Definisci il comportamento degli URL canonical per i prodotti figlio all'interno di tipi di prodotto complessi."
"Configurable product","Prodotto configurabile"
"Set canonical tag behavior for simple products that are part of configurable products.","Imposta il comportamento del tag canonical per i prodotti semplici che fanno parte di prodotti configurabili."
"Grouped product","Prodotto raggruppato"
"Set canonical tag behavior for simple products that are part of grouped products.","Imposta il comportamento del tag canonical per i prodotti semplici che fanno parte di prodotti raggruppati."
"Bundle product","Prodotto bundle"
"Set canonical tag behavior for simple products that are part of bundle products.","Imposta il comportamento del tag canonical per i prodotti semplici che fanno parte di prodotti bundle."
"Category page settings","Impostazioni pagina categoria"
"Configure canonical URL behavior specifically for category pages.","Configura il comportamento degli URL canonical specificamente per le pagine categoria."
"Canonical URL for filtered categories","URL canonical per categorie filtrate"
"Define how canonical URLs should handle category pages with active filters.","Definisci come gli URL canonical devono gestire le pagine categoria con filtri attivi."
"Filter inclusion in canonical URL","Inclusione filtri nell'URL canonical"
"Configure which specific filters should be included in canonical URLs.","Configura quali filtri specifici devono essere inclusi negli URL canonical."
"Enable link rel=""next/prev""","Abilita link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implementa i tag di relazione di paginazione per aiutare i motori di ricerca a comprendere la struttura dei contenuti paginati."
"Meta Robots settings","Impostazioni Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Controlla il comportamento di indicizzazione e scansione con i meta tag e le intestazioni Robots."
"Custom robots rules by URL pattern","Regole robot personalizzate per pattern URL"
"Configure custom Robots meta tag directives for specific URL patterns.","Configura direttive personalizzate per i meta tag Robots per pattern URL specifici."
"Robots meta header for HTTPS","Intestazione meta Robots per HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Configura il comportamento dell'intestazione X-Robots-Tag specificamente per le pagine HTTPS."
"Alternate and hreflang settings","Impostazioni alternative e hreflang"
"Configure alternate language version indicators for international SEO optimization.","Configura gli indicatori di versione in lingua alternativa per l'ottimizzazione SEO internazionale."
"Enable alternate and hreflang links","Abilita link alternativi e hreflang"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Attiva i tag di versione in lingua alternativa per aiutare i motori di ricerca a servire la versione corretta di lingua/regione agli utenti."
"Manual alternate setting","Impostazione alternativa manuale"
"Configure specific store relationships for hreflang tag generation.","Configura relazioni di negozio specifiche per la generazione dei tag hreflang."
"Hreflang x-default settings","Impostazioni hreflang x-default"
"Specify which store view should be used as the default language fallback.","Specifica quale vista del negozio deve essere utilizzata come fallback della lingua predefinita."
"Hreflang locale code","Codice locale Hreflang"
"Override the default locale code used in hreflang attributes for this store view.","Sostituisci il codice locale predefinito utilizzato negli attributi hreflang per questa vista del negozio."
"Hreflang x-default","Hreflang x-default"
"Designate this website as the default language version when appropriate.","Designa questo sito web come versione della lingua predefinita quando appropriato."
"Add locale code to hreflang","Aggiungi codice locale a hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Aggiungi automaticamente i codici locale agli attributi hreflang in base alle impostazioni locali del negozio."
"Simplify category alternate links","Semplifica i link alternativi delle categorie"
"Remove extra parameters from category alternate URLs.","Rimuovi i parametri extra dagli URL alternativi delle categorie."
"Include hreflang links in sitemap","Includi link hreflang nella mappa del sito"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Aggiungi indicatori di lingua alternativa alle mappe del sito XML per un SEO multilingue migliorato."
"Manage URL redirects to maintain SEO value and improve user experience.","Gestisci i reindirizzamenti URL per mantenere il valore SEO e migliorare l'esperienza utente."
"Trailing slash redirects","Reindirizzamenti con barra finale"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Standardizza il formato URL applicando un utilizzo coerente della barra finale su tutto il sito."
"Process URLs","Elabora URL"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Applica l'impostazione della barra finale a tutti gli URL esistenti nel database.<br/>Salva la configurazione prima di premere il pulsante."
"Redirect URLs to lowercase","Reindirizza URL in minuscolo"
"Force lowercase URL format to prevent duplicate content from case variations.","Forza il formato URL in minuscolo per prevenire contenuti duplicati dalle variazioni di maiuscole/minuscole."
"Page types allowed for lowercase redirects","Tipi di pagina consentiti per i reindirizzamenti in minuscolo"
"Specify which page types should be included in lowercase redirection rules.","Specifica quali tipi di pagina devono essere inclusi nelle regole di reindirizzamento in minuscolo."
"SEO-friendly URL settings","Impostazioni URL SEO-friendly"
"Configure URL structure optimization for better search engine visibility.","Configura l'ottimizzazione della struttura URL per una migliore visibilità sui motori di ricerca."
"Create shorter category URLs","Crea URL categorie più brevi"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Genera URL di categoria più brevi e puliti eliminando i percorsi delle categorie padre."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Applica la rimozione del percorso della categoria padre a tutti gli URL di categoria esistenti nel database.<br/>Salva la configurazione prima di premere il pulsante."
"Product","Prodotto"
"URL key template","Template chiave URL"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Definisci un template strutturato per la generazione automatica della chiave URL del prodotto utilizzando gli attributi del prodotto.<br/><br/>Esempio:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>Per applicare a tutti i prodotti esegui via SSH:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Informazioni aggiuntive:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","La funzione è disabilitata se il campo corrente è vuoto."
"Use template for new product URLs","Usa template per i nuovi URL prodotto"
"Automatically generate URL keys based on the template when creating new products.","Genera automaticamente le chiavi URL in base al template durante la creazione di nuovi prodotti."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Se abilitato, l'estensione sovrascriverà la chiave URL nativa di Magento <br/>"
"Update URLs on visibility change","Aggiorna URL al cambio di visibilità"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Rigenera le chiavi URL quando la visibilità del prodotto viene aggiornata per mantenere la coerenza."
"SEO-friendly product image settings","Impostazioni immagini prodotto SEO-friendly"
"Optimize product image filenames and attributes for better image search visibility.","Ottimizza i nomi file e gli attributi delle immagini prodotto per una migliore visibilità nella ricerca immagini."
"Enable SEO-friendly image URLs","Abilita URL immagine SEO-friendly"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Genera nomi file immagine descrittivi e ricchi di parole chiave per le immagini prodotto.<br><strong>Avvertenza:</strong> Questa funzione può causare problemi significativi di prestazioni quando si utilizza l'archiviazione remota (AWS S3, Azure Blob, ecc.) a causa delle chiamate API aggiuntive necessarie per verificare l'esistenza del file. Per i negozi con archiviazione remota, considera di mantenere questa opzione disabilitata o aspettati tempi di caricamento della pagina più lunghi."
"Image name template","Template nome immagine"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Definisci il pattern per generare nomi file immagine SEO-friendly utilizzando gli attributi del prodotto.<br/>Se vuoto, verrà utilizzato [product_name]."
"Autogenerate image alt and title","Genera automaticamente alt e titolo immagine"
"Automatically create descriptive alt and title attributes for product images.","Crea automaticamente attributi alt e titolo descrittivi per le immagini prodotto."
"Image alt template","Template alt immagine"
"Define the pattern for generating image alt text using product attributes.","Definisci il pattern per generare il testo alt dell'immagine utilizzando gli attributi del prodotto."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","Per ottenere il valore nel template immagine (solitamente image_with_borders.phtml), usa $block->getLabel()"
"Image title template","Template titolo immagine"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Definisci il pattern per generare gli attributi titolo dell'immagine utilizzando gli attributi del prodotto.<br/>Se vuoto, verrà utilizzato un valore dal campo 'Template alt immagine'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","Per ottenere il valore nel template immagine (solitamente image_with_borders.phtml), usa $block->getTitle()"
"Product breadcrumbs","Breadcrumb prodotto"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Configura la generazione del percorso breadcrumb nelle pagine prodotto per migliorare la navigazione e il SEO."
"Appearance","Aspetto"
"Define when and how custom breadcrumb trails should appear on product pages.","Definisci quando e come i percorsi breadcrumb personalizzati devono apparire nelle pagine prodotto."
"Format","Formato"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Scegli tra percorso più breve (livello di categoria più alto) o percorso più lungo (categoria più profonda) per la generazione del breadcrumb."
"Include brand","Includi marca"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Aggiungi la marca del prodotto come elemento breadcrumb nel percorso di navigazione. La marca apparirà come elemento breadcrumb cliccabile prima del nome del prodotto."
"Brand attribute","Attributo marca"
"Specify which product attribute contains brand information.","Specifica quale attributo del prodotto contiene le informazioni sulla marca."
"Brand format","Formato marca"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Scegli come appare l'elemento breadcrumb della marca. ""Solo marca"" mostra solo il nome della marca. ""Categoria + Marca"" mostra il nome della categoria padre seguito dal nome della marca in un singolo elemento breadcrumb."
"Alternate settings","Impostazioni alternative"
"Open Graph image URL","URL immagine Open Graph"
"If empty Open Graph will use logo image URL","Se vuoto, Open Graph utilizzerà l'URL dell'immagine del logo"
"General information","Informazioni generali"
"Is active","È attivo"
"Canonical URL","URL canonical"
"Visible in store view","Visibile nella vista del negozio"
"Check URL for regular expression","Controlla URL con espressione regolare"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","In questo campo usa solo espressioni regolari. Lascia vuoto per disabilitare.<br/>Ad esempio: /orion-two-tone-fitted-jacket/<br/>Se l'URL della pagina corrisponde a questa espressione e altre condizioni sono soddisfatte, la regola verrà applicata."
"Additional","Aggiuntivo"
"Sort order","Ordinamento"
"Comments","Commenti"
"Add canonical rewrite","Aggiungi riscrittura canonical"
"Change status","Cambia stato"
"Delete items","Elimina elementi"
"Are you sure you want to delete the selected items?","Sei sicuro di voler eliminare gli elementi selezionati?"
"ID","ID"
"Regular expression","Espressione regolare"
"Status","Stato"
"Store view","Vista del negozio"
"Request URL","URL richiesta"
"Target URL","URL destinazione"
"Redirect type","Tipo di reindirizzamento"
"HTTP response status code that will be used when redirecting.","Codice di stato della risposta HTTP che verrà utilizzato durante il reindirizzamento."
"Redirect only if the request URL can't be found (404)","Reindirizza solo se l'URL richiesto non può essere trovato (404)"
"Request URL and Target URL cannot be the same.","L'URL richiesta e l'URL destinazione non possono essere uguali."
"Target URL must be different from Request URL.","L'URL destinazione deve essere diversa dall'URL richiesta."
"Auto-redirect for removed products","Reindirizzamento automatico per i prodotti rimossi"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Reindirizza automaticamente gli URL dei prodotti disabilitati o eliminati verso una destinazione attiva pertinente invece di restituire un errore 404. Le destinazioni vengono risolte in ordine di priorità: la prima categoria attiva del prodotto, poi l'URL di riserva e infine la homepage. Le regole generate compaiono in Marketing &#8594; SEO &#8594; Redirects e possono essere modificate o rimosse."
"Enable auto-redirect on disable","Abilita il reindirizzamento automatico alla disabilitazione"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Genera un reindirizzamento quando un prodotto viene impostato su Disabilitato. La riabilitazione del prodotto rimuove il relativo reindirizzamento automatico."
"Enable auto-redirect on delete","Abilita il reindirizzamento automatico all'eliminazione"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Genera un reindirizzamento quando un prodotto viene eliminato, utilizzando l'URL del prodotto acquisito al momento dell'eliminazione."
"Fallback URL","URL di riserva"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Destinazione utilizzata quando un prodotto rimosso non ha alcuna categoria attiva. Lasciare vuoto per reindirizzare alla homepage."
"301 preserves link equity (recommended); 302/307 are temporary.","301 preserva il valore dei link (consigliato); 302/307 sono temporanei."
"Source","Origine"
"Manual","Manuale"
"Auto","Automatico"
"Auto-generated for removed product #%1","Generato automaticamente per il prodotto rimosso n. %1"
