"Conditions","Villkor"
"Please enable the Mirasvit_SeoSitemap module by running the following command: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>","Aktivera modulen Mirasvit_SeoSitemap genom att köra följande kommando: <pre>bin/magento module:enable Mirasvit_SeoSitemap</pre>"
"Enhanced search results that provide additional information to searchers on the contents of a page. Google and other search engines use structured data, contained within the HTML, or Javascript of a webpage, to form these snippets.","Förbättrade sökresultat som ger sökare ytterligare information om innehållet på en sida. Google och andra sökmotorer använder strukturerad data i HTML eller JavaScript på en webbsida för att skapa dessa snippets."
"Using product names or other variables as image filenames is more descriptive to search engines than using random characters or numbers.","Att använda produktnamn eller andra variabler som bildfilnamn är mer beskrivande för sökmotorer än att använda slumpmässiga tecken eller siffror."
"Alt tags provide a text alternative for an image for search engines and those using screen readers to access a web page.","Alt-taggar ger ett textalternativ för en bild för sökmotorer och de som använder skärmläsare för att komma åt en webbsida."
"When the ""Use meta tags from products if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","När alternativet ""Använd meta-taggar från produkter om de inte är tomma"" är inställt på ""Ja"" påverkar det den här mallen. Läs mer"
"When the ""Use meta tags from categories if they are not empty"" option is set to ""Yes"", it will affect this template. Read more","När alternativet ""Använd meta-taggar från kategorier om de inte är tomma"" är inställt på ""Ja"" påverkar det den här mallen. Läs mer"
"Blog Data","Bloggdata"
"Brand Data","Varumärkesdata"
"Category Data","Kategoridata"
"CMS Page Data","CMS-siddata"
"Filter Data","Filterdata"
"Landing Page Data","Landningssiddata"
"Current Page Data","Aktuell siddata"
"Pagination","Paginering"
"Page %1","Sida %1"
"Product Data","Produktdata"
"Store Data","Butiksdata"
"Reversed by TrailingSlashService","Återställd av TrailingSlashService"
"Auto-generated by TrailingSlashService","Automatiskt genererad av TrailingSlashService"
"Product ID: %1 Store ID: %2 Url Key: %3","Produkt-ID: %1 Butiks-ID: %2 URL-nyckel: %3"
"Already used url key","URL-nyckel används redan"
"Empty url key","Tom URL-nyckel"
"Duplicate used url key","Duplicerad URL-nyckel används"
"Updated url key","Uppdaterad URL-nyckel"
"Edit","Redigera"
"Delete","Ta bort"
"Delete item?","Ta bort objekt?"
"Back","Tillbaka"
"Are you sure you want to do this?","Är du säker på att du vill göra detta?"
"Reset","Återställ"
"Resets input fields values","Återställer indatafältens värden"
"Save and continue edit","Spara och fortsätt redigera"
"Save","Spara"
"All store views","Alla butiksvyer"
"Tests passed.","Tester godkända."
"test(s) remaining","test återstår"
"Hint","Tips"
"Solution","Lösning"
"here","här"
"Import redirects (.csv)","Importera omdirigeringar (.csv)"
"Import redirects","Importera omdirigeringar"
"Download example CSV file for redirect import","Ladda ned exempel-CSV-fil för omdirigeringsimport"
"Example of CSV file","Exempel på CSV-fil"
"Export redirects (.csv)","Exportera omdirigeringar (.csv)"
"Export redirects","Exportera omdirigeringar"
"This operation can take a long time.","Den här åtgärden kan ta lång tid."
"All category URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alla kategori-URL:er kommer att ändras. Den här åtgärden kan inte ångras. Vill du bekräfta?"
"Error during request.","Fel vid begäran."
"Error during removal of category path.","Fel vid borttagning av kategorisökväg."
"Error during processing URLs.","Fel vid bearbetning av URL:er."
"All URLs will be changed. This action cannot be undone. Do you want to confirm it?","Alla URL:er kommer att ändras. Den här åtgärden kan inte ångras. Vill du bekräfta?"
"Category image for %1","Kategoribild för %1"
"Attention","Observera"
"SEO general settings","Allmänna SEO-inställningar"
"Canonical settings","Kanoniska inställningar"
"Configure canonical URLs to prevent duplicate content issues and consolidate ranking signals.","Konfigurera kanoniska URL:er för att förhindra problem med duplicerat innehåll och konsolidera rankningssignaler."
"Common settings","Allmänna inställningar"
"Control general canonical URL behavior across your store.","Styr det allmänna kanoniska URL-beteendet i din butik."
"Enable canonical URLs","Aktivera kanoniska URL:er"
"Activate canonical URL generation to prevent duplicate content penalties and improve SEO ranking.","Aktivera generering av kanoniska URL:er för att förhindra straffpoäng för duplicerat innehåll och förbättra SEO-rankingen."
"Don't use canonical URLs on pages","Använd inte kanoniska URL:er på sidor"
"Specify URL patterns where canonical tags should be omitted (one URL per line).","Ange URL-mönster där kanoniska taggar ska utelämnas (en URL per rad)."
"Add pagination to canonical URLs","Lägg till paginering till kanoniska URL:er"
"When enabled, pagination parameters will be included in canonical URLs for paginated content.","När aktiverat inkluderas pagineringsparametrar i kanoniska URL:er för paginerat innehåll."
"Strip store codes from canonicals","Ta bort butikskoder från kanoniska URL:er"
"Strip store codes from canonical URLs for cleaner URL structure when using multiple store views.","Ta bort butikskoder från kanoniska URL:er för en renare URL-struktur när du använder flera butiksvyer."
"Cross-domain canonical URL","Kanonisk URL för flera domäner"
"Configure canonical URLs to point to a preferred domain when content exists across multiple domains.","Konfigurera kanoniska URL:er att peka på en föredragen domän när innehåll finns på flera domäner."
"HTTPS URLs for cross-domain canonical","HTTPS-URL:er för kanonisk URL för flera domäner"
"Force HTTPS protocol in cross-domain canonical URLs for security and consistency.","Tvinga HTTPS-protokoll i kanoniska URL:er för flera domäner för säkerhet och konsekvens."
"Product page settings","Inställningar för produktsida"
"Configure canonical URL behavior specifically for product pages.","Konfigurera kanoniskt URL-beteende specifikt för produktsidor."
"Product canonical URL format","Format för kanonisk produkt-URL"
"Choose between shortest/longest path format for product canonical URLs.","Välj mellan kortaste/längsta sökvägsformat för kanoniska produkt-URL:er."
"Canonical tag for child products","Kanonisk tagg för underordnade produkter"
"Define canonical URL behavior for child products within complex product types.","Definiera kanoniskt URL-beteende för underordnade produkter inom komplexa produkttyper."
"Configurable product","Konfigurerbar produkt"
"Set canonical tag behavior for simple products that are part of configurable products.","Ange kanoniskt taggbeteende för enkla produkter som ingår i konfigurerbara produkter."
"Grouped product","Grupperad produkt"
"Set canonical tag behavior for simple products that are part of grouped products.","Ange kanoniskt taggbeteende för enkla produkter som ingår i grupperade produkter."
"Bundle product","Paketprodukt"
"Set canonical tag behavior for simple products that are part of bundle products.","Ange kanoniskt taggbeteende för enkla produkter som ingår i paketprodukter."
"Category page settings","Inställningar för kategorisida"
"Configure canonical URL behavior specifically for category pages.","Konfigurera kanoniskt URL-beteende specifikt för kategorisidor."
"Canonical URL for filtered categories","Kanonisk URL för filtrerade kategorier"
"Define how canonical URLs should handle category pages with active filters.","Definiera hur kanoniska URL:er ska hantera kategorisidor med aktiva filter."
"Filter inclusion in canonical URL","Filterinkludering i kanonisk URL"
"Configure which specific filters should be included in canonical URLs.","Konfigurera vilka specifika filter som ska inkluderas i kanoniska URL:er."
"Enable link rel=""next/prev""","Aktivera link rel=""next/prev"""
"Implement pagination relationship tags to help search engines understand paginated content structure.","Implementera pagineringsrelationstaggar för att hjälpa sökmotorer förstå strukturen hos paginerat innehåll."
"Meta Robots settings","Inställningar för Meta Robots"
"Control indexing and crawling behavior with Robots meta tags and headers.","Styr indexerings- och crawlningsbeteende med Robots meta-taggar och huvuden."
"Custom robots rules by URL pattern","Anpassade robotsregler efter URL-mönster"
"Configure custom Robots meta tag directives for specific URL patterns.","Konfigurera anpassade Robots meta-taggdirektiv för specifika URL-mönster."
"Robots meta header for HTTPS","Robots meta-huvud för HTTPS"
"Configure X-Robots-Tag header behavior specifically for HTTPS pages.","Konfigurera X-Robots-Tag-huvudbeteende specifikt för HTTPS-sidor."
"Alternate and hreflang settings","Alternativa och hreflang-inställningar"
"Configure alternate language version indicators for international SEO optimization.","Konfigurera indikatorer för alternativa språkversioner för internationell SEO-optimering."
"Enable alternate and hreflang links","Aktivera alternativa länkar och hreflang-länkar"
"Activate alternate language version tags to help search engines serve the correct language/regional version to users.","Aktivera alternativa språkversionsetiketter för att hjälpa sökmotorer att visa rätt språk- eller regionalversion för användare."
"Manual alternate setting","Manuell alternativt inställning"
"Configure specific store relationships for hreflang tag generation.","Konfigurera specifika butiksrelationer för generering av hreflang-taggar."
"Hreflang x-default settings","Hreflang x-standardinställningar"
"Specify which store view should be used as the default language fallback.","Ange vilken butiksvy som ska användas som standardspråksfallback."
"Hreflang locale code","Hreflang-lokalkod"
"Override the default locale code used in hreflang attributes for this store view.","Åsidosätt standardlokalkoden som används i hreflang-attribut för den här butiksvyn."
"Hreflang x-default","Hreflang x-standard"
"Designate this website as the default language version when appropriate.","Utse den här webbplatsen som standardspråkversion när det är lämpligt."
"Add locale code to hreflang","Lägg till lokalkod i hreflang"
"Automatically append locale codes to hreflang attributes based on store locale settings.","Lägg automatiskt till lokalkoder i hreflang-attribut baserat på butikslokalinställningar."
"Simplify category alternate links","Förenkla alternativa kategorilänkar"
"Remove extra parameters from category alternate URLs.","Ta bort extra parametrar från alternativa kategori-URL:er."
"Include hreflang links in sitemap","Inkludera hreflang-länkar i webbplatskartan"
"Add alternate language indicators to XML sitemaps for improved multi-language SEO.","Lägg till alternativa språkindikatorer till XML-webbplatskartor för förbättrad flerspråkig SEO."
"Manage URL redirects to maintain SEO value and improve user experience.","Hantera URL-omdirigeringar för att behålla SEO-värde och förbättra användarupplevelsen."
"Trailing slash redirects","Omdirigeringar med avslutande snedstreck"
"Standardize URL format by enforcing consistent trailing slash usage across the site.","Standardisera URL-formatet genom att genomdriva konsekvent användning av avslutande snedstreck på hela webbplatsen."
"Process URLs","Bearbeta URL:er"
"Apply the trailing slash setting to all existing URLs in the database.<br/>Save configuration before pushing the button.","Tillämpa inställningen för avslutande snedstreck på alla befintliga URL:er i databasen.<br/>Spara konfigurationen innan du trycker på knappen."
"Redirect URLs to lowercase","Omdirigera URL:er till gemener"
"Force lowercase URL format to prevent duplicate content from case variations.","Tvinga gemener i URL-format för att förhindra duplicerat innehåll från skiftlägesvariationer."
"Page types allowed for lowercase redirects","Sidtyper tillåtna för gemensomdirigering"
"Specify which page types should be included in lowercase redirection rules.","Ange vilka sidtyper som ska inkluderas i regler för gemensomdirigeringar."
"SEO-friendly URL settings","SEO-vänliga URL-inställningar"
"Configure URL structure optimization for better search engine visibility.","Konfigurera URL-strukturoptimering för bättre synlighet i sökmotorer."
"Create shorter category URLs","Skapa kortare kategori-URL:er"
"Generate shorter, cleaner category URLs by eliminating parent category paths.","Generera kortare, renare kategori-URL:er genom att eliminera överordnade kategorisökvägar."
"Apply the parent category path removal to all existing category URLs in the database.<br/>Save configuration before pushing the button.","Tillämpa borttagningen av överordnad kategorisökväg på alla befintliga kategori-URL:er i databasen.<br/>Spara konfigurationen innan du trycker på knappen."
"Product","Produkt"
"URL key template","URL-nyckelmall"
"Define a structured template for automatic product URL key generation using product attributes.<br/><br/>Example:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>To apply for all products run in ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Additional info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>","Definiera en strukturerad mall för automatisk generering av produkt-URL-nycklar med produktattribut.<br/><br/>Exempel:<br/><code>[product_name] [product_sku] [by {product_manufacturer}] [color {product_color}]</code><br/><br/>För att tillämpa för alla produkter, kör via ssh:<br/><code>bin/magento mirasvit:seo:product-url-template --apply</code><br/><br/>Ytterligare info:<br/><code>bin/magento mirasvit:seo:product-url-template</code>"
"Function is disabled if current field is empty.","Funktionen är inaktiverad om det aktuella fältet är tomt."
"Use template for new product URLs","Använd mall för nya produkt-URL:er"
"Automatically generate URL keys based on the template when creating new products.","Generera automatiskt URL-nycklar baserat på mallen när nya produkter skapas."
"If enabled, the extension will overwrite the Magento native URL key <br/>","Om aktiverat skriver tillägget över Magentos inbyggda URL-nyckel <br/>"
"Update URLs on visibility change","Uppdatera URL:er vid synlighetsändring"
"Regenerate URL keys when product visibility is updated to maintain consistency.","Regenerera URL-nycklar när produktsynligheten uppdateras för att bibehålla konsekvens."
"SEO-friendly product image settings","SEO-vänliga inställningar för produktbilder"
"Optimize product image filenames and attributes for better image search visibility.","Optimera produktbilders filnamn och attribut för bättre synlighet i bildsökning."
"Enable SEO-friendly image URLs","Aktivera SEO-vänliga bild-URL:er"
"Generate descriptive, keyword-rich image filenames for product images.<br><strong>Warning:</strong> This feature may cause significant performance issues when using remote storage (AWS S3, Azure Blob, etc.) due to additional API calls required to check file existence. For stores with remote storage, consider keeping this option disabled or expect increased page load times.","Generera beskrivande, nyckelordsrika bildfilnamn för produktbilder.<br><strong>Varning:</strong> Den här funktionen kan orsaka betydande prestandaproblem vid användning av fjärrlagring (AWS S3, Azure Blob, etc.) på grund av ytterligare API-anrop som krävs för att kontrollera filens existens. För butiker med fjärrlagring, överväg att hålla det här alternativet inaktiverat eller förvänta dig ökad sidladdningstid."
"Image name template","Mall för bildnamn"
"Define the pattern for generating SEO-friendly image filenames using product attributes.<br/>If empty, [product_name] will be used.","Definiera mönstret för att generera SEO-vänliga bildfilnamn med hjälp av produktattribut.<br/>Om tomt används [product_name]."
"Autogenerate image alt and title","Generera automatiskt bild-alt och titel"
"Automatically create descriptive alt and title attributes for product images.","Skapa automatiskt beskrivande alt- och titelattribut för produktbilder."
"Image alt template","Mall för bild-alt"
"Define the pattern for generating image alt text using product attributes.","Definiera mönstret för att generera bild-alt-text med hjälp av produktattribut."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getLabel()","För att hämta värdet i bildmallen (vanligtvis image_with_borders.phtml), använd $block->getLabel()"
"Image title template","Mall för bildtitel"
"Define the pattern for generating image title attributes using product attributes.<br/>If empty, a value from the 'Image alt template' field will be used.","Definiera mönstret för att generera bildtitelattribut med hjälp av produktattribut.<br/>Om tomt används ett värde från fältet 'Mall för bild-alt'."
"To get the value in the image template (usually image_with_borders.phtml), use $block->getTitle()","För att hämta värdet i bildmallen (vanligtvis image_with_borders.phtml), använd $block->getTitle()"
"Product breadcrumbs","Produktbrödsmulor"
"Configure product page breadcrumb trail generation to improve navigation and SEO.","Konfigurera generering av brödsmulespår på produktsidan för att förbättra navigering och SEO."
"Appearance","Utseende"
"Define when and how custom breadcrumb trails should appear on product pages.","Definiera när och hur anpassade brödsmulespår ska visas på produktsidor."
"Format","Format"
"Choose between shortest path (highest category level) or longest path (deepest category) for breadcrumb generation.","Välj mellan kortaste sökväg (högsta kategorinivå) eller längsta sökväg (djupaste kategori) för generering av brödsmulor."
"Include brand","Inkludera varumärke"
"Add the product's brand as a breadcrumb item in the navigation trail. The brand will appear as a clickable breadcrumb element before the product name.","Lägg till produktens varumärke som ett brödsmuleobjekt i navigeringsspåret. Varumärket visas som ett klickbart brödsmuleelement före produktnamnet."
"Brand attribute","Varumärkesattribut"
"Specify which product attribute contains brand information.","Ange vilket produktattribut som innehåller varumärkesinformation."
"Brand format","Varumärkesformat"
"Choose how the brand breadcrumb item appears. ""Brand only"" shows just the brand name. ""Category + Brand"" shows the parent category name followed by the brand name in a single breadcrumb item.","Välj hur varumärkesbrödsmuleobjektet visas. ""Endast varumärke"" visar bara varumärkesnamnet. ""Kategori + Varumärke"" visar det överordnade kategorinamnet följt av varumärkesnamnet i ett enda brödsmuleobjekt."
"Alternate settings","Alternativa inställningar"
"Open Graph image URL","Open Graph-bild-URL"
"If empty Open Graph will use logo image URL","Om tomt använder Open Graph logo-bildens URL"
"General information","Allmän information"
"Is active","Är aktiv"
"Canonical URL","Kanonisk URL"
"Visible in store view","Synlig i butiksvy"
"Check URL for regular expression","Kontrollera URL med reguljärt uttryck"
"In this field use only regular expression. Leave blank to disable.<br/>For example: /orion-two-tone-fitted-jacket/<br/>If URL of the page matches this expression and other conditions are met, the rule will be applied.","I det här fältet använder du endast reguljärt uttryck. Lämna tomt för att inaktivera.<br/>Exempel: /orion-two-tone-fitted-jacket/<br/>Om sidans URL matchar det här uttrycket och andra villkor uppfylls tillämpas regeln."
"Additional","Ytterligare"
"Sort order","Sorteringsordning"
"Comments","Kommentarer"
"Add canonical rewrite","Lägg till kanonisk omskrivning"
"Change status","Ändra status"
"Delete items","Ta bort objekt"
"Are you sure you want to delete the selected items?","Är du säker på att du vill ta bort de markerade objekten?"
"ID","ID"
"Regular expression","Reguljärt uttryck"
"Status","Status"
"Store view","Butiksvy"
"Request URL","Begärd URL"
"Target URL","Mål-URL"
"Redirect type","Omdirigeringstyp"
"HTTP response status code that will be used when redirecting.","HTTP-svarsstatuskod som används vid omdirigering."
"Redirect only if the request URL can't be found (404)","Omdirigera endast om den begärda URL:en inte hittas (404)"
"Request URL and Target URL cannot be the same.","Begärd URL och Mål-URL får inte vara samma."
"Target URL must be different from Request URL.","Mål-URL måste skilja sig från Begärd URL."
"Auto-redirect for removed products","Automatisk omdirigering för borttagna produkter"
"Automatically redirect the URLs of disabled or deleted products to a relevant active destination instead of returning a 404. Targets resolve in priority order: the product's first active category, then the fallback URL, then the homepage. Generated rules appear in Marketing &#8594; SEO &#8594; Redirects and can be edited or removed.","Omdirigerar automatiskt URL:erna för inaktiverade eller borttagna produkter till en relevant aktiv destination i stället för att returnera ett 404-fel. Destinationerna avgörs i prioritetsordning: produktens första aktiva kategori, sedan reserv-URL:en och slutligen startsidan. Genererade regler visas under Marketing &#8594; SEO &#8594; Redirects och kan redigeras eller tas bort."
"Enable auto-redirect on disable","Aktivera automatisk omdirigering vid inaktivering"
"Generate a redirect when a product is set to Disabled. Re-enabling the product removes its auto-redirect.","Skapar en omdirigering när en produkt sätts till Inaktiverad. Om produkten aktiveras igen tas dess automatiska omdirigering bort."
"Enable auto-redirect on delete","Aktivera automatisk omdirigering vid borttagning"
"Generate a redirect when a product is deleted, using the product URL captured at delete time.","Skapar en omdirigering när en produkt tas bort, med hjälp av den produkt-URL som registrerades vid borttagningstillfället."
"Fallback URL","Reserv-URL"
"Destination used when a removed product has no active category. Leave blank to fall through to the homepage.","Destination som används när en borttagen produkt inte har någon aktiv kategori. Lämna tomt för att omdirigera till startsidan."
"301 preserves link equity (recommended); 302/307 are temporary.","301 bevarar länkvärdet (rekommenderas); 302/307 är tillfälliga."
"Source","Källa"
"Manual","Manuell"
"Auto","Automatisk"
"Auto-generated for removed product #%1","Automatiskt genererad för borttagen produkt #%1"
