"Template manager","Vorlagenmanager"
"If number of applied filters %1 %2 while %3 of these Conditions match:","Wenn die Anzahl der angewandten Filter %1 %2 ist, während %3 dieser Bedingungen übereinstimmt:"
"Landing Page","Landing Page"
"Page","Seite"
"Attribute set","Attributset"
"Product type","Produkttyp"
"SEO Content","SEO-Inhalt"
"Is Category Page — %1","Ist Kategorieseite — %1"
"Is Landing Page — %1","Ist Landing Page — %1"
"Is Navigation Page — %1","Ist Navigationsseite — %1"
"Is Product Page — %1","Ist Produktseite — %1"
"Is CMS page — %1","Ist CMS-Seite — %1"
"Is Blog Page — %1","Ist Blog-Seite — %1"
"Is Brand Page — %1","Ist Markenseite — %1"
"State","Status"
"Applied Template — %1","Angewandte Vorlage — %1"
"Applied Rewrite — %1","Angewandte Umschreibung — %1"
"Content","Inhalt"
"Content Sources","Inhaltsquellen"
"Page %1 | %2","Seite %1 | %2"
"%1 | Page %2","%1 | Seite %2"
"Tag: %1","Tag: %1"
"Back","Zurück"
"Delete","Löschen"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun möchten?"
"Save and continue edit","Speichern und weiter bearbeiten"
"Save","Speichern"
"Edit","Bearbeiten"
"Delete rewrite?","Umschreibung löschen?"
"Default","Standard"
"Yes","Ja"
"No","Nein"
"Bottom of the page","Unteres Ende der Seite"
"Under custom template","Unter benutzerdefinierter Vorlage"
"Don't add automatically","Nicht automatisch hinzufügen"
"Don't change","Nicht ändern"
"NOINDEX, NOFOLLOW","NOINDEX, NOFOLLOW"
"NOINDEX, FOLLOW","NOINDEX, FOLLOW"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Bedingungen"
"Conditions (leave blank for all elements, depending from rule type)","Bedingungen (leer lassen für alle Elemente, abhängig vom Regeltyp)"
"Duplicate","Duplizieren"
"Delete template?","Vorlage löschen?"
"Meta title","Meta-Titel"
"Meta keywords","Meta-Keywords"
"Meta description","Meta-Beschreibung"
"Title (H1)","Titel (H1)"
"Product short description","Produkt-Kurzbeschreibung"
"Product Description","Produktbeschreibung"
"Category description","Kategoriebeschreibung"
"Brand Description","Markenbeschreibung"
"Under product list","Unter der Produktliste"
"Under short description","Unter der Kurzbeschreibung"
"Under full description","Unter der vollständigen Beschreibung"
"Categories","Kategorien"
"Layered navigation","Layered Navigation"
"Products","Produkte"
"CMS pages","CMS-Seiten"
"Blog","Blog"
"Landing Pages","Landing Pages"
"SEO Rewrite Import","SEO-Umschreibungs-Import"
"Import rewrites (.csv)","Umschreibungen importieren (.csv)"
"Import rewrites","Umschreibungen importieren"
"This is a required field.","Dies ist ein Pflichtfeld."
"Example of CSV file","Beispiel einer CSV-Datei"
"SEO Rewrite Export","SEO-Umschreibungs-Export"
"Export rewrites (.csv)","Umschreibungen exportieren (.csv)"
"Export rewrites","Umschreibungen exportieren"
"Please select the rule type","Bitte Regeltyp auswählen"
"Preview not allowed for layered navigation templates","Vorschau für Layered-Navigation-Vorlagen nicht erlaubt"
"Preview not allowed for Blog templates","Vorschau für Blog-Vorlagen nicht erlaubt"
"Preview not allowed for Brand templates","Vorschau für Marken-Vorlagen nicht erlaubt"
"URL or Entity IDs separated by comma","URL oder Entitäts-IDs durch Komma getrennt"
"Nothing to display","Nichts anzuzeigen"
"Template variables","Vorlagenvariablen"
"learn more","mehr erfahren"
"Double click on a variable to insert it into the field","Doppelklicken Sie auf eine Variable, um sie in das Feld einzufügen"
"Learn more about template variables","Mehr über Vorlagenvariablen erfahren"
"Template Preview","Vorlagenvorschau"
"Reload","Neu laden"
"SEO Templates and rewrites","SEO-Vorlagen und Umschreibungen"
"General settings","Allgemeine Einstellungen"
"Configure basic behavior of meta tags processing across your store.","Grundlegendes Verhalten der Meta-Tag-Verarbeitung im gesamten Shop konfigurieren."
"Apply store prefixes to custom titles","Shop-Präfixe auf benutzerdefinierte Titel anwenden"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Wenn aktiviert, wird das Titel-Präfix/Suffix des Shops (konfiguriert in Inhalt > Design > Konfiguration) automatisch auf benutzerdefinierte Meta-Titel angewendet."
"Allow HTML in meta tags","HTML in Meta-Tags erlauben"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Wenn aktiviert, werden HTML-Sonderzeichen (&, <, >, usw.) in Meta-Tags beibehalten und nicht escaped. Nützlich für die Einbindung von Sonderzeichen oder Entitäten."
"Use existing meta tags","Vorhandene Meta-Tags verwenden"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Festlegen, wie das Modul vorlagenbasierte Meta-Tags für verschiedene Seitentypen anwenden soll. Wenn aktiviert, prüft die Erweiterung zunächst die originalen Meta-Tags. Wenn diese nicht leer sind, werden sie verwendet; andernfalls werden Meta-Tags anhand der definierten Vorlagen generiert. Wenn deaktiviert, werden Meta-Tags immer aus den Vorlagen generiert, unabhängig von vorhandenen Meta-Tags."
"Category pages","Kategorieseiten"
"Product pages","Produktseiten"
"Blog pages","Blog-Seiten"
"Requires Mirasvit Blog module.","Erfordert das Mirasvit Blog-Modul."
"Brand pages","Markenseiten"
"Requires Mirasvit Brand module.","Erfordert das Mirasvit Marken-Modul."
"Landing pages","Landing Pages"
"Requires Mirasvit Landing Page module.","Erfordert das Mirasvit Landing-Page-Modul."
"Content and meta length settings","Inhalt- und Meta-Längen-Einstellungen"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Zeichenlimits für verschiedene Meta-Elemente angeben, um eine optimale Anzeige in den Suchergebnissen zu gewährleisten. Der Meta-Element-Wert wird auf die angegebene Länge gekürzt. Zu niedrige Werte werden durch empfohlene Mindestwerte ersetzt."
"Maximum character length for meta titles.","Maximale Zeichenlänge für Meta-Titel."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google zeigt typischerweise ~55-60 Zeichen. Werte unter 25 werden auf 55 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Maximum character length for meta descriptions.","Maximale Zeichenlänge für Meta-Beschreibungen."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google zeigt typischerweise ~150-160 Zeichen. Werte unter 25 werden auf 150 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Product name","Produktname"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Maximale Zeichenlänge für Produktnamen, die auf Produktseiten angezeigt werden. Diese Einstellung steuert die Kürzung von Produkttiteln im Seiteninhalt."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Werte unter 10 werden auf 25 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Maximale Zeichenlänge für Produkt-Kurzbeschreibungen, die auf Produktseiten angezeigt werden. Diese Einstellung beeinflusst die Darstellung des Seiteninhalts."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Werte unter 25 werden auf 90 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Paginated content settings","Einstellungen für paginierte Inhalte"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Konfigurieren, wie Paginierungsinformationen in Meta-Tags für mehrseitige Kategorielisten und Suchergebnisse erscheinen."
"Add pagination to meta titles","Seitennavigation zu Meta-Titeln hinzufügen"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Steuert, wie Seitennummern in Meta-Titeln für paginierte Inhalte erscheinen. Hilft Suchmaschinen, die Paginierungsstruktur zu verstehen."
"Add pagination to meta descriptions","Seitennavigation zu Meta-Beschreibungen hinzufügen"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Steuert, wie Seitennummern in Meta-Beschreibungen für paginierte Inhalte erscheinen. Hilft dabei, eindeutige Meta-Beschreibungen über paginierte Seiten hinweg beizubehalten."
"H1 Title","H1-Titel"
"General information","Allgemeine Informationen"
"Pattern of URL or action name","Muster von URL oder Aktionsname"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Kann ein vollständiger Aktionsname oder ein Anfragepfad sein. Platzhalter erlaubt. Beispiele:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Ist aktiv"
"Sort order","Sortierreihenfolge"
"Store view","Shop-Ansicht"
"Title","Titel"
"Use title in breadcrumbs","Titel in Breadcrumbs verwenden"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Wenn aktiviert, wird der Wert des <b>Titel</b>-Felds als letztes Breadcrumb-Element-Label auf der übereinstimmenden Seite verwendet."
"Robots meta header","Robots-Meta-Header"
"Add to Sitemap","Zur Sitemap hinzufügen"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Das eingeschlossene Linkmuster darf kein Aktionsname sein oder Platzhalterzeichen enthalten. Für eine Frontend-Sitemap ist das <b>Titel</b>-Feld erforderlich."
"SEO description position","SEO-Beschreibungsposition"
"Template for adding SEO description","Vorlage zum Hinzufügen der SEO-Beschreibung"
"Block template","Block-Vorlage"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Wird in der Position hinzugefügt, die Sie im Feld ""SEO-Beschreibungsposition"" und ""Vorlage zum Hinzufügen der SEO-Beschreibung"" konfigurieren können, oder im ""SEO-Beschreibung""-Widget."
"Add rewrite","Umschreibung hinzufügen"
"ID","ID"
"URL","URL"
"Meta Robots","Meta-Robots"
"Description position","Beschreibungsposition"
"Store","Shop"
"Internal name","Interner Name"
"Type","Typ"
"Description settings","Beschreibungseinstellungen"
"Will only be applied if native Magento category description block is displayed on the frontend.","Wird nur angewendet, wenn der native Magento-Kategoriebeschreibungsblock im Frontend angezeigt wird."
"Short description","Kurzbeschreibung"
"Full description","Vollständige Beschreibung"
"Rules processing","Regelverarbeitung"
"Stop further rules processing","Weitere Regelverarbeitung stoppen"
"Apply to child categories","Auf untergeordnete Kategorien anwenden"
"If category is set in Conditions, template will also be applied to all child categories.","Wenn eine Kategorie in den Bedingungen festgelegt ist, wird die Vorlage auch auf alle untergeordneten Kategorien angewendet."
"Landing pages additional settings","Zusätzliche Landing-Page-Einstellungen"
"Apply for landing pages","Für Landing Pages anwenden"
"CMS pages additional settings","Zusätzliche CMS-Seiten-Einstellungen"
"Apply for homepage","Für die Startseite anwenden"
"Brands additional settings","Zusätzliche Marken-Einstellungen"
"Apply for the ""All Brands"" page","Für die ""Alle Marken""-Seite anwenden"
"Add template","Vorlage hinzufügen"
"Template","Vorlage"
"Rule type","Regeltyp"
