"Template manager","Mallhanterare"
"Duplicate","Duplicera"
"Delete template?","Ta bort mall?"
"Meta title","Meta-titel"
"Meta keywords","Meta-nyckelord"
"Meta description","Meta-beskrivning"
"Title (H1)","Titel (H1)"
"Product short description","Kort produktbeskrivning"
"Product Description","Produktbeskrivning"
"Category description","Kategoribeskrivning"
"Brand Description","Varumärkesbeskrivning"
"Under product list","Under produktlista"
"Under short description","Under kort beskrivning"
"Under full description","Under fullständig beskrivning"
"Categories","Kategorier"
"Layered navigation","Lagernavigering"
"Products","Produkter"
"CMS pages","CMS-sidor"
"Blog","Blogg"
"Landing Pages","Landningssidor"
"SEO Rewrite Import","Import av SEO-omskrivning"
"Import rewrites (.csv)","Importera omskrivningar (.csv)"
"Import rewrites","Importera omskrivningar"
"This is a required field.","Det här är ett obligatoriskt fält."
"Example of CSV file","Exempel på CSV-fil"
"SEO Rewrite Export","Export av SEO-omskrivning"
"Export rewrites (.csv)","Exportera omskrivningar (.csv)"
"Export rewrites","Exportera omskrivningar"
"Please select the rule type","Välj regeltyp"
"Preview not allowed for layered navigation templates","Förhandsgranskning är inte tillåten för lagernaveringssmallar"
"Preview not allowed for Blog templates","Förhandsgranskning är inte tillåten för bloggmallar"
"Preview not allowed for Brand templates","Förhandsgranskning är inte tillåten för varumärkesmallar"
"URL or Entity IDs separated by comma","URL eller entitets-ID:n separerade med komma"
"Nothing to display","Inget att visa"
"Template variables","Mallvariabler"
"learn more","läs mer"
"Double click on a variable to insert it into the field","Dubbelklicka på en variabel för att infoga den i fältet"
"Learn more about template variables","Läs mer om mallvariabler"
"Template Preview","Mallförhandsgranskning"
"Reload","Ladda om"
"SEO Templates and rewrites","SEO-mallar och omskrivningar"
"General settings","Allmänna inställningar"
"Configure basic behavior of meta tags processing across your store.","Konfigurera grundläggande beteende för meta-taggbearbetning i din butik."
"Apply store prefixes to custom titles","Tillämpa butiksprefix på anpassade titlar"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","När aktiverat tillämpas butikens titelprefix/-suffix (konfigurerat under Innehåll > Design > Konfiguration) automatiskt på alla anpassade meta-titlar."
"Allow HTML in meta tags","Tillåt HTML i meta-taggar"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","När aktiverat bevaras HTML-specialtecken (&, <, >, etc.) i meta-taggar i stället för att escapas. Användbart för att inkludera specialsymboler eller -entiteter."
"Use existing meta tags","Använd befintliga meta-taggar"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Definiera hur modulen ska tillämpa mallbaserade meta-taggar för olika sidtyper. När aktiverat kontrollerar tillägget först de ursprungliga meta-taggarna. Om de inte är tomma används de; annars genereras meta-taggar baserat på de definierade mallarna. När inaktiverat genereras meta-taggar alltid från mallarna, oavsett befintliga meta-taggar."
"Category pages","Kategorisidor"
"Product pages","Produktsidor"
"Blog pages","Bloggsidor"
"Requires Mirasvit Blog module.","Kräver Mirasvit Blog-modulen."
"Brand pages","Varumärkessidor"
"Requires Mirasvit Brand module.","Kräver Mirasvit Brand-modulen."
"Landing pages","Landningssidor"
"Requires Mirasvit Landing Page module.","Kräver Mirasvit Landing Page-modulen."
"Content and meta length settings","Inställningar för innehålls- och metalängd"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Ange teckengränser för olika metaelement för att säkerställa optimal visning i sökresultat. Metaelementets värde trunkeras till den angivna längden. Värden som är för låga ersätts med rekommenderade minimum."
"Maximum character length for meta titles.","Maximalt antal tecken för meta-titlar."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google visar vanligtvis ~55-60 tecken. Värden under 25 ger standardvärdet 55. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Maximum character length for meta descriptions.","Maximalt antal tecken för meta-beskrivningar."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google visar vanligtvis ~150-160 tecken. Värden under 25 ger standardvärdet 150. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Product name","Produktnamn"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Maximalt antal tecken för produktnamn som visas på produktsidor. Den här inställningen styr trunkering av produkttitlar i sidinnehåll."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Värden under 10 ger standardvärdet 25. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Maximalt antal tecken för korta produktbeskrivningar som visas på produktsidor. Den här inställningen påverkar sidinnehållets presentation."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Värden under 25 ger standardvärdet 90. Om värdet är tomt eller 0 tillämpas ingen gräns."
"Paginated content settings","Inställningar för paginerat innehåll"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Konfigurera hur pagineringsinformation visas i meta-taggar för kategorilistar med flera sidor och sökresultat."
"Add pagination to meta titles","Lägg till paginering i meta-titlar"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Styr hur sidnummer visas i meta-titlar för paginerat innehåll. Hjälper sökmotorer att förstå pagineringsstrukturen."
"Add pagination to meta descriptions","Lägg till paginering i meta-beskrivningar"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Styr hur sidnummer visas i meta-beskrivningar för paginerat innehåll. Hjälper till att bibehålla unika meta-beskrivningar på paginerade sidor."
"H1 Title","H1-titel"
"General information","Allmän information"
"Pattern of URL or action name","URL-mönster eller åtgärdsnamn"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Kan vara ett fullständigt åtgärdsnamn eller en begäranssökväg. Jokertecken tillåtet. Exempel:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Är aktiv"
"Sort order","Sorteringsordning"
"Store view","Butiksvy"
"Title","Titel"
"Use title in breadcrumbs","Använd titel i brödsmulor"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","När aktiverat används fältvärdet <b>Titel</b> som etiketten för det sista brödsmuleobjektet på den matchade sidan."
"Robots meta header","Robots meta-huvud"
"Add to Sitemap","Lägg till i webbplatskartan"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Det inkluderade länkmönstret får inte vara ett åtgärdsnamn eller innehålla jokertecken. För en frontend-webbplatskarta krävs fältet <b>Titel</b>."
"SEO description position","SEO-beskrivningens position"
"Template for adding SEO description","Mall för att lägga till SEO-beskrivning"
"Block template","Blockmall"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Läggs till i den position du kan konfigurera i fälten ""SEO-beskrivningens position"" och ""Mall för att lägga till SEO-beskrivning"" eller till widgeten ""SEO-beskrivning""."
"Add rewrite","Lägg till omskrivning"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Beskrivningsposition"
"Store","Butik"
"Internal name","Internt namn"
"Type","Typ"
"Description settings","Beskrivningsinställningar"
"Will only be applied if native Magento category description block is displayed on the frontend.","Tillämpas bara om det inbyggda Magento-kategoribeskrivningsblocket visas på frontend."
"Short description","Kort beskrivning"
"Full description","Fullständig beskrivning"
"Rules processing","Regelbearbetning"
"Stop further rules processing","Stoppa vidare regelbearbetning"
"Apply to child categories","Tillämpa på underkategorier"
"If category is set in Conditions, template will also be applied to all child categories.","Om kategorin är angiven under Villkor tillämpas mallen även på alla underkategorier."
"Landing pages additional settings","Ytterligare inställningar för landningssidor"
"Apply for landing pages","Tillämpa för landningssidor"
"CMS pages additional settings","Ytterligare inställningar för CMS-sidor"
"Apply for homepage","Tillämpa för startsidan"
"Brands additional settings","Ytterligare inställningar för varumärken"
"Apply for the ""All Brands"" page","Tillämpa för sidan ""Alla varumärken"""
"Add template","Lägg till mall"
"Template","Mall"
"Rule type","Regeltyp"
