"Template manager","Gestionnaire de modèles"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Définissez comment le module doit appliquer les balises méta basées sur des modèles pour différents types de pages. Lorsqu'il est activé, l'extension vérifie d'abord les balises méta originales. Si elles ne sont pas vides, il les utilise ; sinon, il génère des balises méta basées sur les modèles définis. Lorsqu'il est désactivé, les balises méta sont toujours générées à partir des modèles, quelles que soient les balises méta existantes."
"Category pages","Pages de catégorie"
"Product pages","Pages produit"
"Blog pages","Pages de blog"
"Requires Mirasvit Blog module.","Nécessite le module Mirasvit Blog."
"Brand pages","Pages de marque"
"Requires Mirasvit Brand module.","Nécessite le module Mirasvit Brand."
"Landing pages","Pages de destination"
"Requires Mirasvit Landing Page module.","Nécessite le module Mirasvit Landing Page."
"Content and meta length settings","Paramètres de longueur du contenu et des méta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Spécifiez des limites de caractères pour différents éléments méta afin d'assurer un affichage optimal dans les résultats de recherche. La valeur de l'élément méta sera tronquée à la longueur spécifiée. Les valeurs trop basses seront remplacées par les minimums recommandés."
"Maximum character length for meta titles.","Longueur maximale en caractères pour les titres méta."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google affiche généralement ~55-60 caractères. Les valeurs inférieures à 25 seront par défaut à 55. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Maximum character length for meta descriptions.","Longueur maximale en caractères pour les descriptions méta."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google affiche généralement ~150-160 caractères. Les valeurs inférieures à 25 seront par défaut à 150. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Product name","Nom du produit"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Longueur maximale en caractères pour les noms de produits affichés sur les pages produits. Ce paramètre contrôle la troncature des titres de produits dans le contenu de la page."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Les valeurs inférieures à 10 seront par défaut à 25. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Longueur maximale en caractères pour les descriptions courtes de produits affichées sur les pages produits. Ce paramètre affecte la présentation du contenu de la page."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Les valeurs inférieures à 25 seront par défaut à 90. Si la valeur est vide ou 0, aucune limite n'est appliquée."
"Paginated content settings","Paramètres du contenu paginé"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configurez comment les informations de pagination apparaissent dans les balises méta pour les listes de catégories multipages et les résultats de recherche."
"Add pagination to meta titles","Ajouter la pagination aux titres méta"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Contrôle comment les numéros de page apparaissent dans les titres méta pour le contenu paginé. Aide les moteurs de recherche à comprendre la structure de pagination."
"Add pagination to meta descriptions","Ajouter la pagination aux descriptions méta"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Contrôle comment les numéros de page apparaissent dans les descriptions méta pour le contenu paginé. Aide à maintenir des descriptions méta uniques sur les pages paginées."
"H1 Title","Titre H1"
"General information","Informations générales"
"Pattern of URL or action name","Modèle d'URL ou de nom d'action"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Peut être un nom d'action complet ou un chemin de requête. Caractère générique autorisé. Exemples :<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Est actif"
"Sort order","Ordre de tri"
"Store view","Vue de magasin"
"Title","Titre"
"Use title in breadcrumbs","Utiliser le titre dans le fil d'Ariane"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Lorsqu'il est activé, la valeur du champ <b>Titre</b> sera utilisée comme étiquette du dernier élément de fil d'Ariane sur la page correspondante."
"Robots meta header","En-tête méta Robots"
"Add to Sitemap","Ajouter au plan du site"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Le modèle de lien inclus ne doit pas être un nom d'action ni contenir de caractères génériques. Pour un plan du site frontend, le champ <b>Titre</b> est obligatoire."
"SEO description position","Position de la description SEO"
"Template for adding SEO description","Modèle pour l'ajout de description SEO"
"Block template","Modèle de bloc"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Sera ajouté à la position que vous pouvez configurer dans le champ ""Position de la description SEO"" et ""Modèle pour l'ajout de description SEO"" ou dans le widget ""Description SEO""."
"Add rewrite","Ajouter une réécriture"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Position de la description"
"Store","Magasin"
"Internal name","Nom interne"
"Type","Type"
"Description settings","Paramètres de description"
"Will only be applied if native Magento category description block is displayed on the frontend.","Ne sera appliqué que si le bloc de description de catégorie natif de Magento est affiché sur le frontend."
"Short description","Description courte"
"Full description","Description complète"
"Rules processing","Traitement des règles"
"Stop further rules processing","Arrêter le traitement des règles suivantes"
"Apply to child categories","Appliquer aux catégories enfants"
"If category is set in Conditions, template will also be applied to all child categories.","Si une catégorie est définie dans les Conditions, le modèle sera également appliqué à toutes les catégories enfants."
"Landing pages additional settings","Paramètres supplémentaires des pages de destination"
"Apply for landing pages","Appliquer aux pages de destination"
"CMS pages additional settings","Paramètres supplémentaires des pages CMS"
"Apply for homepage","Appliquer à la page d'accueil"
"Brands additional settings","Paramètres supplémentaires des marques"
"Apply for the ""All Brands"" page","Appliquer à la page ""Toutes les marques"""
"Add template","Ajouter un modèle"
"Template","Modèle"
"Rule type","Type de règle"
