"Template manager","Gestor de plantillas"
"INDEX, NOFOLLOW","INDEX, NOFOLLOW"
"INDEX, FOLLOW","INDEX, FOLLOW"
"Conditions","Condiciones"
"Conditions (leave blank for all elements, depending from rule type)","Condiciones (dejar en blanco para todos los elementos, según el tipo de regla)"
"Duplicate","Duplicar"
"Delete template?","¿Eliminar la plantilla?"
"Meta title","Meta título"
"Meta keywords","Meta palabras clave"
"Meta description","Meta descripción"
"Title (H1)","Título (H1)"
"Product short description","Descripción corta del producto"
"Product Description","Descripción del producto"
"Category description","Descripción de categoría"
"Brand Description","Descripción de marca"
"Under product list","Debajo de la lista de productos"
"Under short description","Debajo de la descripción corta"
"Under full description","Debajo de la descripción completa"
"Categories","Categorías"
"Layered navigation","Navegación por capas"
"Products","Productos"
"CMS pages","Páginas CMS"
"Blog","Blog"
"Landing Pages","Páginas de destino"
"SEO Rewrite Import","Importación de reescritura SEO"
"Import rewrites (.csv)","Importar reescrituras (.csv)"
"Import rewrites","Importar reescrituras"
"This is a required field.","Este es un campo obligatorio."
"Example of CSV file","Ejemplo de archivo CSV"
"SEO Rewrite Export","Exportación de reescritura SEO"
"Export rewrites (.csv)","Exportar reescrituras (.csv)"
"Export rewrites","Exportar reescrituras"
"Please select the rule type","Por favor, seleccione el tipo de regla"
"Preview not allowed for layered navigation templates","Vista previa no permitida para plantillas de navegación por capas"
"Preview not allowed for Blog templates","Vista previa no permitida para plantillas de blog"
"Preview not allowed for Brand templates","Vista previa no permitida para plantillas de marca"
"URL or Entity IDs separated by comma","URL o IDs de entidad separados por coma"
"Nothing to display","Nada que mostrar"
"Template variables","Variables de plantilla"
"learn more","más información"
"Double click on a variable to insert it into the field","Haga doble clic en una variable para insertarla en el campo"
"Learn more about template variables","Más información sobre las variables de plantilla"
"Template Preview","Vista previa de la plantilla"
"Reload","Recargar"
"SEO Templates and rewrites","Plantillas SEO y reescrituras"
"General settings","Configuración general"
"Configure basic behavior of meta tags processing across your store.","Configure el comportamiento básico del procesamiento de meta etiquetas en toda su tienda."
"Apply store prefixes to custom titles","Aplicar prefijos de tienda a títulos personalizados"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Cuando está habilitado, el prefijo/sufijo del título de la tienda (configurado en Contenido > Diseño > Configuración) se aplicará automáticamente a cualquier meta título personalizado."
"Allow HTML in meta tags","Permitir HTML en meta etiquetas"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Cuando está habilitado, los caracteres especiales HTML (&, <, >, etc.) se conservarán en las meta etiquetas en lugar de ser escapados. Útil para incluir símbolos o entidades especiales."
"Use existing meta tags","Usar meta etiquetas existentes"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Defina cómo el módulo debe aplicar las meta etiquetas basadas en plantillas para diferentes tipos de página. Cuando está habilitado, la extensión primero verifica las meta etiquetas originales. Si no están vacías, las usa; de lo contrario, genera meta etiquetas basadas en las plantillas definidas. Cuando está deshabilitado, las meta etiquetas siempre se generan a partir de las plantillas, independientemente de las meta etiquetas existentes."
"Category pages","Páginas de categoría"
"Product pages","Páginas de producto"
"Blog pages","Páginas de blog"
"Requires Mirasvit Blog module.","Requiere el módulo Mirasvit Blog."
"Brand pages","Páginas de marca"
"Requires Mirasvit Brand module.","Requiere el módulo Mirasvit Brand."
"Landing pages","Páginas de destino"
"Requires Mirasvit Landing Page module.","Requiere el módulo Mirasvit Landing Page."
"Content and meta length settings","Configuración de longitud de contenido y meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Especifique los límites de caracteres para los diferentes elementos meta para garantizar una visualización óptima en los resultados de búsqueda. El valor del elemento meta se truncará a la longitud especificada. Los valores demasiado bajos serán reemplazados por los mínimos recomendados."
"Maximum character length for meta titles.","Longitud máxima de caracteres para meta títulos."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google normalmente muestra ~55-60 caracteres. Los valores por debajo de 25 tendrán como valor predeterminado 55. Si el valor está vacío o es 0, no se aplica ningún límite."
"Maximum character length for meta descriptions.","Longitud máxima de caracteres para meta descripciones."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google normalmente muestra ~150-160 caracteres. Los valores por debajo de 25 tendrán como valor predeterminado 150. Si el valor está vacío o es 0, no se aplica ningún límite."
"Product name","Nombre del producto"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Longitud máxima de caracteres para nombres de productos mostrados en páginas de productos. Esta configuración controla el truncamiento de los títulos de productos en el contenido de la página."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","Los valores por debajo de 10 tendrán como valor predeterminado 25. Si el valor está vacío o es 0, no se aplica ningún límite."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Longitud máxima de caracteres para descripciones cortas de productos mostradas en páginas de productos. Esta configuración afecta la presentación del contenido de la página."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","Los valores por debajo de 25 tendrán como valor predeterminado 90. Si el valor está vacío o es 0, no se aplica ningún límite."
"Paginated content settings","Configuración de contenido paginado"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configure cómo aparece la información de paginación en las meta etiquetas para listados de categorías de varias páginas y resultados de búsqueda."
"Add pagination to meta titles","Agregar paginación a los meta títulos"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Controla cómo aparecen los números de página en los meta títulos para el contenido paginado. Ayuda a los motores de búsqueda a entender la estructura de paginación."
"Add pagination to meta descriptions","Agregar paginación a las meta descripciones"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Controla cómo aparecen los números de página en las meta descripciones para el contenido paginado. Ayuda a mantener meta descripciones únicas en las páginas paginadas."
"H1 Title","Título H1"
"General information","Información general"
"Pattern of URL or action name","Patrón de URL o nombre de acción"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Puede ser un nombre de acción completo o una ruta de solicitud. Se permite el uso de comodines. Ejemplos:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","Está activo"
"Sort order","Orden de clasificación"
"Store view","Vista de la tienda"
"Title","Título"
"Use title in breadcrumbs","Usar título en las rutas de navegación"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Cuando está habilitado, el valor del campo <b>Título</b> se utilizará como la etiqueta del último elemento de la ruta de navegación en la página correspondiente."
"Robots meta header","Encabezado meta robots"
"Add to Sitemap","Agregar al mapa del sitio"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","El patrón de enlace incluido no debe ser un nombre de acción ni contener caracteres comodín. Para un mapa del sitio de frontend, el campo <b>Título</b> es obligatorio."
"SEO description position","Posición de la descripción SEO"
"Template for adding SEO description","Plantilla para agregar descripción SEO"
"Block template","Plantilla de bloque"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Se agregará en la posición que puede configurar en los campos ""Posición de la descripción SEO"" y ""Plantilla para agregar descripción SEO"" o en el widget ""Descripción SEO""."
"Add rewrite","Agregar reescritura"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Posición de la descripción"
"Store","Tienda"
"Internal name","Nombre interno"
"Type","Tipo"
"Description settings","Configuración de la descripción"
"Will only be applied if native Magento category description block is displayed on the frontend.","Solo se aplicará si el bloque de descripción de categoría nativo de Magento se muestra en el frontend."
"Short description","Descripción corta"
"Full description","Descripción completa"
"Rules processing","Procesamiento de reglas"
"Stop further rules processing","Detener el procesamiento de reglas adicionales"
"Apply to child categories","Aplicar a categorías secundarias"
"If category is set in Conditions, template will also be applied to all child categories.","Si la categoría está definida en las Condiciones, la plantilla también se aplicará a todas las categorías secundarias."
"Landing pages additional settings","Configuración adicional de páginas de destino"
"Apply for landing pages","Aplicar para páginas de destino"
"CMS pages additional settings","Configuración adicional de páginas CMS"
"Apply for homepage","Aplicar para la página de inicio"
"Brands additional settings","Configuración adicional de marcas"
"Apply for the ""All Brands"" page","Aplicar para la página ""Todas las marcas"""
"Add template","Agregar plantilla"
"Template","Plantilla"
"Rule type","Tipo de regla"
