"Template manager","Gestione dei template"
"Conditions (leave blank for all elements, depending from rule type)","Condizioni (lasciare vuoto per tutti gli elementi, a seconda del tipo di regola)"
"Duplicate","Duplica"
"Delete template?","Eliminare il template?"
"Meta title","Meta titolo"
"Meta keywords","Meta parole chiave"
"Meta description","Meta descrizione"
"Title (H1)","Titolo (H1)"
"Product short description","Descrizione breve del prodotto"
"Product Description","Descrizione del prodotto"
"Category description","Descrizione della categoria"
"Brand Description","Descrizione del brand"
"Under product list","Sotto la lista dei prodotti"
"Under short description","Sotto la descrizione breve"
"Under full description","Sotto la descrizione completa"
"Categories","Categorie"
"Layered navigation","Navigazione a strati"
"Products","Prodotti"
"CMS pages","Pagine CMS"
"Blog","Blog"
"Landing Pages","Pagine di destinazione"
"SEO Rewrite Import","Importazione riscrittura SEO"
"Import rewrites (.csv)","Importa riscritture (.csv)"
"Import rewrites","Importa riscritture"
"This is a required field.","Questo campo è obbligatorio."
"Example of CSV file","Esempio di file CSV"
"SEO Rewrite Export","Esportazione riscrittura SEO"
"Export rewrites (.csv)","Esporta riscritture (.csv)"
"Export rewrites","Esporta riscritture"
"Please select the rule type","Seleziona il tipo di regola"
"Preview not allowed for layered navigation templates","Anteprima non consentita per i template di navigazione a strati"
"Preview not allowed for Blog templates","Anteprima non consentita per i template del blog"
"Preview not allowed for Brand templates","Anteprima non consentita per i template del brand"
"URL or Entity IDs separated by comma","URL o ID entità separati da virgola"
"Nothing to display","Niente da mostrare"
"Template variables","Variabili del template"
"learn more","scopri di più"
"Double click on a variable to insert it into the field","Doppio clic su una variabile per inserirla nel campo"
"Learn more about template variables","Scopri di più sulle variabili del template"
"Template Preview","Anteprima del template"
"Reload","Ricarica"
"SEO Templates and rewrites","Template SEO e riscritture"
"General settings","Impostazioni generali"
"Configure basic behavior of meta tags processing across your store.","Configura il comportamento di base dell'elaborazione dei meta tag nel tuo negozio."
"Apply store prefixes to custom titles","Applica i prefissi del negozio ai titoli personalizzati"
"When enabled, store's title prefix/suffix (configured in Content > Design > Configuration) will be automatically applied to any custom meta titles.","Quando abilitato, il prefisso/suffisso del titolo del negozio (configurato in Contenuto > Design > Configurazione) verrà applicato automaticamente a qualsiasi meta titolo personalizzato."
"Allow HTML in meta tags","Consenti HTML nei meta tag"
"When enabled, HTML special characters (&, <, >, etc.) will be preserved in meta tags rather than being escaped. Useful for including special symbols or entities.","Quando abilitato, i caratteri speciali HTML (&, <, >, ecc.) verranno preservati nei meta tag anziché essere sottoposti all'escape. Utile per includere simboli o entità speciali."
"Use existing meta tags","Usa i meta tag esistenti"
"Define how the module should apply template-based meta tags for different page types. When enabled, the extension first checks the original meta tags. If they are not empty, it uses them; otherwise, it generates meta tags based on the defined templates. When disabled, meta tags are always generated from the templates, regardless of existing meta tags.","Definisci come il modulo deve applicare i meta tag basati su template per diversi tipi di pagina. Quando abilitato, l'estensione verifica prima i meta tag originali. Se non sono vuoti, li utilizza; altrimenti, genera meta tag basati sui template definiti. Quando disabilitato, i meta tag vengono sempre generati dai template, indipendentemente dai meta tag esistenti."
"Category pages","Pagine di categoria"
"Product pages","Pagine di prodotto"
"Blog pages","Pagine del blog"
"Requires Mirasvit Blog module.","Richiede il modulo Mirasvit Blog."
"Brand pages","Pagine del brand"
"Requires Mirasvit Brand module.","Richiede il modulo Mirasvit Brand."
"Landing pages","Pagine di destinazione"
"Requires Mirasvit Landing Page module.","Richiede il modulo Mirasvit Landing Page."
"Content and meta length settings","Impostazioni di lunghezza contenuto e meta"
"Specify character limits for different meta elements to ensure optimal display in search results. The meta element value will be truncated to the specified length. Values too low will be replaced with recommended minimums.","Specifica i limiti di caratteri per i diversi elementi meta per garantire una visualizzazione ottimale nei risultati di ricerca. Il valore dell'elemento meta verrà troncato alla lunghezza specificata. I valori troppo bassi verranno sostituiti con i minimi raccomandati."
"Maximum character length for meta titles.","Lunghezza massima in caratteri per i meta titoli."
"Google typically displays ~55-60 characters. Values below 25 will default to 55. If the value is empty or 0, no limit is applied.","Google visualizza tipicamente ~55-60 caratteri. I valori inferiori a 25 avranno come predefinito 55. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Maximum character length for meta descriptions.","Lunghezza massima in caratteri per le meta descrizioni."
"Google typically displays ~150-160 characters. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Google visualizza tipicamente ~150-160 caratteri. I valori inferiori a 25 avranno come predefinito 150. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Product name","Nome del prodotto"
"Maximum character length for product names displayed on product pages. This setting controls the truncation of product titles in page content.","Lunghezza massima in caratteri per i nomi dei prodotti visualizzati nelle pagine dei prodotti. Questa impostazione controlla il troncamento dei titoli dei prodotti nel contenuto della pagina."
"Values below 10 will default to 25. If the value is empty or 0, no limit is applied.","I valori inferiori a 10 avranno come predefinito 25. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Maximum character length for product short descriptions displayed on product pages. This setting affects page content presentation.","Lunghezza massima in caratteri per le descrizioni brevi dei prodotti visualizzate nelle pagine dei prodotti. Questa impostazione influisce sulla presentazione del contenuto della pagina."
"Values below 25 will default to 90. If the value is empty or 0, no limit is applied.","I valori inferiori a 25 avranno come predefinito 90. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Paginated content settings","Impostazioni per il contenuto paginato"
"Configure how pagination information appears in meta tags for multi-page category listings and search results.","Configura come le informazioni di paginazione appaiono nei meta tag per i listati di categorie su più pagine e i risultati di ricerca."
"Add pagination to meta titles","Aggiungi paginazione ai meta titoli"
"Controls how page numbers appear in meta titles for paginated content. Helps search engines understand pagination structure.","Controlla come i numeri di pagina appaiono nei meta titoli per il contenuto paginato. Aiuta i motori di ricerca a comprendere la struttura di paginazione."
"Add pagination to meta descriptions","Aggiungi paginazione alle meta descrizioni"
"Controls how page numbers appear in meta descriptions for paginated content. Helps maintain unique meta descriptions across paginated pages.","Controlla come i numeri di pagina appaiono nelle meta descrizioni per il contenuto paginato. Aiuta a mantenere meta descrizioni uniche nelle pagine paginate."
"H1 Title","Titolo H1"
"General information","Informazioni generali"
"Pattern of URL or action name","Pattern di URL o nome di azione"
"Can be a full action name or a request path. Wildcard allowed. Examples:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list","Può essere un nome di azione completo o un percorso di richiesta. I caratteri jolly sono consentiti. Esempi:<br>/customer/account/login/<br>/customer/account/*<br>customer_account_*<br>*?mode=list"
"Is active","È attivo"
"Sort order","Ordinamento"
"Store view","Vista del negozio"
"Title","Titolo"
"Use title in breadcrumbs","Usa il titolo nel breadcrumb"
"When enabled, the <b>Title</b> field value will be used as the last breadcrumb item label on the matched page.","Quando abilitato, il valore del campo <b>Titolo</b> verrà utilizzato come etichetta dell'ultimo elemento del breadcrumb nella pagina corrispondente."
"Robots meta header","Intestazione meta robots"
"Add to Sitemap","Aggiungi alla mappa del sito"
"The included link pattern must not be an action name or contain wildcard characters. For a frontend sitemap, the <b>Title</b> field is required.","Il pattern del link incluso non deve essere un nome di azione né contenere caratteri jolly. Per una mappa del sito frontend, il campo <b>Titolo</b> è obbligatorio."
"SEO description position","Posizione della descrizione SEO"
"Template for adding SEO description","Template per aggiungere la descrizione SEO"
"Block template","Template del blocco"
"Will be added in position which you can configure in ""SEO description position"" and ""Template for adding SEO description"" field or to ""SEO description"" widget.","Verrà aggiunto nella posizione configurabile nei campi ""Posizione della descrizione SEO"" e ""Template per aggiungere la descrizione SEO"" o nel widget ""Descrizione SEO""."
"Add rewrite","Aggiungi riscrittura"
"ID","ID"
"URL","URL"
"Meta Robots","Meta Robots"
"Description position","Posizione della descrizione"
"Store","Negozio"
"Internal name","Nome interno"
"Type","Tipo"
"Description settings","Impostazioni della descrizione"
"Will only be applied if native Magento category description block is displayed on the frontend.","Verrà applicato solo se il blocco di descrizione della categoria nativo di Magento è visualizzato sul frontend."
"Short description","Descrizione breve"
"Full description","Descrizione completa"
"Rules processing","Elaborazione delle regole"
"Stop further rules processing","Interrompi l'elaborazione di ulteriori regole"
"Apply to child categories","Applica alle categorie figlie"
"If category is set in Conditions, template will also be applied to all child categories.","Se la categoria è impostata nelle Condizioni, il template verrà applicato anche a tutte le categorie figlie."
"Landing pages additional settings","Impostazioni aggiuntive delle pagine di destinazione"
"Apply for landing pages","Applica alle pagine di destinazione"
"CMS pages additional settings","Impostazioni aggiuntive delle pagine CMS"
"Apply for homepage","Applica alla pagina iniziale"
"Brands additional settings","Impostazioni aggiuntive dei brand"
"Apply for the ""All Brands"" page","Applica alla pagina ""Tutti i brand"""
"Add template","Aggiungi template"
"Template","Template"
"Rule type","Tipo di regola"
