"* Required Fields","* Trường bắt buộc"
"Shop Id","Mã Cửa hàng (Shop ID)"
"Shop/Seller","Cửa hàng/Người bán"
"Show "Sync GHN" button in Admin Order View page","Hiển thị nút "Sync GHN" tại trang chi tiết đơn hàng trong Admin"
"Show Method if Not Applicable","Hiển thị phương thức nếu không áp dụng"
"Something went wrong when cancel order.","Có lỗi xảy ra khi hủy đơn hàng trên GHN."
"Something went wrong when synchronize order.","Có lỗi xảy ra khi đồng bộ đơn hàng lên GHN."
"Sort Order","Thứ tự hiển thị"
"Standard Method","Phương thức Chuẩn (Standard)"
"Store District","Phường/Xã gửi hàng"
"Street Address %1","Địa chỉ đường %1"
"Sync GHN","Sync GHN"
"Sync Mode","Chế độ đồng bộ"
"The "%1" command doesn't exist. Verify the command and try again.","Lệnh "%1" không tồn tại. Vui lòng kiểm tra lại."
"This order does not use GHN shipping.","Đơn hàng này không sử dụng phương thức vận chuyển GHN."
"This order is already synced to GHN.","Đơn hàng này đã được đồng bộ lên GHN."
"Title","Tiêu đề"
"Traditional delivery","Giao hàng Truyền thống (Standard)"
"URL Production","Đường dẫn URL Chính thức (Production)"
"URL Sandbox","Đường dẫn URL Thử nghiệm (Sandbox)"
"Use as my default billing address","Sử dụng làm địa chỉ thanh toán mặc định"
"Use as my default shipping address","Sử dụng làm địa chỉ giao hàng mặc định"
"We can't convert base currency to %1. Please setup currency rates.","Không thể chuyển đổi tiền tệ gốc sang %1. Vui lòng cấu hình tỷ giá tiền tệ."
"We can't convert VND to store default currency. Please setup currency rates.","Không thể chuyển đổi VND sang tiền tệ mặc định của cửa hàng. Vui lòng cấu hình tỷ giá tiền tệ."
"E-commerce delivery(Express)","Giao hàng Thương mại Điện tử (Express)"
"Traditional delivery(Standard)","Giao hàng Truyền thống (Standard)"
"This shipping method is not available. To use this shipping method, please contact us.","Phương thức vận chuyển này hiện không khả dụng. Vui lòng liên hệ với chúng tôi để sử dụng phương thức này."
"Ready to Pick","Chờ lấy hàng"
"Picking","Đang lấy hàng"
"Picked","Đã lấy hàng"
"Transporting","Đang trung chuyển"
"Delivering","Đang giao hàng"
"Delivery Fail","Giao hàng thất bại"
"Exception","Ngoại lệ (Lỗi)"
