"Conditions","Bedingungen"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Entfernt automatisch falsche strukturierte Daten von Produktseiten. Hilft, sauberes Markup beizubehalten und Schema-Validierungsprobleme zu verhindern."
"Enable rich snippet","Rich Snippet aktivieren"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Aktiviert strukturiertes Daten-Markup für Produktseiten. Dies ist der Hauptschalter für alle produktbezogenen Rich Snippets."
"Item name length","Länge des Elementnamens"
"Maximum character length for item name in structured data.","Maximale Zeichenlänge für den Elementnamen in strukturierten Daten."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Der von Google empfohlene Maximalwert beträgt 150. Werte unter 25 werden auf 150 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Item price","Elementpreis"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Fügt Produktpreisinformationen in OpenGraph und Rich Snippets ein. Warnung: Die Deaktivierung entfernt den Preis aus strukturierten Daten und kann Google Rich Results-Validierungsfehler verursachen, da der Preis für gültige Produkt-Rich-Snippets erforderlich ist."
"Single price mode","Einzelpreis-Modus"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Wenn aktiviert, wird der schema.org-Angebotstyp mit einem einzelnen Preiswert statt des AggregateOffer-Typs mit Preisspannen verwendet. Dies ändert die strukturierten Daten von der Aggregation mehrerer Angebote zu einer einzelnen Angebotsdarstellung."
"Include price valid until","Preis gültig bis einschließen"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Dies hilft Suchmaschinen, die zeitliche Gültigkeit von Preisen zu verstehen, und kann die Genauigkeit bei Preisvergleichsfunktionen verbessern. Nützlich für Aktionspreise, zeitlich begrenzte Angebote oder regelmäßig aktualisierte Preisstrukturen."
"Item description","Elementbeschreibung"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Steuert, welches Produktbeschreibungsfeld in strukturierten Daten verwendet wird. Wählen Sie die am besten geeignete Quelle für umfassende Produktinformationen."
"Item description length","Länge der Elementbeschreibung"
"Maximum character length for item description in structured data.","Maximale Zeichenlänge für die Elementbeschreibung in strukturierten Daten."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Der von Google empfohlene Maximalwert beträgt 5000. Werte unter 25 werden auf 5000 gesetzt. Wenn der Wert leer oder 0 ist, wird kein Limit angewendet."
"Item image","Elementbild"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Fügt Produktbilder in strukturierte Daten ein. Dies ermöglicht eine visuelle Darstellung von Produkten in Suchergebnissen und Rich Snippets."
"Item availability","Elementverfügbarkeit"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Zeigt den Lagerbestandsstatus von Produkten in strukturierten Daten an. Dies hilft, Lagerbestände potenziellen Kunden direkt in den Suchergebnissen mitzuteilen."
"Payment methods","Zahlungsmethoden"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Listet akzeptierte Zahlungsmethoden in strukturierten Daten auf. Dies schafft Transparenz über Zahlungsoptionen, bevor Besucher durchklicken."
"Delivery methods","Liefermethoden"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Fügt Versand- und Lieferoptionen in strukturierte Daten ein. Dies hilft dabei, Kundenerwartungen bezüglich Erfüllungsmethoden zu setzen."
"Product category","Produktkategorie"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Zeigt Kategorieinformationen in strukturierten Produktdaten an. Dies hilft, den Produktklassifizierungskontext für Suchmaschinen zu etablieren."
"Manufacturer part number","Herstellerteilenummer"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Fügt Herstellerteilenummern in strukturierte Daten ein. Dies verbessert die Auffindbarkeit bei spezifischen Produktsuchen nach technischen Kennzeichen."
"Manufacturer part number attribute","Attribut für Herstellerteilenummer"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Angeben, welches Produktattribut die Herstellerteilenummerdaten enthält. Das System liest dieses Attribut, um strukturierte Daten zu füllen."
"Brand attribute","Marken-Attribut"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Angeben, welches Produktattribut Markeninformationen enthält. Dies ordnet Ihre vorhandenen Markendaten dem strukturierten Markup zu."
"Model attribute","Modell-Attribut"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Angeben, welches Produktattribut Modellinformationen enthält. Hilft bei der Identifizierung spezifischer Produktmodelle in strukturierten Daten."
"Color attribute","Farb-Attribut"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Angeben, welches Produktattribut Farbinformationen enthält. Wichtig für Produktvarianten und Filterung in Rich Results."
"Size attribute","Größen-Attribut"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Angeben, welches Produktattribut Größeninformationen enthält. Relevant für Bekleidungs- und dimensionale Produktdaten."
"Material attribute","Material-Attribut"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Angeben, welches Produktattribut Materialinformationen enthält (z. B. ""material"", ""Stoff""). Wird als direkte schema.org-Eigenschaft für das Produkt ausgegeben."
"Pattern attribute","Muster-Attribut"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Angeben, welches Produktattribut Musterinformationen enthält (z. B. ""Muster""). Wird als direkte schema.org-Eigenschaft für das Produkt ausgegeben."
"Weight unit","Gewichtseinheit"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Die Standard-Maßeinheit für Produktgewichte auswählen. Gewährleistet eine konsistente Gewichtsdarstellung in strukturierten Daten."
"Dimensions","Abmessungen"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Dimensionsmaße in strukturierten Daten aktivieren. Wichtig für physische Produkte, bei denen die Größe für Kunden relevant ist."
"Unit","Einheit"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Die Maßeinheit für Produktabmessungen angeben (z. B. Zoll, cm). Gewährleistet Konsistenz in der Dimensionsdarstellung."
"Height attribute","Höhen-Attribut"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Angeben, welches Produktattribut Höhenmaße enthält. Ordnet Ihre Höhendaten dem strukturierten Markup zu."
"Width attribute","Breiten-Attribut"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Angeben, welches Produktattribut Breitenmaße enthält. Ordnet Ihre Breitendaten dem strukturierten Markup zu."
"Depth attribute","Tiefen-Attribut"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Angeben, welches Produktattribut Tiefenmaße enthält. Ordnet Ihre Tiefendaten dem strukturierten Markup zu."
"Product condition","Produktzustand"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Angeben, ob Produkte neu, gebraucht oder generalüberholt sind. Dies ist wichtig für Marktplätze und Wiederverkäufer."
"Condition attribute","Zustands-Attribut"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Angeben, welches Produktattribut Zustandsinformationen enthält. Das System liest dieses Attribut für Zustandsdaten."
"New attribute value","Neuer Attributwert"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Den genauen Attributwert angeben, der angibt, dass ein Produkt neu ist. Dies ordnet Ihre internen Werte den schema.org-Standards zu."
"Used attribute value","Gebrauchter Attributwert"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Den genauen Attributwert angeben, der angibt, dass ein Produkt gebraucht ist. Dies ordnet Ihre internen Werte den schema.org-Standards zu."
"Refurbished attribute value","Generalüberholter Attributwert"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Den genauen Attributwert angeben, der angibt, dass ein Produkt generalüberholt ist. Dies ordnet Ihre internen Werte den schema.org-Standards zu."
"Damaged attribute value","Beschädigter Attributwert"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Den genauen Attributwert angeben, der angibt, dass ein Produkt beschädigt ist. Dies ordnet Ihre internen Werte den schema.org-Standards zu."
"Individual review markup","Individuelles Bewertungs-Markup"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Markup für jede einzelne Produktbewertung einbeziehen. Dies ermöglicht eine umfangreiche Anzeige von Bewertungsinhalten in Suchergebnissen über aggregierte Bewertungen hinaus."
"Add rich snippets for product variants","Rich Snippets für Produktvarianten hinzufügen"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Strukturierte Daten für Produktvariationen wie verschiedene Farben oder Größen einbeziehen. Dies hilft Suchmaschinen, Ihr gesamtes Produktangebot zu verstehen."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN-Konfiguration:</u></strong>"
"GTIN-8 attribute","GTIN-8-Attribut"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Angeben, welches Attribut 8-stellige GTIN/EAN-Codes enthält. Wichtig für die internationale Produktidentifikation."
"GTIN-12 attribute","GTIN-12-Attribut"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Angeben, welches Attribut 12-stellige GTIN/UPC-Codes enthält. Standard für die nordamerikanische Produktidentifikation."
"GTIN-13 attribute","GTIN-13-Attribut"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Angeben, welches Attribut 13-stellige GTIN/EAN-Codes enthält. Gängiges internationales Produktidentifikationsformat."
"GTIN-14 attribute","GTIN-14-Attribut"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Angeben, welches Attribut 14-stellige GTIN-Codes enthält. Wird für Verpackungsebenen bei der Lieferketten-Identifikation verwendet."
"Category page","Kategorieseite"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Steuern, wie Kategorieseiten in Suchergebnissen dargestellt werden. Diese Einstellungen helfen Suchmaschinen, Ihre Kategoriestruktur besser zu verstehen und die Anzeige von Kategorieinformationen in Suchergebnissen zu verbessern."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Entfernt automatisch falsche strukturierte Daten von Kategorieseiten. Hilft, sauberes Markup beizubehalten und Schema-Validierungsprobleme zu verhindern."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Aktiviert strukturiertes Daten-Markup für Kategorieseiten. Dies ermöglicht erweiterte Suchergebnisanzeigen für Kategorielisten."
"Category description","Kategoriebeschreibung"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Steuert, welches Beschreibungsfeld in strukturierten Kategoriedaten verwendet wird. Wählen Sie die Quelle, die Ihren Kategorieinhalt am besten repräsentiert."
"Category image","Kategoriebild"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Fügt Kategorie-Miniaturbilder in strukturierte Daten ein. Hilft, visuellen Kontext bei der Suche und in sozialen Medien bereitzustellen."
"Product offers","Produktangebote"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Steuert, ob und wie Produktinformationen in strukturierte Kategoriedaten aufgenommen werden. Dies kann verfügbare Produkte innerhalb von Kategorien anzeigen. Warnung: Der Modus ""Gesamte Kategorie"" gibt alle Produkte unabhängig von der aktuellen Seite aus, was gegen Googles Richtlinien verstößt, die verlangen, dass strukturierte Daten sichtbare Seiteninhalte widerspiegeln, als Spam-Markup behandelt werden können und die Seitenladezeit bei großen Kategorien erheblich erhöhen können."
"Product offers format","Format der Produktangebote"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Bestimmt, wie Produktdaten in strukturierten Kategoriedaten formatiert werden. ""Aggregiertes Produkt"" gibt ein einzelnes Produkt-Schema mit Preisspanne aus der gesamten Kategorie aus."
"Brand name","Markenname"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Markenname für das aggregierte Produkt-Schema. Leer lassen, um den Shop-Namen oder den Markennamen für Markenseiten zu verwenden."
"Include aggregate rating","Aggregierte Bewertung einbeziehen"
"Include aggregated rating from all products in category for aggregate Product schema.","Aggregierte Bewertung aller Produkte in der Kategorie für das aggregierte Produkt-Schema einbeziehen."
"Exclude products with price 0","Produkte mit Preis 0 ausschließen"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Wenn aktiviert, werden Produkte mit Preis 0 von der aggregierten Angebotsberechnung ausgeschlossen. Dies verhindert, dass lowPrice 0 anzeigt, wenn die Kategorie kostenlose Produkte enthält."
"Enable OpenGraph","OpenGraph aktivieren"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Aktiviert OpenGraph-Metadaten für Kategorieseiten. Dies steuert, wie Kategorieseiten beim Teilen in sozialen Medien angezeigt werden."
"CMS page","CMS-Seite"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Rich Snippets und OpenGraph-Daten für statische Inhaltsseiten verwalten. Dies hilft Suchmaschinen, Ihre Informationsseiten korrekt zu interpretieren, und verbessert deren Darstellung beim Teilen in sozialen Medien."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Entfernt automatisch falsche strukturierte Daten von CMS-Seiten. Hilft, sauberes Markup auf statischen Inhaltsseiten beizubehalten."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Aktiviert strukturiertes Daten-Markup für CMS-Seiten. Dies ermöglicht erweiterte Suchergebnisanzeigen mit schema.org-Typen wie WebPage, Article, BlogPosting und mehr."
"Default schema type","Standard-Schema-Typ"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Den Standard-schema.org-Typ auswählen, der für CMS-Seiten verwendet wird, wenn keine seitenspezifische Überschreibung festgelegt ist. Einzelne Seiten können dies im CMS-Seiteneditor überschreiben."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Aktiviert OpenGraph-Metadaten für CMS-Seiten. Dies verbessert die Darstellung statischer Seiten beim Teilen auf sozialen Plattformen."
"Landing page","Landing Page"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Steuern, wie Landing Pages in Suchergebnissen dargestellt werden. Diese Einstellungen helfen Suchmaschinen, Ihre Landing-Page-Struktur besser zu verstehen und die Anzeige von Landing-Page-Informationen in Suchergebnissen zu verbessern. Funktioniert nur mit Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Entfernt automatisch falsche strukturierte Daten von Landing Pages. Hilft, sauberes Markup beizubehalten und Schema-Validierungsprobleme zu verhindern."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Aktiviert strukturiertes Daten-Markup für Landing Pages. Dies ermöglicht erweiterte Suchergebnisanzeigen für Landing-Page-Listen."
"Landing page description","Landing-Page-Beschreibung"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Steuert, welches Beschreibungsfeld in strukturierten Landing-Page-Daten verwendet wird. Wählen Sie die Quelle, die Ihren Landing-Page-Inhalt am besten repräsentiert."
"Landing page image","Landing-Page-Bild"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Fügt Landing-Page-Miniaturbilder in strukturierte Daten ein. Hilft, visuellen Kontext bei der Suche und in sozialen Medien bereitzustellen."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Steuert, ob und wie Produktinformationen in strukturierte Landing-Page-Daten aufgenommen werden. Dies kann verfügbare Produkte innerhalb von Landing Pages anzeigen. Warnung: Der Modus ""Gesamte Landing Page"" gibt alle Produkte unabhängig von der aktuellen Seite aus, was gegen Googles Richtlinien verstößt, als Spam-Markup behandelt werden kann und die Seitenladezeit erheblich erhöhen kann."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Bestimmt, wie Produktdaten in strukturierten Landing-Page-Daten formatiert werden. ""Aggregiertes Produkt"" gibt ein einzelnes Produkt-Schema mit Preisspanne aus."
"Brand name for aggregate Product schema. Leave empty to use store name.","Markenname für das aggregierte Produkt-Schema. Leer lassen, um den Shop-Namen zu verwenden."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Aggregierte Bewertung aller Produkte auf der Landing Page für das aggregierte Produkt-Schema einbeziehen."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Aktiviert OpenGraph-Metadaten für Landing Pages. Dies steuert, wie Landing Pages beim Teilen auf sozialen Medienplattformen angezeigt werden."
"Organization","Organisation"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Strukturierte Daten über Ihre Organisation für Suchmaschinen definieren. Diese Informationen helfen dabei, Ihre Unternehmensidentität in Suchergebnissen zu etablieren und können spezielle Funktionen wie Knowledge-Panel-Anzeigen ermöglichen."
"Activates structured data about your organization. This helps search engines understand your business identity.","Aktiviert strukturierte Daten über Ihre Organisation. Dies hilft Suchmaschinen, Ihre Unternehmensidentität zu verstehen."
"Display scope","Anzeigebereich"
"Choose where organization schema markup should appear on your website.","Auswählen, wo das Organisations-Schema-Markup auf Ihrer Website erscheinen soll."
"CMS pages","CMS-Seiten"
"Select specific CMS pages where organization schema markup should be displayed.","Bestimmte CMS-Seiten auswählen, auf denen das Organisations-Schema-Markup angezeigt werden soll."
"Name","Name"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Steuert, wie Ihr Organisationsname bestimmt wird. Shop-Standardnamen auswählen oder einen benutzerdefinierten Unternehmensnamen angeben."
"Name value","Namens-Wert"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Den offiziellen Namen Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Benennung verwenden. Dies sollte Ihrem rechtlichen Unternehmensnamen entsprechen."
"Country","Land"
"Determines how your organization's country is specified. Important for local business structured data.","Bestimmt, wie das Land Ihrer Organisation angegeben wird. Wichtig für lokale Unternehmens-strukturdaten."
"Country value","Länder-Wert"
"Enter your organization's country name when using custom specification.","Den Ländernamen Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Locality address","Ortschaftsadresse"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Steuert, wie die Stadt/Ortschaft Ihrer Organisation bestimmt wird. Wichtig für die lokale Suche."
"Locality address value","Ortschaftsadresse-Wert"
"Enter your organization's city or locality when using custom specification.","Die Stadt oder Ortschaft Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Address region","Adressregion"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Steuert, wie der Staat/die Provinz/Region Ihrer Organisation bestimmt wird. Hilft bei der regionalen Suchrelevanz."
"Region value","Regions-Wert"
"Enter your organization's state, province or region when using custom specification.","Den Staat, die Provinz oder Region Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Postal code","Postleitzahl"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Steuert, wie die PLZ Ihrer Organisation bestimmt wird. Wichtig für die genaue Standortbestimmung."
"Postal code value","Postleitzahl-Wert"
"Enter your organization's postal code when using custom specification.","Die Postleitzahl Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Street address","Straßenadresse"
"Controls how your organization's street address is determined. Provides detailed location information.","Steuert, wie die Straßenadresse Ihrer Organisation bestimmt wird. Liefert detaillierte Standortinformationen."
"Street address value","Straßenadresse-Wert"
"Enter your organization's full street address when using custom specification.","Die vollständige Straßenadresse Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Telephone number","Telefonnummer"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Steuert, wie die Telefonkontaktdaten Ihrer Organisation bestimmt werden. Wichtig für Kundenkontaktinformationen."
"Telephone number value","Telefonnummer-Wert"
"Enter your organization's primary contact phone number when using custom specification.","Die primäre Kontakttelefonnummer Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"Fax number","Faxnummer"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Die Faxnummer Ihrer Organisation eingeben, falls zutreffend. Optionale Kontaktmethode für Geschäftskommunikation."
"Email","E-Mail"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Steuert, wie der E-Mail-Kontakt Ihrer Organisation bestimmt wird. Bietet alternative Kontaktinformationen."
"Email value","E-Mail-Wert"
"Enter your organization's public contact email address when using custom specification.","Die öffentliche Kontakt-E-Mail-Adresse Ihrer Organisation eingeben, wenn Sie eine benutzerdefinierte Spezifikation verwenden."
"<strong><u>Social media links:</u></strong>","<strong><u>Social-Media-Links:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Vollständige URLs zu Ihren Social-Media-Profilen eingeben. Diese stellen eine offizielle Verbindung zwischen Ihrer Website und sozialen Kanälen her und helfen Suchmaschinen, Ihre Online-Präsenz zu verifizieren."
"YouTube channel","YouTube-Kanal"
"Facebook account","Facebook-Konto"
"LinkedIn profile","LinkedIn-Profil"
"Instagram account","Instagram-Konto"
"Pinterest account","Pinterest-Konto"
"Tumblr account","Tumblr-Konto"
"Twitter account","Twitter-Konto"
"Breadcrumbs","Breadcrumbs"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Strukturierte Breadcrumb-Daten aktivieren, damit Suchmaschinen Ihre Website-Navigationshierarchie verstehen. Dies verbessert die Website-Indexierung und kann die Anzeige der Breadcrumb-Navigation in Suchergebnissen verbessern."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Aktiviert strukturiertes Breadcrumb-Markup. Dies hilft Suchmaschinen, Ihre Website-Hierarchie zu verstehen, und kann eine erweiterte Breadcrumb-Navigation in Suchergebnissen anzeigen."
"Twitter card","Twitter Card"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Twitter-Card-Metadaten konfigurieren, um zu steuern, wie Ihre Seiten beim Teilen auf Twitter erscheinen. Dies hilft, das soziale Teilen mit geeigneten Bildern und Beschreibungen zu optimieren."
"Add Twitter summary card","Twitter-Zusammenfassungskarte hinzufügen"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Steuert, welcher Typ von Twitter Card implementiert werden soll. Dies bestimmt, wie Ihr Inhalt beim Teilen auf Twitter erscheint."
"Twitter username","Twitter-Benutzername"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Ihren Twitter-Handle ohne das @-Symbol eingeben. Dies verknüpft Ihr Twitter-Konto mit geteilten Inhalten."
"Search box","Suchfeld"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Das Erscheinungsbild Ihrer Website in Suchergebnissen verbessern, indem ein Suchfeld direkt im Such-Snippet hinzugefügt wird. Dies kann mehr zielgerichteten Traffic durch benutzerdefinierte Website-Suchen generieren."
"Search box type","Suchfeld-Typ"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Bestimmt, ob und welcher Typ von Website-Suche in Suchergebnissen angezeigt wird. Dies kann Besucher dazu ermutigen, direkt aus den Suchergebnissen auf Ihrer Website zu suchen."
"Path to the blog search","Pfad zur Blog-Suche"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Den URL-Pfad für Ihre Blog-Suchfunktion eingeben. Erforderlich beim Aktivieren der blogspezifischen Suche in Suchergebnissen."
"Rich snippet","Rich Snippet"
"Schema type","Schema-Typ"
