"Conditions","条件"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","在OpenGraph和富摘要中包含产品价格信息。警告：禁用此项将从结构化数据中删除价格，可能导致Google富搜索结果验证错误，因为有效的产品富摘要需要价格信息。"
"Single price mode","单一价格模式"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","启用后，使用带有单一价格值的schema.org Offer类型，而不是带有价格范围的AggregateOffer类型。这将结构化数据从多个优惠聚合更改为单一优惠表示。"
"Include price valid until","包含价格有效期"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","这有助于搜索引擎理解价格的时间有效性，可以提高价格比较功能的准确性。适用于促销定价、限时优惠或定期更新的定价结构。"
"Item description","商品描述"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","控制在结构化数据中使用哪个产品描述字段。选择最适合全面产品信息的来源。"
"Item description length","商品描述长度"
"Maximum character length for item description in structured data.","结构化数据中商品描述的最大字符长度。"
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Google推荐的最大值为5000。低于25的值默认为5000。如果值为空或0，则不应用限制。"
"Item image","商品图片"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","在结构化数据中包含产品图片。这使产品在搜索结果和富摘要中实现可视化表示。"
"Item availability","商品库存状态"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","在结构化数据中显示产品库存状态。这有助于在搜索结果中直接向潜在客户传达库存水平。"
"Payment methods","支付方式"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","在结构化数据中列出已接受的支付方式。这在访客点击之前提供了支付选项的透明度。"
"Delivery methods","配送方式"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","在结构化数据中包含运输和配送选项。这有助于设定客户对履行方式的期望。"
"Product category","产品分类"
"Displays category information in product structured data. This helps establish product classification context for search engines.","在产品结构化数据中显示分类信息。这有助于为搜索引擎建立产品分类上下文。"
"Manufacturer part number","制造商零件号"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","在结构化数据中包含制造商零件号。这通过技术标识符提高了特定产品搜索的可发现性。"
"Manufacturer part number attribute","制造商零件号属性"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","指定哪个产品属性包含制造商零件号数据。系统将读取此属性以填充结构化数据。"
"Brand attribute","品牌属性"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","指定哪个产品属性包含品牌信息。这将您现有的品牌数据映射到结构化标记。"
"Model attribute","型号属性"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","指定哪个产品属性包含型号信息。有助于在结构化数据中识别特定的产品型号。"
"Color attribute","颜色属性"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","指定哪个产品属性包含颜色信息。对于产品变体和富搜索结果中的筛选非常重要。"
"Size attribute","尺寸属性"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","指定哪个产品属性包含尺寸信息。与服装和有尺寸的产品数据相关。"
"Material attribute","材质属性"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","指定哪个产品属性包含材质信息（例如""material""、""fabric""）。作为Product上的直接schema.org属性输出。"
"Pattern attribute","图案属性"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","指定哪个产品属性包含图案信息（例如""pattern""）。作为Product上的直接schema.org属性输出。"
"Weight unit","重量单位"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","选择用于产品重量的标准计量单位。确保结构化数据中一致的重量表示。"
"Dimensions","尺寸"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","在结构化数据中启用尺寸测量。对于客户关注尺寸的实体产品非常重要。"
"Unit","单位"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","指定产品尺寸的计量单位（例如英寸、厘米）。保持尺寸表示的一致性。"
"Height attribute","高度属性"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","指定哪个产品属性包含高度测量值。将您的高度数据映射到结构化标记。"
"Width attribute","宽度属性"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","指定哪个产品属性包含宽度测量值。将您的宽度数据映射到结构化标记。"
"Depth attribute","深度属性"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","指定哪个产品属性包含深度测量值。将您的深度数据映射到结构化标记。"
"Product condition","产品状况"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","指示产品是全新、二手还是翻新品。这对于市场和转售商非常重要。"
"Condition attribute","状况属性"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","指定哪个产品属性包含状况信息。系统将读取此属性获取状况数据。"
"New attribute value","全新属性值"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","指定表示产品为全新的确切属性值。这将您的内部值映射到schema.org标准。"
"Used attribute value","二手属性值"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","指定表示产品为二手的确切属性值。这将您的内部值映射到schema.org标准。"
"Refurbished attribute value","翻新品属性值"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","指定表示产品为翻新品的确切属性值。这将您的内部值映射到schema.org标准。"
"Damaged attribute value","损坏品属性值"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","指定表示产品已损坏的确切属性值。这将您的内部值映射到schema.org标准。"
"Individual review markup","个人评价标记"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","为每条产品评价包含标记。这使搜索结果中的评价内容能够以超越聚合评分的富媒体形式显示。"
"Add rich snippets for product variants","为产品变体添加富摘要"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","为不同颜色或尺寸等产品变体包含结构化数据。这有助于搜索引擎了解您完整的产品供应。"
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN配置：</u></strong>"
"GTIN-8 attribute","GTIN-8属性"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","指定哪个属性包含8位GTIN/EAN代码。对于国际产品标识非常重要。"
"GTIN-12 attribute","GTIN-12属性"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","指定哪个属性包含12位GTIN/UPC代码。北美产品标识的标准。"
"GTIN-13 attribute","GTIN-13属性"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","指定哪个属性包含13位GTIN/EAN代码。常见的国际产品标识格式。"
"GTIN-14 attribute","GTIN-14属性"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","指定哪个属性包含14位GTIN代码。用于供应链标识中的包装级别。"
"Category page","分类页面"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","控制分类页面在搜索结果中的显示方式。这些设置帮助搜索引擎更好地理解您的分类结构，并改善分类信息在搜索结果中的显示。"
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","自动删除分类页面中不正确的结构化数据。有助于保持干净的标记并防止架构验证问题。"
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","激活分类页面的结构化数据标记。这使分类列表能够实现增强的搜索结果显示。"
"Category description","分类描述"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","控制在分类结构化数据中使用哪个描述字段。选择最能代表您的分类内容的来源。"
"Category image","分类图片"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","在结构化数据中包含分类缩略图。有助于在搜索和社交分享中提供视觉上下文。"
"Product offers","产品优惠"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","控制产品信息是否以及如何包含在分类结构化数据中。这可以显示分类中的可用产品。警告：""整个分类""模式无论当前页面如何都输出所有产品，这违反了Google要求结构化数据反映可见页面内容的指南，可能被视为垃圾标记，并可能显著增加大型分类的页面加载时间。"
"Product offers format","产品优惠格式"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","确定产品数据在分类结构化数据中的格式。""聚合产品""输出整个分类价格范围的单一产品架构。"
"Brand name","品牌名称"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","聚合产品架构的品牌名称。留空则使用商店名称或品牌页面的品牌名称。"
"Include aggregate rating","包含聚合评分"
"Include aggregated rating from all products in category for aggregate Product schema.","在聚合产品架构中包含分类中所有产品的聚合评分。"
"Exclude products with price 0","排除价格为0的产品"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","启用后，价格为0的产品将从聚合优惠计算中排除。这可以防止当分类包含免费产品时最低价格显示为0。"
"Enable OpenGraph","启用OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","激活分类页面的OpenGraph元数据。这控制分类页面在社交媒体平台上共享时的显示方式。"
"CMS page","CMS页面"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","管理静态内容页面的富摘要和OpenGraph数据。这有助于搜索引擎正确解读您的信息页面，并改善它们在社交媒体共享时的显示效果。"
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","自动删除CMS页面中不正确的结构化数据。有助于在静态内容页面上保持干净的标记。"
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","激活CMS页面的结构化数据标记。这使能够使用WebPage、Article、BlogPosting等schema.org类型实现增强的搜索结果显示。"
"Default schema type","默认架构类型"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","选择未设置每页覆盖时用于CMS页面的默认schema.org类型。单个页面可以在CMS页面编辑器中覆盖此设置。"
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","激活CMS页面的OpenGraph元数据。这改善了静态页面在社交平台上共享时的显示效果。"
"Landing page","落地页"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","控制落地页在搜索结果中的显示方式。这些设置帮助搜索引擎更好地理解您的落地页结构，并改善落地页信息在搜索结果中的显示。仅适用于Mirasvit Landing Page。"
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","自动删除落地页中不正确的结构化数据。有助于保持干净的标记并防止架构验证问题。"
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","激活落地页的结构化数据标记。这使落地页列表能够实现增强的搜索结果显示。"
"Landing page description","落地页描述"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","控制在落地页结构化数据中使用哪个描述字段。选择最能代表您的落地页内容的来源。"
"Landing page image","落地页图片"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","在结构化数据中包含落地页缩略图。有助于在搜索和社交分享中提供视觉上下文。"
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","控制产品信息是否以及如何包含在落地页结构化数据中。这可以显示落地页中的可用产品。警告：""整个落地页""模式无论当前页面如何都输出所有产品，这违反了Google的指南，可能被视为垃圾标记，并可能显著增加大型分类的页面加载时间。"
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","确定产品数据在落地页结构化数据中的格式。""聚合产品""输出带有价格范围的单一产品架构。"
"Brand name for aggregate Product schema. Leave empty to use store name.","聚合产品架构的品牌名称。留空则使用商店名称。"
"Include aggregated rating from all products in landing page for aggregate Product schema.","在聚合产品架构中包含落地页中所有产品的聚合评分。"
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","激活落地页的OpenGraph元数据。这控制落地页在社交媒体平台上共享时的显示方式。"
"Organization","机构"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","为搜索引擎定义关于您机构的结构化数据。此信息有助于在搜索结果中建立您的业务身份，并可以启用知识面板显示等特殊功能。"
"Activates structured data about your organization. This helps search engines understand your business identity.","激活关于您机构的结构化数据。这有助于搜索引擎了解您的业务身份。"
"Display scope","显示范围"
"Choose where organization schema markup should appear on your website.","选择机构架构标记应出现在网站的哪个位置。"
"CMS pages","CMS页面"
"Select specific CMS pages where organization schema markup should be displayed.","选择应显示机构架构标记的特定CMS页面。"
"Name","名称"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","控制机构名称的确定方式。选择默认商店名称或指定自定义业务名称。"
"Name value","名称值"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","使用自定义命名时输入机构的官方名称。为保持一致性，应与您的法定商业名称相匹配。"
"Country","国家"
"Determines how your organization's country is specified. Important for local business structured data.","确定机构所在国家的指定方式。对于本地商业结构化数据很重要。"
"Country value","国家值"
"Enter your organization's country name when using custom specification.","使用自定义规格时输入机构的国家名称。"
"Locality address","城市/地区"
"Controls how your organization's city/locality is determined. Important for local search visibility.","控制机构所在城市/地区的确定方式。对于本地搜索可见性很重要。"
"Locality address value","城市/地区值"
"Enter your organization's city or locality when using custom specification.","使用自定义规格时输入机构的城市或地区。"
"Address region","省/自治区/直辖市"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","控制机构所在省/自治区/直辖市的确定方式。有助于提高区域搜索相关性。"
"Region value","地区值"
"Enter your organization's state, province or region when using custom specification.","使用自定义规格时输入机构的省、自治区或直辖市。"
"Postal code","邮政编码"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","控制机构邮政编码的确定方式。对于精确位置映射很重要。"
"Postal code value","邮政编码值"
"Enter your organization's postal code when using custom specification.","使用自定义规格时输入机构的邮政编码。"
"Street address","街道地址"
"Controls how your organization's street address is determined. Provides detailed location information.","控制机构街道地址的确定方式。提供详细的位置信息。"
"Street address value","街道地址值"
"Enter your organization's full street address when using custom specification.","使用自定义规格时输入机构的完整街道地址。"
"Telephone number","电话号码"
"Controls how your organization's phone contact is determined. Important for customer contact information.","控制机构电话联系方式的确定方式。对于客户联系信息很重要。"
"Telephone number value","电话号码值"
"Enter your organization's primary contact phone number when using custom specification.","使用自定义规格时输入机构的主要联系电话号码。"
"Fax number","传真号码"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","如适用，请输入机构的传真号码。商业通信的可选联系方式。"
"Email","电子邮件"
"Controls how your organization's email contact is determined. Provides alternative contact information.","控制机构电子邮件联系方式的确定方式。提供备用联系信息。"
"Email value","电子邮件值"
"Enter your organization's public contact email address when using custom specification.","使用自定义规格时输入机构的公开联系电子邮件地址。"
"<strong><u>Social media links:</u></strong>","<strong><u>社交媒体链接：</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","输入您社交媒体主页的完整URL。这些建立了您的网站与社交渠道之间的官方联系，帮助搜索引擎验证您的在线存在。"
"YouTube channel","YouTube频道"
"Facebook account","Facebook账号"
"LinkedIn profile","LinkedIn主页"
"Instagram account","Instagram账号"
"Pinterest account","Pinterest账号"
"Tumblr account","Tumblr账号"
"Twitter account","Twitter账号"
"Breadcrumbs","面包屑导航"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","启用结构化面包屑数据，帮助搜索引擎理解您的网站导航层次。这改善了网站索引，并可以增强面包屑导航在搜索结果中的显示。"
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","激活结构化面包屑标记。这有助于搜索引擎理解您的网站层次，并可能在搜索结果中显示增强的面包屑导航。"
"Twitter card","Twitter卡片"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","配置Twitter卡片元数据以控制页面在Twitter上共享时的显示方式。这有助于通过适当的图片和描述优化社交分享。"
"Add Twitter summary card","添加Twitter摘要卡片"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","控制要实施的Twitter卡片类型。这决定了您的内容在Twitter上共享时的显示方式。"
"Twitter username","Twitter用户名"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","输入不带@符号的Twitter账号名。这将您的Twitter账号与共享内容关联起来。"
"Search box","搜索框"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","通过直接在搜索摘要中添加搜索框来增强您网站在搜索结果中的外观。这可以通过自定义网站搜索吸引更多有针对性的流量。"
"Search box type","搜索框类型"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","确定搜索结果中是否展示网站搜索及其类型。这可以鼓励访客直接从搜索结果中搜索您的网站。"
"Path to the blog search","博客搜索路径"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","输入博客搜索功能的URL路径。在搜索结果中启用博客专属搜索时需要填写。"
"Rich snippet","富摘要"
"Schema type","架构类型"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","选择此页面的schema.org类型。保留为""默认""以使用商店 > 配置 > 富摘要和OpenGraph > CMS页面中的全局设置。"
"Rich snippet extender","富摘要扩展"
"Back","返回"
"General","常规"
"Is active","是否启用"
"Entity type","实体类型"
"Store view","商店视图"
"Snippet extension","摘要扩展"
"JSON snippet","JSON摘要"
"Enclose the JSON snippet in curly braces","用花括号括住JSON摘要"
"Override non-empty fields","覆盖非空字段"
"Add extender","添加扩展"
"ID","ID"
Answer Engine (AEO),回答引擎 (AEO)
Enable Answer-Engine Optimization,启用回答引擎优化
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.",让结构化数据图谱可被 AI 回答引擎（ChatGPT 搜索、Perplexity、Gemini、Google AI Overviews）发现。启用后，输出的 JSON-LD 节点会带有稳定的 @id 值，并相互交叉引用为一个连通的图谱，使回答引擎能够从页面组装出一个可信的单一实体。禁用时，输出与标准富媒体摘要的行为完全相同。
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.",为每个结构化数据节点添加稳定的 @id 值，并将它们拼接成一个连通的图谱（产品引用其品牌和销售组织）。默认关闭；开启它不会改变输出哪些实体，只会将它们关联起来。
"Legal name","法定名称"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","请输入贵机构完整的注册法定名称（如果与上方显示的名称不同）。有助于搜索引擎识别您的官方商业身份。"
"Founding date","成立日期"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","请输入贵机构的成立日期，格式为YYYY-MM-DD。搜索引擎会将其用于知识图谱和信任信号。"
"Number of employees","员工人数"
"Enter the approximate number of employees in your organization.","请输入贵机构的大致员工人数。"
"Area served","服务区域"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","请输入贵机构服务的地理区域，例如“中国”或“全球”。"
"<strong><u>Contact points:</u></strong>","<strong><u>联系方式:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","按部门定义专用的电话/邮箱联系方式。这些会在上方通用电话/邮箱的基础上额外添加，帮助搜索引擎和用户直接联系到正确的部门。"
"Customer service telephone","客户服务电话"
"Customer service email","客户服务邮箱"
"Customer service area served","客户服务覆盖区域"
"Sales telephone","销售电话"
"Sales email","销售邮箱"
"Sales area served","销售覆盖区域"
"Technical support telephone","技术支持电话"
"Technical support email","技术支持邮箱"
"Technical support area served","技术支持覆盖区域"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","控制客户服务联系邮箱的确定方式。使用商店信息时，将采用您的客户支持发件人邮箱。"
"Customer service email value","客户服务邮箱值"
"Enter the customer service contact email address when using custom specification.","使用自定义规格时，请输入客户服务联系邮箱地址。"
"Controls how the sales contact email is determined. Store information uses your Sales Representative sender email.","控制销售联系邮箱的确定方式。使用商店信息时，将采用您的销售代表发件人邮箱。"
"Sales email value","销售邮箱值"
"Enter the sales contact email address when using custom specification.","使用自定义规格时，请输入销售联系邮箱地址。"
