"Conditions","Villkor"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Aktivera dimensionsmätningar i strukturerad data. Viktigt för fysiska produkter där storlek är viktigt för kunderna."
"Unit","Enhet"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Ange måttenheten för produktdimensioner (t.ex. tum, cm). Bibehåller konsekvens i dimensionsrepresentation."
"Height attribute","Höjdattribut"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Ange vilket produktattribut som innehåller höjdmätningar. Mappar dina höjddata till strukturerad markup."
"Width attribute","Bredattribut"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Ange vilket produktattribut som innehåller breddmätningar. Mappar dina bredddata till strukturerad markup."
"Depth attribute","Djupattribut"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Ange vilket produktattribut som innehåller djupmätningar. Mappar dina djupdata till strukturerad markup."
"Product condition","Produktskick"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Ange om produkter är nya, begagnade eller renoverade. Detta är viktigt för marknadsplatser och återförsäljare."
"Condition attribute","Skicksattribut"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Ange vilket produktattribut som innehåller skicksinformation. Systemet kommer att läsa det här attributet för skicksdata."
"New attribute value","Nytt attributvärde"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Ange det exakta attributvärdet som anger att en produkt är ny. Detta mappar dina interna värden till schema.org-standarder."
"Used attribute value","Begagnat attributvärde"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Ange det exakta attributvärdet som anger att en produkt är begagnad. Detta mappar dina interna värden till schema.org-standarder."
"Refurbished attribute value","Renoverat attributvärde"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Ange det exakta attributvärdet som anger att en produkt är renoverad. Detta mappar dina interna värden till schema.org-standarder."
"Damaged attribute value","Skadat attributvärde"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Ange det exakta attributvärdet som anger att en produkt är skadad. Detta mappar dina interna värden till schema.org-standarder."
"Individual review markup","Individuell recensionsmärkning"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Inkludera markup för varje enskild produktrecension. Detta möjliggör rik visning av recensionsinnehåll i sökresultat utöver aggregerade betyg."
"Add rich snippets for product variants","Lägg till rich snippets för produktvarianter"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Inkludera strukturerad data för produktvariationer som olika färger eller storlekar. Detta hjälper sökmotorer att förstå ditt kompletta produktutbud."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>GTIN-konfiguration:</u></strong>"
"GTIN-8 attribute","GTIN-8-attribut"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Ange vilket attribut som innehåller 8-siffriga GTIN/EAN-koder. Viktigt för internationell produktidentifiering."
"GTIN-12 attribute","GTIN-12-attribut"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Ange vilket attribut som innehåller 12-siffriga GTIN/UPC-koder. Standard för nordamerikansk produktidentifiering."
"GTIN-13 attribute","GTIN-13-attribut"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Ange vilket attribut som innehåller 13-siffriga GTIN/EAN-koder. Vanligt internationellt produktidentifieringsformat."
"GTIN-14 attribute","GTIN-14-attribut"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Ange vilket attribut som innehåller 14-siffriga GTIN-koder. Används för förpackningsnivåer vid identifiering i leveranskedjan."
"Category page","Kategorisida"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Styr hur kategorisidor representeras i sökresultat. Dessa inställningar hjälper sökmotorer att bättre förstå din kategoristruktur och förbättra visningen av kategoriinformation i sökresultat."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Tar automatiskt bort felaktig strukturerad data från kategorisidor. Hjälper till att bibehålla ren markup och förhindra schemavalideringsproblem."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Aktiverar strukturerad datamärkning för kategorisidor. Detta möjliggör förbättrade sökresultatvisningar för kategorilistar."
"Category description","Kategoribeskrivning"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Styr vilket beskrivningsfält som används i kategoristrukturerad data. Välj den källa som bäst representerar ditt kategoriinnehåll."
"Category image","Kategoribild"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inkluderar kategoriminiatyrbilder i strukturerad data. Hjälper till att ge visuell kontext vid sökning och delning i sociala medier."
"Product offers","Produkterbjudanden"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Styr om och hur produktinformation inkluderas i kategoristrukturerad data. Detta kan visa tillgängliga produkter inom kategorier. Varning: läget ""Hela kategorin"" matar ut alla produkter oavsett aktuell sida, vilket bryter mot Googles riktlinjer som kräver att strukturerad data återspeglar synligt sidinnehåll, kan behandlas som spam-markup och kan avsevärt öka sidladdningstiden för stora kategorier."
"Product offers format","Format för produkterbjudanden"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Bestämmer hur produktdata formateras i kategoristrukturerad data. ""Aggregerad produkt"" matar ut ett enda Produkt-schema med prisintervall från hela kategorin."
"Brand name","Varumärkesnamn"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Varumärkesnamn för aggregerat Produkt-schema. Lämna tomt för att använda butiksnamnet eller varumärkesnamnet för varumärkessidor."
"Include aggregate rating","Inkludera aggregerat betyg"
"Include aggregated rating from all products in category for aggregate Product schema.","Inkludera aggregerat betyg från alla produkter i kategorin för aggregerat Produkt-schema."
"Exclude products with price 0","Exkludera produkter med pris 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","När aktiverat exkluderas produkter med pris 0 från beräkningen av aggregerat erbjudande. Detta förhindrar att lowPrice visar 0 när kategorin innehåller gratisprodukter."
"Enable OpenGraph","Aktivera OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Aktiverar OpenGraph-metadata för kategorisidor. Detta styr hur kategorisidor visas när de delas på sociala medieplattformar."
"CMS page","CMS-sida"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Hantera rich snippets och OpenGraph-data för statiska innehållssidor. Detta hjälper sökmotorer att korrekt tolka dina informationssidor och förbättra hur de visas när de delas i sociala medier."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Tar automatiskt bort felaktig strukturerad data från CMS-sidor. Hjälper till att bibehålla ren markup på statiska innehållssidor."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Aktiverar strukturerad datamärkning för CMS-sidor. Detta möjliggör förbättrade sökresultatvisningar med schema.org-typer som WebPage, Article, BlogPosting med mera."
"Default schema type","Standardschematyp"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Välj den standardschema.org-typ som används för CMS-sidor när ingen sidspecifik åsidosättning är inställd. Enskilda sidor kan åsidosätta detta i CMS-sidredigeraren."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Aktiverar OpenGraph-metadata för CMS-sidor. Detta förbättrar hur statiska sidor visas när de delas på sociala plattformar."
"Landing page","Landningssida"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Styr hur landningssidor representeras i sökresultat. Dessa inställningar hjälper sökmotorer att bättre förstå din landningssidestruktur och förbättra visningen av landningssideinformation i sökresultat. Fungerar endast med Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Tar automatiskt bort felaktig strukturerad data från landningssidor. Hjälper till att bibehålla ren markup och förhindra schemavalideringsproblem."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Aktiverar strukturerad datamärkning för landningssidor. Detta möjliggör förbättrade sökresultatvisningar för landningssidelistor."
"Landing page description","Landningssidebeskrivning"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Styr vilket beskrivningsfält som används i landningssidestrukturerad data. Välj den källa som bäst representerar ditt landningssideinnehåll."
"Landing page image","Landningssidebild"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Inkluderar landningssideminiatyrbilder i strukturerad data. Hjälper till att ge visuell kontext vid sökning och delning i sociala medier."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Styr om och hur produktinformation inkluderas i landningssidestrukturerad data. Detta kan visa tillgängliga produkter inom landningssidor. Varning: läget ""Hela landningssidan"" matar ut alla produkter oavsett aktuell sida, vilket bryter mot Googles riktlinjer som kräver att strukturerad data återspeglar synligt sidinnehåll, kan behandlas som spam-markup och kan avsevärt öka sidladdningstiden för stora kategorier."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Bestämmer hur produktdata formateras i landningssidestrukturerad data. ""Aggregerad produkt"" matar ut ett enda Produkt-schema med prisintervall."
"Brand name for aggregate Product schema. Leave empty to use store name.","Varumärkesnamn för aggregerat Produkt-schema. Lämna tomt för att använda butiksnamnet."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Inkludera aggregerat betyg från alla produkter på landningssidan för aggregerat Produkt-schema."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Aktiverar OpenGraph-metadata för landningssidor. Detta styr hur landningssidor visas när de delas på sociala medieplattformar."
"Organization","Organisation"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Definiera strukturerad data om din organisation för sökmotorer. Denna information hjälper till att etablera din företagsidentitet i sökresultat och kan aktivera specialfunktioner som kunskapspanelsvisningar."
"Activates structured data about your organization. This helps search engines understand your business identity.","Aktiverar strukturerad data om din organisation. Detta hjälper sökmotorer att förstå din företagsidentitet."
"Display scope","Visningsomfång"
"Choose where organization schema markup should appear on your website.","Välj var organisationsschemamärkning ska visas på din webbplats."
"CMS pages","CMS-sidor"
"Select specific CMS pages where organization schema markup should be displayed.","Välj specifika CMS-sidor där organisationsschemamärkning ska visas."
"Name","Namn"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Styr hur ditt organisationsnamn fastställs. Välj standardbutiksnamn eller ange ett anpassat företagsnamn."
"Name value","Namnvärde"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Ange din organisations officiella namn när du använder anpassad namngivning. Detta bör matcha ditt juridiska företagsnamn för konsekvens."
"Country","Land"
"Determines how your organization's country is specified. Important for local business structured data.","Bestämmer hur din organisations land anges. Viktigt för strukturerad data för lokala företag."
"Country value","Landsvärde"
"Enter your organization's country name when using custom specification.","Ange din organisations landsnamn när du använder anpassad specifikation."
"Locality address","Lokalitetsadress"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Styr hur din organisations stad/lokalitet fastställs. Viktigt för lokal söksynlighet."
"Locality address value","Lokalitetsadressvärde"
"Enter your organization's city or locality when using custom specification.","Ange din organisations stad eller lokalitet när du använder anpassad specifikation."
"Address region","Adressregion"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Styr hur din organisations delstat/provins/region fastställs. Hjälper med regional sökrelevans."
"Region value","Regionvärde"
"Enter your organization's state, province or region when using custom specification.","Ange din organisations delstat, provins eller region när du använder anpassad specifikation."
"Postal code","Postnummer"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Styr hur din organisations postnummer fastställs. Viktigt för exakt platsmappning."
"Postal code value","Postnummervärde"
"Enter your organization's postal code when using custom specification.","Ange din organisations postnummer när du använder anpassad specifikation."
"Street address","Gatuadress"
"Controls how your organization's street address is determined. Provides detailed location information.","Styr hur din organisations gatuadress fastställs. Ger detaljerad platsinformation."
"Street address value","Gatuadressvärde"
"Enter your organization's full street address when using custom specification.","Ange din organisations fullständiga gatuadress när du använder anpassad specifikation."
"Telephone number","Telefonnummer"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Styr hur din organisations telefonkontakt fastställs. Viktigt för kundkontaktinformation."
"Telephone number value","Telefonnummervärde"
"Enter your organization's primary contact phone number when using custom specification.","Ange din organisations primära kontakttelefonnummer när du använder anpassad specifikation."
"Fax number","Faxnummer"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Ange din organisations faxnummer om tillämpligt. Valfri kontaktmetod för affärskommunikation."
"Email","E-post"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Styr hur din organisations e-postkontakt fastställs. Ger alternativ kontaktinformation."
"Email value","E-postvärde"
"Enter your organization's public contact email address when using custom specification.","Ange din organisations offentliga kontakt-e-postadress när du använder anpassad specifikation."
"<strong><u>Social media links:</u></strong>","<strong><u>Länkar till sociala medier:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Ange fullständiga URL:er till dina profiler på sociala medier. Dessa skapar officiell anslutning mellan din webbplats och sociala kanaler, vilket hjälper sökmotorer att verifiera din onlinenärvaro."
"YouTube channel","YouTube-kanal"
"Facebook account","Facebook-konto"
"LinkedIn profile","LinkedIn-profil"
"Instagram account","Instagram-konto"
"Pinterest account","Pinterest-konto"
"Tumblr account","Tumblr-konto"
"Twitter account","Twitter-konto"
"Breadcrumbs","Brödsmulor"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Aktivera strukturerad brödsmuledata för att hjälpa sökmotorer att förstå din webbplats navigeringshierarki. Detta förbättrar webbplatsindexeringen och kan förbättra hur brödsmulenavigering visas i sökresultat."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Aktiverar strukturerad brödsmulsmärkning. Detta hjälper sökmotorer att förstå din webbplatshierarki och kan visa förbättrad brödsmulenavigering i sökresultat."
"Twitter card","Twitter-kort"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Konfigurera Twitter-kortmetadata för att kontrollera hur dina sidor visas när de delas på Twitter. Detta hjälper till att optimera delning i sociala medier med lämpliga bilder och beskrivningar."
"Add Twitter summary card","Lägg till Twitter-sammanfattningskort"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Styr vilken typ av Twitter-kort som ska implementeras. Detta bestämmer hur ditt innehåll visas när det delas på Twitter."
"Twitter username","Twitter-användarnamn"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Ange ditt Twitter-handtag utan @-symbolen. Detta kopplar ditt Twitter-konto till delat innehåll."
"Search box","Sökruta"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Förbättra din webbplats utseende i sökresultat genom att lägga till en sökruta direkt i söksnippeten. Detta kan driva mer riktad trafik via anpassade webbplatssökningar."
"Search box type","Sökrutetyp"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Bestämmer om och vilken typ av webbplatssökning som visas i sökresultat. Detta kan uppmuntra besökare att söka på din webbplats direkt från sökresultaten."
"Path to the blog search","Sökväg till bloggsökning"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Ange URL-sökvägen för din bloggsökfunktion. Krävs när bloggsspecifik sökning aktiveras i sökresultat."
"Rich snippet","Rich snippet"
"Schema type","Schematyp"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Välj schema.org-typ för den här sidan. Lämna som ""Standard"" för att använda den globala inställningen från Butiker > Konfiguration > Rich snippets och OpenGraph > CMS-sida."
"Rich snippet extender","Rich snippet-utökare"
"Back","Tillbaka"
"General","Allmänt"
"Is active","Är aktiv"
"Entity type","Entitetstyp"
"Store view","Butiksvy"
"Snippet extension","Snippettillägg"
"JSON snippet","JSON-snippet"
"Enclose the JSON snippet in curly braces","Omge JSON-snippeten med klammerparenteser"
"Override non-empty fields","Åsidosätt icke-tomma fält"
"Add extender","Lägg till utökare"
"ID","ID"
Answer Engine (AEO),Svarsmotor (AEO)
Enable Answer-Engine Optimization,Aktivera optimering för svarsmotorer
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Gör grafen med strukturerade data upptäckbar för AI-svarsmotorer (ChatGPT-sökning, Perplexity, Gemini, Google AI Overviews). När det är aktiverat bär de utgivna JSON-LD-noderna stabila @id-värden och korsrefereras till en enda sammanhängande graf, så att en svarsmotor kan sätta samman en enda tillförlitlig entitet från sidan. När det är inaktiverat är utdata identiska med standardbeteendet för rich snippets."
"Adds stable @id values to each structured-data node and stitches them into one connected graph (Product references its brand and the selling Organization). Off by default; turning it on does not change which entities are emitted, only links them.","Lägger till stabila @id-värden till varje nod med strukturerade data och kopplar samman dem till en enda sammanhängande graf (produkten refererar till sitt varumärke och den säljande organisationen). Av som standard; att aktivera det ändrar inte vilka entiteter som ges ut, det länkar dem bara."
"Legal name","Juridiskt namn"
"Enter your organization's full registered legal name, if it differs from the display name above. Helps search engines distinguish your official business identity.","Ange organisationens fullständiga registrerade juridiska namn, om det skiljer sig från namnet som visas ovan. Hjälper sökmotorer att identifiera din officiella företagsidentitet."
"Founding date","Datum för grundande"
"Enter the date your organization was founded, in YYYY-MM-DD format. Used by search engines for Knowledge Graph and trust signals.","Ange datumet då din organisation grundades, i formatet ÅÅÅÅ-MM-DD. Används av sökmotorer för Knowledge Graph och förtroendesignaler."
"Number of employees","Antal anställda"
"Enter the approximate number of employees in your organization.","Ange det ungefärliga antalet anställda i din organisation."
"Area served","Betjänat område"
"Enter the geographic area your organization serves, e.g. ""United States"" or ""Worldwide"".","Ange det geografiska område som din organisation betjänar, t.ex. ""Sverige"" eller ""Hela världen""."
"<strong><u>Contact points:</u></strong>","<strong><u>Kontaktpunkter:</u></strong>"
"Define dedicated phone/email contact points by department. These are added in addition to the general telephone/email above, and help search engines and users reach the right department directly.","Definiera dedikerade telefon-/e-postkontaktpunkter per avdelning. Dessa läggs till utöver den allmänna telefonen/e-posten ovan och hjälper sökmotorer och användare att nå rätt avdelning direkt."
"Customer service telephone","Telefonnummer kundtjänst"
"Customer service email","E-post kundtjänst"
"Customer service area served","Betjänat område kundtjänst"
"Sales telephone","Telefonnummer försäljning"
"Sales email","E-post försäljning"
"Sales area served","Betjänat område försäljning"
"Technical support telephone","Telefonnummer teknisk support"
"Technical support email","E-post teknisk support"
"Technical support area served","Betjänat område teknisk support"
"Controls how the customer service contact email is determined. Store information uses your Customer Support sender email.","Styr hur kundtjänstens kontakt-e-post fastställs. Butiksinformation använder din avsändar-e-post för kundsupport."
"Customer service email value","E-postvärde kundtjänst"
