"Conditions","Condizioni"
"Rich snippets and OpenGraph","Rich snippet e OpenGraph"
"Product page","Pagina del prodotto"
"Configure rich snippets for product pages to improve search engine visibility. These settings enhance how your products appear in search results with additional information like pricing, availability, and reviews.","Configura i rich snippet per le pagine dei prodotti per migliorare la visibilità nei motori di ricerca. Queste impostazioni migliorano il modo in cui i tuoi prodotti appaiono nei risultati di ricerca con informazioni aggiuntive come prezzi, disponibilità e recensioni."
"Delete wrong snippets automatically","Elimina automaticamente gli snippet errati"
"Automatically removes incorrect structured data from product pages. Helps maintain clean markup and prevent schema validation issues.","Rimuove automaticamente i dati strutturati errati dalle pagine dei prodotti. Aiuta a mantenere un markup pulito e prevenire problemi di validazione dello schema."
"Enable rich snippet","Abilita rich snippet"
"Activates structured data markup for product pages. This is the master switch for all product-related rich snippets.","Attiva il markup dei dati strutturati per le pagine dei prodotti. Questo è l'interruttore principale per tutti i rich snippet relativi ai prodotti."
"Item name length","Lunghezza del nome dell'elemento"
"Maximum character length for item name in structured data.","Lunghezza massima in caratteri per il nome dell'elemento nei dati strutturati."
"The maximum value recommended by Google is 150. Values below 25 will default to 150. If the value is empty or 0, no limit is applied.","Il valore massimo raccomandato da Google è 150. I valori inferiori a 25 avranno come predefinito 150. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Item price","Prezzo dell'elemento"
"Includes product pricing information in OpenGraph and Rich Snippets. Warning: disabling this will remove price from structured data and may cause Google Rich Results validation errors, as price is required for valid Product rich snippets.","Include le informazioni sul prezzo del prodotto in OpenGraph e Rich Snippet. Attenzione: disabilitare questa opzione rimuoverà il prezzo dai dati strutturati e potrebbe causare errori di validazione in Google Rich Results, poiché il prezzo è richiesto per i rich snippet di Prodotto validi."
"Single price mode","Modalità prezzo singolo"
"When enabled, uses schema.org Offer type with a single price value instead of AggregateOffer type with price ranges. This changes the structured data from multiple offer aggregation to a single offer representation.","Quando abilitato, usa il tipo schema.org Offer con un singolo valore di prezzo invece del tipo AggregateOffer con intervalli di prezzi. Questo modifica i dati strutturati dall'aggregazione di più offerte a una rappresentazione di offerta singola."
"Include price valid until","Includi prezzo valido fino al"
"This helps search engines understand price temporal validity and can improve accuracy in price comparison features. Useful for promotional pricing, time-limited offers, or regularly updated pricing structures.","Questo aiuta i motori di ricerca a capire la validità temporale del prezzo e può migliorare la precisione nelle funzionalità di confronto dei prezzi. Utile per prezzi promozionali, offerte a tempo limitato o strutture di prezzi aggiornate regolarmente."
"Item description","Descrizione dell'elemento"
"Controls which product description field is used in structured data. Select the most appropriate source for comprehensive product information.","Controlla quale campo di descrizione del prodotto viene utilizzato nei dati strutturati. Seleziona la fonte più appropriata per informazioni complete sul prodotto."
"Item description length","Lunghezza della descrizione dell'elemento"
"Maximum character length for item description in structured data.","Lunghezza massima in caratteri per la descrizione dell'elemento nei dati strutturati."
"The maximum value recommended by Google is 5000. Values below 25 will default to 5000. If the value is empty or 0, no limit is applied.","Il valore massimo raccomandato da Google è 5000. I valori inferiori a 25 avranno come predefinito 5000. Se il valore è vuoto o 0, non viene applicato alcun limite."
"Item image","Immagine dell'elemento"
"Includes product images in structured data. This enables visual representation of products in search results and rich snippets.","Include le immagini del prodotto nei dati strutturati. Ciò consente la rappresentazione visiva dei prodotti nei risultati di ricerca e nei rich snippet."
"Item availability","Disponibilità dell'elemento"
"Shows product inventory status in structured data. This helps communicate stock levels to potential customers directly in search results.","Mostra lo stato dell'inventario del prodotto nei dati strutturati. Questo aiuta a comunicare i livelli di stock ai potenziali clienti direttamente nei risultati di ricerca."
"Payment methods","Metodi di pagamento"
"Lists accepted payment methods in structured data. This provides transparency about payment options before visitors click through.","Elenca i metodi di pagamento accettati nei dati strutturati. Ciò fornisce trasparenza sulle opzioni di pagamento prima che i visitatori facciano clic."
"Delivery methods","Metodi di consegna"
"Includes shipping and delivery options in structured data. This helps set customer expectations regarding fulfillment methods.","Include le opzioni di spedizione e consegna nei dati strutturati. Questo aiuta a definire le aspettative dei clienti riguardo ai metodi di evasione degli ordini."
"Product category","Categoria del prodotto"
"Displays category information in product structured data. This helps establish product classification context for search engines.","Visualizza le informazioni sulla categoria nei dati strutturati del prodotto. Questo aiuta a stabilire il contesto di classificazione del prodotto per i motori di ricerca."
"Manufacturer part number","Numero di parte del produttore"
"Includes manufacturer part numbers in structured data. This improves discoverability for specific product searches by technical identifiers.","Include i numeri di parte del produttore nei dati strutturati. Ciò migliora la reperibilità per ricerche di prodotti specifici tramite identificatori tecnici."
"Manufacturer part number attribute","Attributo numero di parte del produttore"
"Specify which product attribute contains the manufacturer part number data. The system will read this attribute to populate structured data.","Specifica quale attributo del prodotto contiene i dati del numero di parte del produttore. Il sistema leggerà questo attributo per popolare i dati strutturati."
"Brand attribute","Attributo brand"
"Specify which product attribute contains brand information. This maps your existing brand data to structured markup.","Specifica quale attributo del prodotto contiene le informazioni sul brand. Questo mappa i tuoi dati brand esistenti al markup strutturato."
"Model attribute","Attributo modello"
"Specify which product attribute contains model information. Helps identify specific product models in structured data.","Specifica quale attributo del prodotto contiene le informazioni sul modello. Aiuta a identificare modelli di prodotto specifici nei dati strutturati."
"Color attribute","Attributo colore"
"Specify which product attribute contains color information. Important for product variants and filtering in rich results.","Specifica quale attributo del prodotto contiene le informazioni sul colore. Importante per le varianti di prodotto e il filtraggio nei risultati arricchiti."
"Size attribute","Attributo taglia"
"Specify which product attribute contains size information. Relevant for apparel and dimensional product data.","Specifica quale attributo del prodotto contiene le informazioni sulla taglia. Rilevante per l'abbigliamento e i dati dimensionali del prodotto."
"Material attribute","Attributo materiale"
"Specify which product attribute contains material information (e.g. ""material"", ""fabric""). Outputs as a direct schema.org property on Product.","Specifica quale attributo del prodotto contiene le informazioni sul materiale (ad es. ""materiale"", ""tessuto""). Viene emesso come proprietà diretta di schema.org su Product."
"Pattern attribute","Attributo pattern"
"Specify which product attribute contains pattern information (e.g. ""pattern""). Outputs as a direct schema.org property on Product.","Specifica quale attributo del prodotto contiene le informazioni sul pattern (ad es. ""pattern""). Viene emesso come proprietà diretta di schema.org su Product."
"Weight unit","Unità di peso"
"Select the standard measurement unit used for product weights. Ensures consistent weight representation in structured data.","Seleziona l'unità di misura standard utilizzata per i pesi dei prodotti. Garantisce una rappresentazione coerente del peso nei dati strutturati."
"Dimensions","Dimensioni"
"Enable dimensional measurements in structured data. Important for physical products where size matters to customers.","Abilita le misurazioni dimensionali nei dati strutturati. Importante per i prodotti fisici dove le dimensioni contano per i clienti."
"Unit","Unità"
"Specify the measurement unit for product dimensions (e.g., inches, cm). Maintains consistency in dimensional representation.","Specifica l'unità di misura per le dimensioni del prodotto (ad es. pollici, cm). Mantiene la coerenza nella rappresentazione dimensionale."
"Height attribute","Attributo altezza"
"Specify which product attribute contains height measurements. Maps your height data to structured markup.","Specifica quale attributo del prodotto contiene le misurazioni dell'altezza. Mappa i tuoi dati sull'altezza al markup strutturato."
"Width attribute","Attributo larghezza"
"Specify which product attribute contains width measurements. Maps your width data to structured markup.","Specifica quale attributo del prodotto contiene le misurazioni della larghezza. Mappa i tuoi dati sulla larghezza al markup strutturato."
"Depth attribute","Attributo profondità"
"Specify which product attribute contains depth measurements. Maps your depth data to structured markup.","Specifica quale attributo del prodotto contiene le misurazioni della profondità. Mappa i tuoi dati sulla profondità al markup strutturato."
"Product condition","Condizione del prodotto"
"Indicate whether products are new, used, or refurbished. This is important for marketplaces and resellers.","Indica se i prodotti sono nuovi, usati o ricondizionati. Questo è importante per i marketplace e i rivenditori."
"Condition attribute","Attributo condizione"
"Specify which product attribute contains condition information. The system will read this attribute for condition data.","Specifica quale attributo del prodotto contiene le informazioni sulla condizione. Il sistema leggerà questo attributo per i dati sulla condizione."
"New attribute value","Valore attributo per nuovo"
"Specify the exact attribute value that indicates a product is new. This maps your internal values to schema.org standards.","Specifica il valore esatto dell'attributo che indica che un prodotto è nuovo. Questo mappa i tuoi valori interni agli standard di schema.org."
"Used attribute value","Valore attributo per usato"
"Specify the exact attribute value that indicates a product is used. This maps your internal values to schema.org standards.","Specifica il valore esatto dell'attributo che indica che un prodotto è usato. Questo mappa i tuoi valori interni agli standard di schema.org."
"Refurbished attribute value","Valore attributo per ricondizionato"
"Specify the exact attribute value that indicates a product is refurbished. This maps your internal values to schema.org standards.","Specifica il valore esatto dell'attributo che indica che un prodotto è ricondizionato. Questo mappa i tuoi valori interni agli standard di schema.org."
"Damaged attribute value","Valore attributo per danneggiato"
"Specify the exact attribute value that indicates a product is damaged. This maps your internal values to schema.org standards.","Specifica il valore esatto dell'attributo che indica che un prodotto è danneggiato. Questo mappa i tuoi valori interni agli standard di schema.org."
"Individual review markup","Markup per recensioni individuali"
"Include markup for each individual product review. This enables rich display of review content in search results beyond aggregate ratings.","Includi il markup per ogni singola recensione del prodotto. Ciò consente una visualizzazione arricchita del contenuto delle recensioni nei risultati di ricerca oltre alle valutazioni aggregate."
"Add rich snippets for product variants","Aggiungi rich snippet per le varianti di prodotto"
"Include structured data for product variations like different colors or sizes. This helps search engines understand your complete product offering.","Includi dati strutturati per le variazioni del prodotto come colori o taglie diverse. Questo aiuta i motori di ricerca a comprendere la tua offerta di prodotti completa."
"<strong><u>GTIN configuration:</u></strong>","<strong><u>Configurazione GTIN:</u></strong>"
"GTIN-8 attribute","Attributo GTIN-8"
"Specify which attribute contains 8-digit GTIN/EAN codes. Important for international product identification.","Specifica quale attributo contiene i codici GTIN/EAN a 8 cifre. Importante per l'identificazione internazionale dei prodotti."
"GTIN-12 attribute","Attributo GTIN-12"
"Specify which attribute contains 12-digit GTIN/UPC codes. Standard for North American product identification.","Specifica quale attributo contiene i codici GTIN/UPC a 12 cifre. Standard per l'identificazione dei prodotti nordamericani."
"GTIN-13 attribute","Attributo GTIN-13"
"Specify which attribute contains 13-digit GTIN/EAN codes. Common international product identification format.","Specifica quale attributo contiene i codici GTIN/EAN a 13 cifre. Formato comune di identificazione internazionale dei prodotti."
"GTIN-14 attribute","Attributo GTIN-14"
"Specify which attribute contains 14-digit GTIN codes. Used for packaging levels in supply chain identification.","Specifica quale attributo contiene i codici GTIN a 14 cifre. Utilizzato per i livelli di imballaggio nell'identificazione della catena di approvvigionamento."
"Category page","Pagina di categoria"
"Control how category pages are represented in search results. These settings help search engines better understand your category structure and improve the display of category information in search results.","Controlla come le pagine di categoria sono rappresentate nei risultati di ricerca. Queste impostazioni aiutano i motori di ricerca a comprendere meglio la struttura delle categorie e migliorano la visualizzazione delle informazioni sulle categorie nei risultati di ricerca."
"Automatically removes incorrect structured data from category pages. Helps maintain clean markup and prevent schema validation issues.","Rimuove automaticamente i dati strutturati errati dalle pagine di categoria. Aiuta a mantenere un markup pulito e prevenire problemi di validazione dello schema."
"Activates structured data markup for category pages. This enables enhanced search result displays for category listings.","Attiva il markup dei dati strutturati per le pagine di categoria. Ciò consente visualizzazioni avanzate dei risultati di ricerca per i listati delle categorie."
"Category description","Descrizione della categoria"
"Controls which description field is used in category structured data. Select the source that best represents your category content.","Controlla quale campo di descrizione viene utilizzato nei dati strutturati della categoria. Seleziona la fonte che meglio rappresenta il contenuto della tua categoria."
"Category image","Immagine della categoria"
"Includes category thumbnail images in structured data. Helps provide visual context in search and social sharing.","Include le immagini in miniatura della categoria nei dati strutturati. Aiuta a fornire contesto visivo nella ricerca e nella condivisione sui social."
"Product offers","Offerte di prodotti"
"Controls whether and how product information is included in category structured data. This can show available products within categories. Warning: ""Entire category"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controlla se e come le informazioni sui prodotti sono incluse nei dati strutturati della categoria. Questo può mostrare i prodotti disponibili all'interno delle categorie. Attenzione: la modalità ""Intera categoria"" genera tutti i prodotti indipendentemente dalla pagina corrente, violando le linee guida di Google che richiedono che i dati strutturati riflettano il contenuto visibile della pagina, potrebbe essere trattato come markup spam e può aumentare significativamente il tempo di caricamento della pagina per categorie di grandi dimensioni."
"Product offers format","Formato delle offerte di prodotti"
"Determines how product data is formatted within category structured data. ""Aggregate Product"" outputs single Product schema with price range from whole category.","Determina come i dati del prodotto sono formattati all'interno dei dati strutturati della categoria. ""Aggregate Product"" genera un singolo schema Product con intervallo di prezzi dell'intera categoria."
"Brand name","Nome del brand"
"Brand name for aggregate Product schema. Leave empty to use store name or brand name for brand pages.","Nome del brand per lo schema Product aggregato. Lascia vuoto per utilizzare il nome del negozio o il nome del brand per le pagine del brand."
"Include aggregate rating","Includi valutazione aggregata"
"Include aggregated rating from all products in category for aggregate Product schema.","Includi la valutazione aggregata di tutti i prodotti nella categoria per lo schema Product aggregato."
"Exclude products with price 0","Escludi prodotti con prezzo 0"
"When enabled, products with price 0 will be excluded from the aggregate offer calculation. This prevents lowPrice from showing 0 when category contains free products.","Quando abilitato, i prodotti con prezzo 0 saranno esclusi dal calcolo dell'offerta aggregata. Questo impedisce che lowPrice mostri 0 quando la categoria contiene prodotti gratuiti."
"Enable OpenGraph","Abilita OpenGraph"
"Activates OpenGraph metadata for category pages. This controls how category pages appear when shared on social media platforms.","Attiva i metadati OpenGraph per le pagine di categoria. Questo controlla come le pagine di categoria appaiono quando vengono condivise sulle piattaforme di social media."
"CMS page","Pagina CMS"
"Manage rich snippets and OpenGraph data for static content pages. This helps search engines properly interpret your informational pages and improves how they appear when shared on social media.","Gestisci i rich snippet e i dati OpenGraph per le pagine di contenuto statico. Questo aiuta i motori di ricerca a interpretare correttamente le tue pagine informative e migliora il modo in cui appaiono quando vengono condivise sui social media."
"Automatically removes incorrect structured data from CMS pages. Helps maintain clean markup on static content pages.","Rimuove automaticamente i dati strutturati errati dalle pagine CMS. Aiuta a mantenere un markup pulito nelle pagine di contenuto statico."
"Activates structured data markup for CMS pages. This enables enhanced search result displays with schema.org types like WebPage, Article, BlogPosting, and more.","Attiva il markup dei dati strutturati per le pagine CMS. Ciò consente visualizzazioni avanzate dei risultati di ricerca con tipi schema.org come WebPage, Article, BlogPosting e altri."
"Default schema type","Tipo di schema predefinito"
"Select the default schema.org type used for CMS pages when no per-page override is set. Individual pages can override this in the CMS page editor.","Seleziona il tipo di schema.org predefinito utilizzato per le pagine CMS quando non è impostato un override per pagina. Le singole pagine possono sovrascrivere questo nell'editor della pagina CMS."
"Activates OpenGraph metadata for CMS pages. This improves how static pages appear when shared on social platforms.","Attiva i metadati OpenGraph per le pagine CMS. Questo migliora il modo in cui le pagine statiche appaiono quando vengono condivise sulle piattaforme social."
"Landing page","Pagina di destinazione"
"Control how landing pages are represented in search results. These settings help search engines better understand your landing page structure and improve the display of landing page information in search results. Works with Mirasvit Landing Page only.","Controlla come le pagine di destinazione sono rappresentate nei risultati di ricerca. Queste impostazioni aiutano i motori di ricerca a comprendere meglio la struttura delle pagine di destinazione e migliorano la visualizzazione delle informazioni nelle pagine di destinazione nei risultati di ricerca. Funziona solo con Mirasvit Landing Page."
"Automatically removes incorrect structured data from landing pages. Helps maintain clean markup and prevent schema validation issues.","Rimuove automaticamente i dati strutturati errati dalle pagine di destinazione. Aiuta a mantenere un markup pulito e prevenire problemi di validazione dello schema."
"Activates structured data markup for landing pages. This enables enhanced search result displays for landing page listings.","Attiva il markup dei dati strutturati per le pagine di destinazione. Ciò consente visualizzazioni avanzate dei risultati di ricerca per i listati delle pagine di destinazione."
"Landing page description","Descrizione della pagina di destinazione"
"Controls which description field is used in landing page structured data. Select the source that best represents your landing page content.","Controlla quale campo di descrizione viene utilizzato nei dati strutturati della pagina di destinazione. Seleziona la fonte che meglio rappresenta il contenuto della tua pagina di destinazione."
"Landing page image","Immagine della pagina di destinazione"
"Includes landing page thumbnail images in structured data. Helps provide visual context in search and social sharing.","Include le immagini in miniatura della pagina di destinazione nei dati strutturati. Aiuta a fornire contesto visivo nella ricerca e nella condivisione sui social."
"Controls whether and how product information is included in landing page structured data. This can show available products within landing pages. Warning: ""Entire landing page"" mode outputs all products regardless of current page, which violates Google's guidelines requiring structured data to reflect visible page content, may be treated as spammy markup, and can significantly increase page load time for large categories.","Controlla se e come le informazioni sui prodotti sono incluse nei dati strutturati della pagina di destinazione. Questo può mostrare i prodotti disponibili all'interno delle pagine di destinazione. Attenzione: la modalità ""Intera pagina di destinazione"" genera tutti i prodotti indipendentemente dalla pagina corrente, violando le linee guida di Google che richiedono che i dati strutturati riflettano il contenuto visibile della pagina, potrebbe essere trattato come markup spam e può aumentare significativamente il tempo di caricamento della pagina per categorie di grandi dimensioni."
"Determines how product data is formatted within landing page structured data. ""Aggregate Product"" outputs single Product schema with price range.","Determina come i dati del prodotto sono formattati all'interno dei dati strutturati della pagina di destinazione. ""Aggregate Product"" genera un singolo schema Product con intervallo di prezzi."
"Brand name for aggregate Product schema. Leave empty to use store name.","Nome del brand per lo schema Product aggregato. Lascia vuoto per utilizzare il nome del negozio."
"Include aggregated rating from all products in landing page for aggregate Product schema.","Includi la valutazione aggregata di tutti i prodotti nella pagina di destinazione per lo schema Product aggregato."
"Activates OpenGraph metadata for landing pages. This controls how landing pages appear when shared on social media platforms.","Attiva i metadati OpenGraph per le pagine di destinazione. Questo controlla come le pagine di destinazione appaiono quando vengono condivise sulle piattaforme di social media."
"Organization","Organizzazione"
"Define structured data about your organization for search engines. This information helps establish your business identity in search results and can enable special features like knowledge panel displays.","Definisci dati strutturati sulla tua organizzazione per i motori di ricerca. Queste informazioni aiutano a stabilire l'identità della tua attività nei risultati di ricerca e possono abilitare funzionalità speciali come la visualizzazione del pannello delle conoscenze."
"Activates structured data about your organization. This helps search engines understand your business identity.","Attiva i dati strutturati sulla tua organizzazione. Questo aiuta i motori di ricerca a comprendere l'identità della tua attività."
"Display scope","Ambito di visualizzazione"
"Choose where organization schema markup should appear on your website.","Scegli dove deve apparire il markup dello schema dell'organizzazione sul tuo sito web."
"CMS pages","Pagine CMS"
"Select specific CMS pages where organization schema markup should be displayed.","Seleziona le pagine CMS specifiche in cui deve essere visualizzato il markup dello schema dell'organizzazione."
"Name","Nome"
"Controls how your organization name is determined. Select default store name or specify a custom business name.","Controlla come viene determinato il nome della tua organizzazione. Seleziona il nome del negozio predefinito o specifica un nome commerciale personalizzato."
"Name value","Valore del nome"
"Enter your organization's official name when using custom naming. This should match your legal business name for consistency.","Inserisci il nome ufficiale della tua organizzazione quando utilizzi la denominazione personalizzata. Questo dovrebbe corrispondere al tuo nome commerciale legale per coerenza."
"Country","Paese"
"Determines how your organization's country is specified. Important for local business structured data.","Determina come viene specificato il paese della tua organizzazione. Importante per i dati strutturati delle attività locali."
"Country value","Valore del paese"
"Enter your organization's country name when using custom specification.","Inserisci il nome del paese della tua organizzazione quando utilizzi la specifica personalizzata."
"Locality address","Indirizzo locale"
"Controls how your organization's city/locality is determined. Important for local search visibility.","Controlla come viene determinata la città/località della tua organizzazione. Importante per la visibilità nelle ricerche locali."
"Locality address value","Valore dell'indirizzo locale"
"Enter your organization's city or locality when using custom specification.","Inserisci la città o la località della tua organizzazione quando utilizzi la specifica personalizzata."
"Address region","Regione dell'indirizzo"
"Controls how your organization's state/province/region is determined. Helps with regional search relevance.","Controlla come viene determinato lo stato/provincia/regione della tua organizzazione. Aiuta con la rilevanza della ricerca regionale."
"Region value","Valore della regione"
"Enter your organization's state, province or region when using custom specification.","Inserisci lo stato, la provincia o la regione della tua organizzazione quando utilizzi la specifica personalizzata."
"Postal code","Codice postale"
"Controls how your organization's ZIP/postal code is determined. Important for precise location mapping.","Controlla come viene determinato il codice postale/CAP della tua organizzazione. Importante per la mappatura precisa della posizione."
"Postal code value","Valore del codice postale"
"Enter your organization's postal code when using custom specification.","Inserisci il codice postale della tua organizzazione quando utilizzi la specifica personalizzata."
"Street address","Indirizzo stradale"
"Controls how your organization's street address is determined. Provides detailed location information.","Controlla come viene determinato l'indirizzo stradale della tua organizzazione. Fornisce informazioni dettagliate sulla posizione."
"Street address value","Valore dell'indirizzo stradale"
"Enter your organization's full street address when using custom specification.","Inserisci l'indirizzo stradale completo della tua organizzazione quando utilizzi la specifica personalizzata."
"Telephone number","Numero di telefono"
"Controls how your organization's phone contact is determined. Important for customer contact information.","Controlla come viene determinato il contatto telefonico della tua organizzazione. Importante per le informazioni di contatto dei clienti."
"Telephone number value","Valore del numero di telefono"
"Enter your organization's primary contact phone number when using custom specification.","Inserisci il numero di telefono di contatto principale della tua organizzazione quando utilizzi la specifica personalizzata."
"Fax number","Numero di fax"
"Enter your organization's fax number if applicable. Optional contact method for business communications.","Inserisci il numero di fax della tua organizzazione se applicabile. Metodo di contatto opzionale per le comunicazioni aziendali."
"Email","Email"
"Controls how your organization's email contact is determined. Provides alternative contact information.","Controlla come viene determinato il contatto email della tua organizzazione. Fornisce informazioni di contatto alternative."
"Email value","Valore email"
"Enter your organization's public contact email address when using custom specification.","Inserisci l'indirizzo email di contatto pubblico della tua organizzazione quando utilizzi la specifica personalizzata."
"<strong><u>Social media links:</u></strong>","<strong><u>Link ai social media:</u></strong>"
"Enter full URLs to your social media profiles. These establish official connection between your website and social channels, helping search engines verify your online presence.","Inserisci gli URL completi dei tuoi profili sui social media. Questi stabiliscono una connessione ufficiale tra il tuo sito web e i canali social, aiutando i motori di ricerca a verificare la tua presenza online."
"YouTube channel","Canale YouTube"
"Facebook account","Account Facebook"
"LinkedIn profile","Profilo LinkedIn"
"Instagram account","Account Instagram"
"Pinterest account","Account Pinterest"
"Tumblr account","Account Tumblr"
"Twitter account","Account Twitter"
"Breadcrumbs","Breadcrumb"
"Enable structured breadcrumb data to help search engines understand your site navigation hierarchy. This improves site indexing and can enhance how breadcrumb navigation appears in search results.","Abilita i dati strutturati del breadcrumb per aiutare i motori di ricerca a comprendere la gerarchia di navigazione del tuo sito. Ciò migliora l'indicizzazione del sito e può migliorare il modo in cui la navigazione breadcrumb appare nei risultati di ricerca."
"Activates structured breadcrumb markup. This helps search engines understand your site hierarchy and may display enhanced breadcrumb navigation in search results.","Attiva il markup strutturato del breadcrumb. Questo aiuta i motori di ricerca a comprendere la gerarchia del tuo sito e può visualizzare una navigazione breadcrumb avanzata nei risultati di ricerca."
"Twitter card","Scheda Twitter"
"Configure Twitter card metadata to control how your pages appear when shared on Twitter. This helps optimize social sharing with appropriate images and descriptions.","Configura i metadati della scheda Twitter per controllare come le tue pagine appaiono quando vengono condivise su Twitter. Questo aiuta a ottimizzare la condivisione sui social con immagini e descrizioni appropriate."
"Add Twitter summary card","Aggiungi scheda di riepilogo Twitter"
"Controls which type of Twitter card to implement. This determines how your content appears when shared on Twitter.","Controlla quale tipo di scheda Twitter implementare. Questo determina come il tuo contenuto appare quando viene condiviso su Twitter."
"Twitter username","Nome utente Twitter"
"Enter your Twitter handle without the @ symbol. This associates your Twitter account with shared content.","Inserisci il tuo nome utente Twitter senza il simbolo @. Questo associa il tuo account Twitter al contenuto condiviso."
"Search box","Casella di ricerca"
"Enhance your site's appearance in search results by adding a search box directly in the search snippet. This can drive more targeted traffic through custom site searches.","Migliora l'aspetto del tuo sito nei risultati di ricerca aggiungendo una casella di ricerca direttamente nel frammento di ricerca. Questo può generare traffico più mirato attraverso ricerche personalizzate del sito."
"Search box type","Tipo di casella di ricerca"
"Determines whether and what type of site search is featured in search results. This can encourage visitors to search your site directly from search results.","Determina se e quale tipo di ricerca del sito è presente nei risultati di ricerca. Questo può incoraggiare i visitatori a cercare nel tuo sito direttamente dai risultati di ricerca."
"Path to the blog search","Percorso della ricerca nel blog"
"Enter the URL path for your blog search functionality. Required when enabling blog-specific search in search results.","Inserisci il percorso URL per la funzionalità di ricerca del tuo blog. Richiesto quando si abilita la ricerca specifica del blog nei risultati di ricerca."
"Rich snippet","Rich snippet"
"Schema type","Tipo di schema"
"Select the schema.org type for this page. Leave as ""Default"" to use the global setting from Stores > Configuration > Rich snippets and OpenGraph > CMS page.","Seleziona il tipo di schema.org per questa pagina. Lascia come ""Predefinito"" per utilizzare l'impostazione globale da Negozi > Configurazione > Rich snippet e OpenGraph > Pagina CMS."
"Rich snippet extender","Estensore di rich snippet"
"Back","Indietro"
"General","Generale"
"Is active","È attivo"
"Entity type","Tipo di entità"
"Store view","Vista del negozio"
"Snippet extension","Estensione dello snippet"
"JSON snippet","Snippet JSON"
"Enclose the JSON snippet in curly braces","Racchiudi lo snippet JSON tra parentesi graffe"
"Override non-empty fields","Sovrascrivi i campi non vuoti"
"Add extender","Aggiungi estensore"
"ID","ID"
Answer Engine (AEO),Motore di risposte (AEO)
Enable Answer-Engine Optimization,Abilita l'ottimizzazione per i motori di risposte
"Make the structured-data graph discoverable to AI answer engines (ChatGPT search, Perplexity, Gemini, Google AI Overviews). When enabled, the emitted JSON-LD nodes carry stable @id values and are cross-referenced into one connected graph, so an answer engine can assemble a single confident entity from the page. When disabled, output is identical to the standard rich-snippet behaviour.","Rendi il grafo dei dati strutturati rilevabile dai motori di risposte basati su IA (ricerca ChatGPT, Perplexity, Gemini, Google AI Overviews). Quando è abilitato, i nodi JSON-LD emessi portano valori @id stabili e sono collegati tra loro in un unico grafo connesso, in modo che un motore di risposte possa assemblare un'unica entità affidabile dalla pagina. Quando è disabilitato, l'output è identico al comportamento standard dei rich snippet."
