"Home","Strona główna"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Kontroluje sposób obsługi adresów URL przekierowań przy generowaniu mapy witryny. Wykluczenie przekierowań uniemożliwia wyszukiwarkom indeksowanie adresów URL przekierowań, podczas gdy ich uwzględnienie pozwala crawlerom odkryć łańcuch przekierowań. Trwałe przekierowania (301) zazwyczaj powinny być wykluczone, ponieważ wskazują na kanoniczne adresy URL już obecne w mapie witryny."
"Additional links","Dodatkowe linki"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Dodaj niestandardowe adresy URL do uwzględnienia w mapach witryny. Format: jeden URL na linię. Dla map witryny frontend podaj zarówno URL, jak i tytuł strony oddzielone przecinkiem."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Przykład:<br/>/promotions/, Nasze promocje<br/>/customer/account/, Konto klienta"
"Exclude by pattern","Wyklucz według wzorca"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Określ wzorce URL do wykluczenia ze wszystkich map witryny. Każdy wzorzec powinien być w nowej linii. Obsługiwane są symbole wieloznaczne (*)."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Przykład:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Ustawienia mapy witryny frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Skonfiguruj wygląd mapy witryny HTML dla odwiedzających i wyszukiwarek."
"Display settings","Ustawienia wyświetlania"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Skonfiguruj wizualną prezentację i elementy interfejsu użytkownika mapy witryny HTML. Te ustawienia kontrolują sposób wyświetlania mapy witryny odwiedzającym, w tym strukturę układu, pomoce nawigacyjne i interaktywne funkcje poprawiające doświadczenie użytkownika."
"Columns count","Liczba kolumn"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Zdefiniuj, ile kolumn będzie wyświetlanych w mapie witryny frontend. Więcej kolumn może poprawić czytelność na dużych witrynach."
"Valid values from 1 to 10","Prawidłowe wartości od 1 do 10"
"Alphabetical product grouping","Alfabetyczne grupowanie produktów"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Po włączeniu produkty będą grupowane alfabetycznie z nagłówkami wielkich liter, poprawiając nawigację dla odwiedzających."
"Show sitemap search box","Pokaż pole wyszukiwania mapy witryny"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Wyświetl pole wyszukiwania na stronie mapy witryny frontend. Odwiedzający mogą go używać do filtrowania i znajdowania konkretnych treści w mapie witryny bez przewijania wszystkich wpisów."
"Pagination controls position","Pozycja kontrolek paginacji"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Skonfiguruj, gdzie pojawia się nawigacja paginacji na mapie witryny frontend: na górze strony, na dole strony lub w obu miejscach. W przypadku dużych map witryny obejmujących wiele stron umieszczenie kontrolek zarówno na górze, jak i na dole poprawia użyteczność nawigacji."
"Cap product links per page","Ogranicz linki produktów na stronę"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Ustaw maksymalną liczbę linków do produktów na stronę, aby zapobiec nadmiernemu rozmiarowi strony. Paginacja zostanie zastosowana automatycznie po przekroczeniu limitu."
"SEO settings","Ustawienia SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Zdefiniuj elementy optymalizacji pod kątem wyszukiwarek dla strony mapy witryny HTML. Te ustawienia bezpośrednio wpływają na wygląd mapy witryny w wynikach wyszukiwania i jej wykrywalność przez użytkowników i crawlery."
"Base URL path to frontend sitemap","Podstawowa ścieżka URL do mapy witryny frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Określ ścieżkę URL, pod którą będzie dostępna mapa witryny frontend (np. 'map' sprawi, że będzie dostępna pod adresem example.com/map)."
"Meta title","Meta tytuł"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Zdefiniuj tytuł karty przeglądarki dla strony mapy witryny. Ważne dla indeksowania przez wyszukiwarki."
"Meta keywords","Meta słowa kluczowe"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Zdefiniuj słowa kluczowe dla strony mapy witryny. Choć mniej ważne dla nowoczesnego SEO, nadal może być przydatne do wewnętrznego wyszukiwania."
"Meta description","Meta opis"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Zdefiniuj meta opis dla strony mapy witryny. Ten tekst może pojawiać się w wynikach wyszukiwarek."
"H1 header","Nagłówek H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Zdefiniuj główny nagłówek (H1) pojawiający się na stronie mapy witryny. Ważne zarówno dla użyteczności, jak i SEO."
"Content settings","Ustawienia treści"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Kontroluj, jakie typy treści są uwzględniane w mapie witryny HTML. Te ustawienia określają zakres i kompleksowość mapy witryny, umożliwiając dostosowanie jej do specyficznych potrzeb nawigacyjnych witryny z uwzględnieniem wpływu na wydajność w przypadku dużych katalogów."
"Show products","Pokaż produkty"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Po włączeniu wszystkie produkty zostaną wymienione w mapie witryny frontend. Weź pod uwagę wpływ na wydajność w przypadku dużych katalogów."
"Show categories","Pokaż kategorie"
"When enabled, all categories will be included in the frontend sitemap.","Po włączeniu wszystkie kategorie zostaną uwzględnione w mapie witryny frontend."
"Show CMS pages","Pokaż strony CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Po włączeniu strony CMS (z wyjątkiem tych wykluczonych w ogólnych ustawieniach mapy witryny) pojawią się w mapie witryny frontend."
"Show additional links","Pokaż dodatkowe linki"
"When enabled, additional links will be included in the frontend sitemap.","Po włączeniu dodatkowe linki zostaną uwzględnione w mapie witryny frontend."
"Show stores","Pokaż sklepy"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Po włączeniu linki do wszystkich widoków sklepu zostaną uwzględnione w mapie witryny frontend. Przydatne dla sklepów wielojęzycznych w celu poprawy nawigacji."
"Show landing pages","Pokaż strony docelowe"
"When enabled, landing pages will be included in the frontend sitemap.","Po włączeniu strony docelowe zostaną uwzględnione w mapie witryny frontend."
"Show brands","Pokaż marki"
"When enabled, brands will be included in the frontend sitemap.","Po włączeniu marki zostaną uwzględnione w mapie witryny frontend."
"Show knowledge base","Pokaż bazę wiedzy"
"When enabled, the knowledge base will be included in the frontend sitemap.","Po włączeniu baza wiedzy zostanie uwzględniona w mapie witryny frontend."
"Show blog","Pokaż blog"
"When enabled, the blog will be included in the frontend sitemap.","Po włączeniu blog zostanie uwzględniony w mapie witryny frontend."
"Show Aheadworks blog","Pokaż blog Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Po włączeniu blog Aheadworks zostanie uwzględniony w mapie witryny frontend."
"Show FishPig blog","Pokaż blog FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Po włączeniu blog FishPig zostanie uwzględniony w mapie witryny frontend."
"Show Mageplaza blog","Pokaż blog Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Po włączeniu blog Mageplaza zostanie uwzględniony w mapie witryny frontend."
"Show Magefan blog","Pokaż blog Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Po włączeniu blog Magefan zostanie uwzględniony w mapie witryny frontend."
"Show Amasty blog","Pokaż blog Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Po włączeniu blog Amasty zostanie uwzględniony w mapie witryny frontend."
"Show Magezon blog","Pokaż blog Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Po włączeniu blog Magezon zostanie uwzględniony w mapie witryny frontend."
"XML sitemap settings","Ustawienia mapy witryny XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Skonfiguruj mapy witryny XML dla crawlerów wyszukiwarek. Te ustawienia wpływają na to, jak wyszukiwarki odkrywają i indeksują zawartość witryny."
"Common settings","Wspólne ustawienia"
"Settings that apply to all XML sitemap entries regardless of content type.","Ustawienia mające zastosowanie do wszystkich wpisów mapy witryny XML niezależnie od typu treści."
"Strip optional sitemap tags","Usuń opcjonalne znaczniki mapy witryny"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Po włączeniu znaczniki changefreq i priority zostaną usunięte ze wszystkich map witryny XML. Niektórzy eksperci SEO to zalecają, ponieważ te wartości są często ignorowane przez wyszukiwarki."
"Strip optional image tags","Usuń opcjonalne znaczniki obrazów"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Po włączeniu znaczniki image:title i image:caption zostaną usunięte ze wszystkich map witryny XML. Zmniejsza rozmiar pliku mapy witryny i poprawia wydajność generowania."
"Strip PageMap tags","Usuń znaczniki PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Po włączeniu znaczniki PageMap zostaną usunięte ze wszystkich map witryny XML. PageMap to przestarzała funkcja Google rzadko używana w nowoczesnym indeksowaniu. Włącz, aby zmniejszyć złożoność mapy witryny."
"Categories options","Opcje kategorii"
"Configure how category pages appear in XML sitemaps.","Skonfiguruj, jak strony kategorii pojawiają się w mapach witryny XML."
"Frequency","Częstotliwość"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Zasugeruj wyszukiwarkom, jak często zmieniają się strony kategorii. Jest to tylko wskazówka i może nie wpływać na częstotliwość przeszukiwania."
"Priority","Priorytet"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Zasugeruj względne znaczenie stron kategorii. Jest to tylko wskazówka i może nie wpływać na ranking."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Prawidłowe wartości od 0.0 (najniższy) do 1.0 (najwyższy)"
"Products options","Opcje produktów"
"Configure how product pages appear in XML sitemaps.","Skonfiguruj, jak strony produktów pojawiają się w mapach witryny XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Zasugeruj wyszukiwarkom, jak często zmieniają się strony produktów. Użyj 'Codziennie' dla dynamicznego inwentarza lub cen, 'Co tydzień' dla bardziej statycznych produktów."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Zasugeruj względne znaczenie stron produktów. Dla witryn e-commerce powszechnie używane są wartości od 0.6 do 0.8."
"Valid values range from 0.0 to 1.0","Prawidłowe wartości od 0.0 do 1.0"
"Add images into sitemap","Dodaj obrazy do mapy witryny"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Kontroluj uwzględnianie obrazów produktów w mapach witryny XML. Dodawanie obrazów może poprawić widoczność w wynikach wyszukiwania obrazów."
"Include disabled products","Uwzględnij wyłączone produkty"
"When enabled, products that are disabled will still appear in XML sitemaps.","Po włączeniu wyłączone produkty będą nadal pojawiać się w mapach witryny XML."
"Include out of stock products","Uwzględnij produkty niedostępne"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Po włączeniu produkty niedostępne będą nadal pojawiać się w mapach witryny XML."
"CMS pages options","Opcje stron CMS"
"Configure how CMS pages appear in XML sitemaps.","Skonfiguruj, jak strony CMS pojawiają się w mapach witryny XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Zasugeruj wyszukiwarkom, jak często zmieniają się strony CMS. Statyczne strony zazwyczaj używają 'Co miesiąc' lub 'Co rok'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Zasugeruj względne znaczenie stron CMS. Strona główna zazwyczaj używa 1.0, podczas gdy strony narzędziowe używają niższych wartości."
"Store URL options","Opcje URL sklepu"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Skonfiguruj, jak adresy URL widoków sklepu pojawiają się w mapach witryny XML dla konfiguracji wielu sklepów."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Zasugeruj wyszukiwarkom, jak często zmieniają się strony główne widoków sklepu. Dla witryn wielojęzycznych ze wspólną treścią powinno to odpowiadać częstotliwości głównej strony głównej."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Zasugeruj względne znaczenie stron głównych widoków sklepu. Dla witryn wielojęzycznych wartości powinny zazwyczaj odpowiadać priorytecie głównej strony głównej."
"Generation settings","Ustawienia generowania"
"Configure automated XML sitemap generation and error notifications.","Skonfiguruj automatyczne generowanie mapy witryny XML i powiadomienia o błędach."
"Enable sitemap generation","Włącz generowanie mapy witryny"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Po włączeniu mapy witryny XML będą automatycznie regenerowane zgodnie z poniższym harmonogramem. Zalecane dla witryn z częstymi aktualizacjami treści."
"Start time","Czas rozpoczęcia"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Ustaw czas, o którym ma rozpocząć się generowanie mapy witryny. Wybierz czas niskiego ruchu na witrynie, aby zminimalizować wpływ na wydajność."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Ustaw, jak często mapy witryny powinny być regenerowane. Częstsze aktualizacje są zalecane dla treści dynamicznych, ale mogą zwiększać obciążenie serwera."
"Error email recipient","Odbiorca wiadomości e-mail o błędach"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Adres e-mail, który będzie otrzymywał powiadomienia w przypadku niepowodzenia generowania mapy witryny. Pozostaw puste, aby wyłączyć powiadomienia."
"Error email sender","Nadawca wiadomości e-mail o błędach"
"Email sender identity for sitemap generation error notifications.","Tożsamość nadawcy wiadomości e-mail dla powiadomień o błędach generowania mapy witryny."
"Error email template","Szablon wiadomości e-mail o błędach"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Szablon wiadomości e-mail wybrany na podstawie rezerwowego motywu, gdy wybrana jest opcja ""Domyślny""."
"Sitemap file limits","Limity pliku mapy witryny"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Skonfiguruj limity rozmiaru pliku mapy witryny XML, aby zapewnić zgodność z wyszukiwarkami."
"Maximum number of URLs per file","Maksymalna liczba adresów URL na plik"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maksymalna liczba adresów URL na plik mapy witryny. Po przekroczeniu limitu automatycznie zostanie utworzonych wiele plików mapy witryny."
"Search engines recommend no more than 50,000 URLs per file","Wyszukiwarki zalecają nie więcej niż 50 000 adresów URL na plik"
"Maximum file size","Maksymalny rozmiar pliku"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maksymalny rozmiar pliku mapy witryny w bajtach. Po przekroczeniu limitu automatycznie zostanie utworzonych wiele plików mapy witryny."
"Search engines recommend files under 50MB (52,428,800 bytes)","Wyszukiwarki zalecają pliki poniżej 50 MB (52 428 800 bajtów)"
"Search engine submission settings","Ustawienia przesyłania do wyszukiwarek"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Skonfiguruj automatyczne przesyłanie map witryny XML do wyszukiwarek za pośrednictwem robots.txt."
"Enable submission to robots.txt","Włącz przesyłanie do robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Po włączeniu lokalizacje mapy witryny będą automatycznie dodawane do pliku robots.txt, pomagając wyszukiwarkom je odkryć. Jest to uzupełnienie, a nie zastąpienie, bezpośredniego przesyłania w narzędziach dla webmasterów wyszukiwarek."
"Split sitemap by entity type","Podziel sitemap według typu encji"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Po włączeniu dla każdego typu encji (produkty, kategorie, strony, blogi itp.) zostaną utworzone oddzielne pliki sitemap. Główny plik sitemap staje się indeksem odwołującym się do wszystkich plików specyficznych dla danej encji."
"Custom name for additional sitemap file","Niestandardowa nazwa dla dodatkowego pliku mapy witryny"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Gdy opcja ""Split sitemap by entity type"" jest włączona, adresy URL nieobjęte dedykowanym plikiem encji są domyślnie zapisywane do <em>other-sitemap.xml</em>. Wprowadź niestandardowy prefiks (np. <code>brands</code>), aby nazwać plik <em>brands-sitemap.xml</em>. Pozostaw puste, aby zachować domyślny prefiks <em>other</em>. Używaj tylko małych liter, cyfr i myślników."
"Sort URLs by priority","Sortuj adresy URL według priorytetu"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Po włączeniu adresy URL w mapie witryny XML są sortowane od najwyższej do najniższej wartości priorytetu (adresy URL o równym priorytecie są sortowane alfabetycznie). Pomaga to robotom indeksującym najpierw dotrzeć do najważniejszych stron przy ograniczeniach budżetu indeksowania. Gdy włączony jest podział według typu encji, adresy URL są sortowane w obrębie każdego pliku encji. Po wyłączeniu domyślna kolejność pozostaje bez zmian."
"XML parse error","Błąd analizy XML"
"empty or non-absolute <loc>","pusty lub niebezwzględny <loc>"
"placeholder <loc>","<loc> zastępczy"
"duplicate <loc>","zduplikowany <loc>"
"Valid sitemap XML","Prawidłowy plik XML mapy witryny"
"Valid sitemap URLs","Prawidłowe adresy URL mapy witryny"
