"Home","Início"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Sugira a importância relativa das páginas de categoria. Esta é apenas uma sugestão e pode não afetar o ranking."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Os valores válidos vão de 0.0 (menor) a 1.0 (maior)"
"Products options","Opções de produtos"
"Configure how product pages appear in XML sitemaps.","Configure como as páginas de produtos aparecem nos mapas do site XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Sugira aos mecanismos de busca com que frequência as páginas de produtos mudam. Use 'Diário' para inventário ou preços dinâmicos, 'Semanal' para produtos mais estáticos."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Sugira a importância relativa das páginas de produtos. Para sites de e-commerce, valores entre 0.6 e 0.8 são comumente usados."
"Valid values range from 0.0 to 1.0","Os valores válidos vão de 0.0 a 1.0"
"Add images into sitemap","Adicionar imagens ao mapa do site"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Controle a inclusão de imagens de produto nos mapas do site XML. Adicionar imagens pode melhorar a visibilidade nos resultados de pesquisa de imagens."
"Include disabled products","Incluir produtos desativados"
"When enabled, products that are disabled will still appear in XML sitemaps.","Quando ativado, os produtos que estão desativados ainda aparecerão nos mapas do site XML."
"Include out of stock products","Incluir produtos fora de estoque"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Quando ativado, os produtos fora de estoque ainda aparecerão nos mapas do site XML."
"CMS pages options","Opções de páginas CMS"
"Configure how CMS pages appear in XML sitemaps.","Configure como as páginas CMS aparecem nos mapas do site XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Sugira aos mecanismos de busca com que frequência as páginas CMS mudam. As páginas estáticas normalmente usam 'Mensal' ou 'Anual'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Sugira a importância relativa das páginas CMS. A página inicial normalmente usa 1.0, enquanto as páginas utilitárias usam valores mais baixos."
"Store URL options","Opções de URL da loja"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configure como as URLs de visão da loja aparecem nos mapas do site XML para configurações de múltiplas lojas."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Sugira aos mecanismos de busca com que frequência as páginas iniciais das visões da loja mudam. Para sites multilíngues com conteúdo compartilhado, isso deve corresponder à frequência da sua página inicial principal."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Sugira a importância relativa das páginas iniciais das visões da loja. Para sites multilíngues, os valores geralmente devem corresponder à prioridade da sua página inicial principal."
"Generation settings","Configurações de geração"
"Configure automated XML sitemap generation and error notifications.","Configure a geração automatizada do mapa do site XML e as notificações de erro."
"Enable sitemap generation","Ativar geração do mapa do site"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Quando ativado, os mapas do site XML serão regenerados automaticamente de acordo com o cronograma abaixo. Recomendado para sites com atualizações frequentes de conteúdo."
"Start time","Hora de início"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Defina a hora em que a geração do mapa do site deve começar. Escolha um horário de baixo tráfego do site para minimizar o impacto no desempenho."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Defina com que frequência os mapas do site devem ser regenerados. Atualizações mais frequentes são recomendadas para conteúdo dinâmico, mas podem aumentar a carga do servidor."
"Error email recipient","Destinatário do e-mail de erro"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Endereço de e-mail que receberá notificações se a geração do mapa do site falhar. Deixe vazio para desativar as notificações."
"Error email sender","Remetente do e-mail de erro"
"Email sender identity for sitemap generation error notifications.","Identidade do remetente do e-mail para notificações de erro de geração do mapa do site."
"Error email template","Template de e-mail de erro"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template de e-mail escolhido com base no fallback do tema quando a opção ""Padrão"" é selecionada."
"Sitemap file limits","Limites do arquivo do mapa do site"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configure os limites de tamanho do arquivo do mapa do site XML para garantir compatibilidade com os mecanismos de busca."
"Maximum number of URLs per file","Número máximo de URLs por arquivo"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","URLs máximas por arquivo de mapa do site. Se excedido, vários arquivos de mapa do site serão criados automaticamente."
"Search engines recommend no more than 50,000 URLs per file","Os mecanismos de busca recomendam no máximo 50.000 URLs por arquivo"
"Maximum file size","Tamanho máximo do arquivo"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Tamanho máximo do arquivo de mapa do site em bytes. Se excedido, vários arquivos de mapa do site serão criados automaticamente."
"Search engines recommend files under 50MB (52,428,800 bytes)","Os mecanismos de busca recomendam arquivos com menos de 50 MB (52.428.800 bytes)"
"Search engine submission settings","Configurações de envio para mecanismos de busca"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configure o envio automático de mapas do site XML para mecanismos de busca via robots.txt."
"Enable submission to robots.txt","Ativar envio para robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Quando ativado, as localizações do mapa do site serão adicionadas automaticamente ao arquivo robots.txt, ajudando os mecanismos de busca a descobri-las. Isso é complementar, não substituto, ao envio direto nas ferramentas de webmaster dos mecanismos de busca."
"Split sitemap by entity type","Dividir sitemap por tipo de entidade"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Quando habilitado, serão criados arquivos de sitemap separados por tipo de entidade (produtos, categorias, páginas, blogs, etc.). O arquivo de sitemap principal torna-se um índice que referencia todos os arquivos específicos de cada entidade."
"Custom name for additional sitemap file","Nome personalizado para o arquivo de sitemap adicional"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Quando a opção ""Split sitemap by entity type"" está habilitada, URLs não cobertas por um arquivo de entidade dedicado são gravadas em <em>other-sitemap.xml</em> por padrão. Informe um prefixo personalizado (ex.: <code>brands</code>) para nomeá-lo <em>brands-sitemap.xml</em>. Deixe vazio para manter o prefixo padrão <em>other</em>. Use apenas letras minúsculas, dígitos e hifens."
"Sort URLs by priority","Ordenar URLs por prioridade"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Quando habilitado, as URLs no sitemap XML são ordenadas do maior para o menor valor de prioridade (URLs com prioridade igual são ordenadas alfabeticamente). Ajuda os rastreadores a alcançarem primeiro suas páginas mais importantes quando há limites de orçamento de rastreamento. Quando a divisão por tipo de entidade está habilitada, as URLs são ordenadas dentro de cada arquivo de entidade. A ordem padrão permanece inalterada quando desabilitado."
"XML parse error","Erro de análise de XML"
"empty or non-absolute <loc>","<loc> vazio ou não absoluto"
"placeholder <loc>","<loc> de espaço reservado"
"duplicate <loc>","<loc> duplicado"
"Valid sitemap XML","XML de sitemap válido"
"Valid sitemap URLs","URLs de sitemap válidas"
