"Home","Hem"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Ange URL-mönster för att exkludera från alla webbplatskartor. Varje mönster ska stå på en ny rad. Jokertecken (*) stöds."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Exempel:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Inställningar för frontend-webbplatskarta"
"Configure how your HTML sitemap appears to visitors and search engines.","Konfigurera hur din HTML-webbplatskarta visas för besökare och sökmotorer."
"Display settings","Visningsinställningar"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Konfigurera den visuella presentationen och gränssnittselementen för din HTML-webbplatskarta. Dessa inställningar styr hur webbplatskartan visas för besökare, inklusive layoutstruktur, navigationshjälpmedel och interaktiva funktioner som förbättrar användarupplevelsen."
"Columns count","Antal kolumner"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Definiera hur många kolumner som visas i frontend-webbplatskartan. Fler kolumner kan förbättra läsbarheten på stora webbplatser."
"Valid values from 1 to 10","Giltiga värden från 1 till 10"
"Alphabetical product grouping","Alfabetisk produktgruppering"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","När aktiverat grupperas produkter alfabetiskt med rubriker med versaler, vilket förbättrar navigeringen för besökare."
"Show sitemap search box","Visa sökruta för webbplatskarta"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Visa ett sökfält på frontend-webbplatskartsidan. Besökare kan använda detta för att filtrera och hitta specifikt innehåll i webbplatskartan utan att bläddra igenom alla poster."
"Pagination controls position","Position för pagineringskontroller"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Konfigurera var pagineringsnavigering visas i frontend-webbplatskartan: längst upp på sidan, längst ner på sidan eller på båda platserna. För stora webbplatskartor som sträcker sig över flera sidor förbättrar placering av kontroller både överst och underst navigeringsanvändbarheten."
"Cap product links per page","Begränsa produktlänkar per sida"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Ange maximalt antal produktlänkar per sida för att förhindra alltför stor sidstorlek. Paginering tillämpas automatiskt om det överskrids."
"SEO settings","SEO-inställningar"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Definiera sökmotoroptimeringselement för din HTML-webbplatskartsida. Dessa inställningar påverkar direkt hur webbplatskartan visas i sökresultat och påverkar dess möjlighet att upptäckas av både användare och crawlers."
"Base URL path to frontend sitemap","Bas-URL-sökväg till frontend-webbplatskarta"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Ange URL-sökvägen där frontend-webbplatskartan kommer att vara tillgänglig (t.ex. 'map' gör den tillgänglig på example.com/map)."
"Meta title","Meta-titel"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Definiera webbläsarflikens titel för din webbplatskartsida. Viktigt för sökmotorindexering."
"Meta keywords","Meta-nyckelord"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Definiera nyckelord för webbplatskartsidan. Även om det är mindre viktigt för modern SEO kan det fortfarande vara användbart för intern sökning."
"Meta description","Meta-beskrivning"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Definiera meta-beskrivningen för din webbplatskartsida. Den här texten kan visas i sökmotorresultat."
"H1 header","H1-rubrik"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Definiera huvudrubriken (H1) som visas på webbplatskartsidan. Viktigt för både användbarhet och SEO."
"Content settings","Innehållsinställningar"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Styr vilka typer av innehåll som inkluderas i din HTML-webbplatskarta. Dessa inställningar bestämmer webbplatskartas omfång och täckningsgrad, vilket gör att du kan anpassa den efter din webbplats specifika navigeringsbehov med hänsyn till prestandakonsekvenser för stora kataloger."
"Show products","Visa produkter"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","När aktiverat listas alla produkter i frontend-webbplatskartan. Beakta prestandapåverkan för stora kataloger."
"Show categories","Visa kategorier"
"When enabled, all categories will be included in the frontend sitemap.","När aktiverat inkluderas alla kategorier i frontend-webbplatskartan."
"Show CMS pages","Visa CMS-sidor"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","När aktiverat visas CMS-sidor (utom de som är exkluderade i allmänna inställningar för webbplatskarta) i frontend-webbplatskartan."
"Show additional links","Visa ytterligare länkar"
"When enabled, additional links will be included in the frontend sitemap.","När aktiverat inkluderas ytterligare länkar i frontend-webbplatskartan."
"Show stores","Visa butiker"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","När aktiverat inkluderas länkar till alla butiksvyer i frontend-webbplatskartan. Användbart för flerspråkiga butiker för att förbättra navigeringen."
"Show landing pages","Visa landningssidor"
"When enabled, landing pages will be included in the frontend sitemap.","När aktiverat inkluderas landningssidor i frontend-webbplatskartan."
"Show brands","Visa varumärken"
"When enabled, brands will be included in the frontend sitemap.","När aktiverat inkluderas varumärken i frontend-webbplatskartan."
"Show knowledge base","Visa kunskapsbas"
"When enabled, the knowledge base will be included in the frontend sitemap.","När aktiverat inkluderas kunskapsbasen i frontend-webbplatskartan."
"Show blog","Visa blogg"
"When enabled, the blog will be included in the frontend sitemap.","När aktiverat inkluderas bloggen i frontend-webbplatskartan."
"Show Aheadworks blog","Visa Aheadworks-blogg"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","När aktiverat inkluderas Aheadworks-bloggen i frontend-webbplatskartan."
"Show FishPig blog","Visa FishPig-blogg"
"When enabled, the FishPig blog will be included in the frontend sitemap.","När aktiverat inkluderas FishPig-bloggen i frontend-webbplatskartan."
"Show Mageplaza blog","Visa Mageplaza-blogg"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","När aktiverat inkluderas Mageplaza-bloggen i frontend-webbplatskartan."
"Show Magefan blog","Visa Magefan-blogg"
"When enabled, the Magefan blog will be included in the frontend sitemap.","När aktiverat inkluderas Magefan-bloggen i frontend-webbplatskartan."
"Show Amasty blog","Visa Amasty-blogg"
"When enabled, the Amasty blog will be included in the frontend sitemap.","När aktiverat inkluderas Amasty-bloggen i frontend-webbplatskartan."
"Show Magezon blog","Visa Magezon-blogg"
"When enabled, the Magezon blog will be included in the frontend sitemap.","När aktiverat inkluderas Magezon-bloggen i frontend-webbplatskartan."
"XML sitemap settings","Inställningar för XML-webbplatskarta"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Konfigurera XML-webbplatskartor för sökmotorcrawlers. Dessa inställningar påverkar hur sökmotorer upptäcker och indexerar ditt webbplatsinnehåll."
"Common settings","Allmänna inställningar"
"Settings that apply to all XML sitemap entries regardless of content type.","Inställningar som gäller för alla XML-webbplatskartobjekt oavsett innehållstyp."
"Strip optional sitemap tags","Ta bort valfria webbplatskartstaggar"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","När aktiverat tas changefreq- och priority-taggar bort från alla XML-webbplatskartor. Vissa SEO-experter rekommenderar detta eftersom dessa värden ofta ignoreras av sökmotorer."
"Strip optional image tags","Ta bort valfria bildtaggar"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","När aktiverat tas image:title- och image:caption-taggar bort från alla XML-webbplatskartor. Minskar webbplatskartsfilens storlek och förbättrar genereringsprestandan."
"Strip PageMap tags","Ta bort PageMap-taggar"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","När aktiverat tas PageMap-taggar bort från alla XML-webbplatskartor. PageMap är en föråldrad Google-funktion som sällan används vid modern indexering. Aktivera för att minska webbplatskartkomplexiteten."
"Categories options","Kategorialternativ"
"Configure how category pages appear in XML sitemaps.","Konfigurera hur kategorisidor visas i XML-webbplatskartor."
"Frequency","Frekvens"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Föreslå för sökmotorer hur ofta kategorisidor ändras. Detta är bara ett tips och kanske inte påverkar crawlningsfrekvensen."
"Priority","Prioritet"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Föreslå den relativa betydelsen av kategorisidor. Detta är bara ett tips och kanske inte påverkar rankingen."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Giltiga värden är från 0.0 (lägst) till 1.0 (högst)"
"Products options","Produktalternativ"
"Configure how product pages appear in XML sitemaps.","Konfigurera hur produktsidor visas i XML-webbplatskartor."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Föreslå för sökmotorer hur ofta produktsidor ändras. Använd 'Dagligen' för dynamiskt lager eller prissättning, 'Veckovis' för mer statiska produkter."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Föreslå den relativa betydelsen av produktsidor. För e-handelssajter används vanligtvis värden mellan 0.6 och 0.8."
"Valid values range from 0.0 to 1.0","Giltiga värden är från 0.0 till 1.0"
"Add images into sitemap","Lägg till bilder i webbplatskartan"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Styr inkludering av produktbilder i XML-webbplatskartor. Att lägga till bilder kan förbättra synligheten i bildsökresultat."
"Include disabled products","Inkludera inaktiverade produkter"
"When enabled, products that are disabled will still appear in XML sitemaps.","När aktiverat visas inaktiverade produkter fortfarande i XML-webbplatskartor."
"Include out of stock products","Inkludera produkter som är slut i lager"
"When enabled, products that are out of stock will still appear in XML sitemaps.","När aktiverat visas produkter som är slut i lager fortfarande i XML-webbplatskartor."
"CMS pages options","CMS-sidalternativ"
"Configure how CMS pages appear in XML sitemaps.","Konfigurera hur CMS-sidor visas i XML-webbplatskartor."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Föreslå för sökmotorer hur ofta CMS-sidor ändras. Statiska sidor använder vanligtvis 'Månadsvis' eller 'Årsvis'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Föreslå den relativa betydelsen av CMS-sidor. Startsidan använder vanligtvis 1.0, medan verktygssidor använder lägre värden."
"Store URL options","Alternativ för butiks-URL"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Konfigurera hur butiksvyernas URL:er visas i XML-webbplatskartor för konfigurationer med flera butiker."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Föreslå för sökmotorer hur ofta butiksvyernas startsidor ändras. För flerspråkiga webbplatser med delat innehåll bör detta matcha din huvudstartsidas frekvens."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Föreslå den relativa betydelsen av butiksvyernas startsidor. För flerspråkiga webbplatser bör värdena vanligtvis matcha din huvudstartsidas prioritet."
"Generation settings","Genereringsinställningar"
"Configure automated XML sitemap generation and error notifications.","Konfigurera automatiserad XML-webbplatskartsgenerering och felmeddelanden."
"Enable sitemap generation","Aktivera generering av webbplatskarta"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","När aktiverat regenereras XML-webbplatskartor automatiskt enligt schemat nedan. Rekommenderas för webbplatser med frekventa innehållsuppdateringar."
"Start time","Starttid"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Ange den tid när webbplatskartsgenerering ska starta. Välj en tid med låg webbplatstrafik för att minimera prestandapåverkan."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Ange hur ofta webbplatskartor ska regenereras. Mer frekventa uppdateringar rekommenderas för dynamiskt innehåll men kan öka serverbelastningen."
"Error email recipient","Mottagare av felmejl"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","E-postadress som tar emot meddelanden om webbplatskartsgenerering misslyckas. Lämna tomt för att inaktivera meddelanden."
"Error email sender","Avsändare av felmejl"
"Email sender identity for sitemap generation error notifications.","E-postavsändaridentitet för felmeddelanden om webbplatskartsgenerering."
"Error email template","Mall för felmejl"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmall vald baserat på temafallback när alternativet ""Standard"" är valt."
"Sitemap file limits","Filgränser för webbplatskarta"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Konfigurera filstorleksgränser för XML-webbplatskarta för att säkerställa kompatibilitet med sökmotorer."
"Maximum number of URLs per file","Maximalt antal URL:er per fil"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","Maximalt antal URL:er per webbplatskartsfil. Om det överskrids skapas flera webbplatskartsfiler automatiskt."
"Search engines recommend no more than 50,000 URLs per file","Sökmotorer rekommenderar högst 50 000 URL:er per fil"
"Maximum file size","Maximal filstorlek"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Maximal webbplatskartsstorlek i byte. Om det överskrids skapas flera webbplatskartsfiler automatiskt."
"Search engines recommend files under 50MB (52,428,800 bytes)","Sökmotorer rekommenderar filer under 50 MB (52 428 800 byte)"
"Search engine submission settings","Inlämningsinställningar för sökmotorer"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Konfigurera automatisk inlämning av XML-webbplatskartor till sökmotorer via robots.txt."
"Enable submission to robots.txt","Aktivera inlämning till robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","När aktiverat läggs webbplatskartors platser automatiskt till i robots.txt-filen, vilket hjälper sökmotorer att hitta dem. Detta är ett komplement till, inte en ersättning för, direkt inlämning i sökmotorernas webbmasterverktyg."
"Split sitemap by entity type","Dela sitemap efter entitetstyp"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","När aktiverat skapas separata sitemapfiler per entitetstyp (produkter, kategorier, sidor, bloggar, etc.). Huvud-sitemapfilen blir ett index som refererar till alla entitetsspecifika filer."
"Custom name for additional sitemap file","Anpassat namn för ytterligare sitemapfil"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","När alternativet ""Split sitemap by entity type"" är aktiverat skrivs URL:er som inte täcks av en dedikerad entitetsfil till <em>other-sitemap.xml</em> som standard. Ange ett anpassat prefix (t.ex. <code>brands</code>) för att namnge filen <em>brands-sitemap.xml</em>. Lämna tomt för att behålla standardprefixet <em>other</em>. Använd endast gemener, siffror och bindestreck."
"Sort URLs by priority","Sortera URL:er efter prioritet"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","När aktiverat sorteras URL:erna i XML-sitemapen från högsta till lägsta prioritetsvärde (URL:er med samma prioritet sorteras alfabetiskt). Det hjälper sökrobotar att först nå dina viktigaste sidor vid begränsningar i crawl-budgeten. När uppdelning efter entitetstyp är aktiverad sorteras URL:erna inom varje entitetsfil. Standardordningen förblir oförändrad när det är inaktiverat."
"XML parse error","XML-tolkningsfel"
"empty or non-absolute <loc>","tom eller icke-absolut <loc>"
"placeholder <loc>","platshållar-<loc>"
"duplicate <loc>","duplicerad <loc>"
"Valid sitemap XML","Giltig webbplatskarts-XML"
"Valid sitemap URLs","Giltiga webbplatskarts-URL:er"
