"Home","Home"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configura dove appare la navigazione di paginazione nella mappa del sito frontend: in cima alla pagina, in fondo alla pagina o in entrambe le posizioni. Per mappe del sito di grandi dimensioni su più pagine, posizionare i controlli sia in cima che in fondo migliora l'usabilità della navigazione."
"Cap product links per page","Limita i link ai prodotti per pagina"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Imposta il numero massimo di link ai prodotti per pagina per evitare dimensioni eccessive della pagina. La paginazione verrà applicata automaticamente se superato."
"SEO settings","Impostazioni SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Definisci gli elementi di ottimizzazione per i motori di ricerca per la tua pagina della mappa del sito HTML. Queste impostazioni influiscono direttamente su come la mappa del sito appare nei risultati di ricerca e sulla sua reperibilità da parte degli utenti e dei crawler."
"Base URL path to frontend sitemap","Percorso URL base alla mappa del sito frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Specifica il percorso URL in cui la mappa del sito frontend sarà accessibile (ad es. 'map' la renderà disponibile su example.com/map)."
"Meta title","Meta titolo"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Definisci il titolo della scheda del browser per la pagina della tua mappa del sito. Importante per l'indicizzazione dei motori di ricerca."
"Meta keywords","Meta parole chiave"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Definisci le parole chiave per la pagina della mappa del sito. Sebbene meno importanti per il SEO moderno, questo può essere ancora utile per la ricerca interna."
"Meta description","Meta descrizione"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Definisci la meta descrizione per la tua pagina della mappa del sito. Questo testo potrebbe apparire nei risultati dei motori di ricerca."
"H1 header","Intestazione H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Definisci il titolo principale (H1) che appare nella pagina della mappa del sito. Importante sia per l'usabilità che per il SEO."
"Content settings","Impostazioni del contenuto"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Controlla quali tipi di contenuto sono inclusi nella tua mappa del sito HTML. Queste impostazioni determinano l'ambito e la completezza della tua mappa del sito, permettendoti di adattarla alle esigenze di navigazione specifiche del tuo sito considerando le implicazioni sulle prestazioni per cataloghi di grandi dimensioni."
"Show products","Mostra prodotti"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Quando abilitato, tutti i prodotti saranno elencati nella mappa del sito frontend. Considera l'impatto sulle prestazioni per cataloghi di grandi dimensioni."
"Show categories","Mostra categorie"
"When enabled, all categories will be included in the frontend sitemap.","Quando abilitato, tutte le categorie saranno incluse nella mappa del sito frontend."
"Show CMS pages","Mostra pagine CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Quando abilitato, le pagine CMS (eccetto quelle escluse nelle Impostazioni generali della mappa del sito) appariranno nella mappa del sito frontend."
"Show additional links","Mostra link aggiuntivi"
"When enabled, additional links will be included in the frontend sitemap.","Quando abilitato, i link aggiuntivi saranno inclusi nella mappa del sito frontend."
"Show stores","Mostra negozi"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Quando abilitato, i link a tutte le viste del negozio saranno inclusi nella mappa del sito frontend. Utile per i negozi multilingue per migliorare la navigazione."
"Show landing pages","Mostra pagine di destinazione"
"When enabled, landing pages will be included in the frontend sitemap.","Quando abilitato, le pagine di destinazione saranno incluse nella mappa del sito frontend."
"Show brands","Mostra brand"
"When enabled, brands will be included in the frontend sitemap.","Quando abilitato, i brand saranno inclusi nella mappa del sito frontend."
"Show knowledge base","Mostra base di conoscenza"
"When enabled, the knowledge base will be included in the frontend sitemap.","Quando abilitato, la base di conoscenza sarà inclusa nella mappa del sito frontend."
"Show blog","Mostra blog"
"When enabled, the blog will be included in the frontend sitemap.","Quando abilitato, il blog sarà incluso nella mappa del sito frontend."
"Show Aheadworks blog","Mostra blog Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Quando abilitato, il blog Aheadworks sarà incluso nella mappa del sito frontend."
"Show FishPig blog","Mostra blog FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Quando abilitato, il blog FishPig sarà incluso nella mappa del sito frontend."
"Show Mageplaza blog","Mostra blog Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Quando abilitato, il blog Mageplaza sarà incluso nella mappa del sito frontend."
"Show Magefan blog","Mostra blog Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Quando abilitato, il blog Magefan sarà incluso nella mappa del sito frontend."
"Show Amasty blog","Mostra blog Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Quando abilitato, il blog Amasty sarà incluso nella mappa del sito frontend."
"Show Magezon blog","Mostra blog Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Quando abilitato, il blog Magezon sarà incluso nella mappa del sito frontend."
"XML sitemap settings","Impostazioni della mappa del sito XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configura le mappe del sito XML per i crawler dei motori di ricerca. Queste impostazioni influiscono su come i motori di ricerca scoprono e indicizzano i contenuti del tuo sito."
"Common settings","Impostazioni comuni"
"Settings that apply to all XML sitemap entries regardless of content type.","Impostazioni che si applicano a tutte le voci della mappa del sito XML indipendentemente dal tipo di contenuto."
"Strip optional sitemap tags","Rimuovi tag facoltativi della mappa del sito"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Quando abilitato, i tag changefreq e priority verranno rimossi da tutte le mappe del sito XML. Alcuni esperti SEO consigliano questo poiché questi valori sono spesso ignorati dai motori di ricerca."
"Strip optional image tags","Rimuovi tag immagine facoltativi"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Quando abilitato, i tag image:title e image:caption verranno rimossi da tutte le mappe del sito XML. Riduce le dimensioni del file della mappa del sito e migliora le prestazioni di generazione."
"Strip PageMap tags","Rimuovi tag PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Quando abilitato, i tag PageMap verranno rimossi da tutte le mappe del sito XML. PageMap è una funzionalità di Google deprecata raramente utilizzata nell'indicizzazione moderna. Abilita per ridurre la complessità della mappa del sito."
"Categories options","Opzioni categorie"
"Configure how category pages appear in XML sitemaps.","Configura come le pagine di categoria appaiono nelle mappe del sito XML."
"Frequency","Frequenza"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Suggerisci ai motori di ricerca con quale frequenza cambiano le pagine di categoria. Questo è solo un suggerimento e potrebbe non influire sulla frequenza di scansione."
"Priority","Priorità"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Suggerisci l'importanza relativa delle pagine di categoria. Questo è solo un suggerimento e potrebbe non influire sul posizionamento."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","I valori validi vanno da 0.0 (minimo) a 1.0 (massimo)"
"Products options","Opzioni prodotti"
"Configure how product pages appear in XML sitemaps.","Configura come le pagine dei prodotti appaiono nelle mappe del sito XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Suggerisci ai motori di ricerca con quale frequenza cambiano le pagine dei prodotti. Usa 'Giornaliero' per inventario o prezzi dinamici, 'Settimanale' per prodotti più statici."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Suggerisci l'importanza relativa delle pagine dei prodotti. Per i siti di e-commerce, si usano comunemente valori tra 0.6 e 0.8."
"Valid values range from 0.0 to 1.0","I valori validi vanno da 0.0 a 1.0"
"Add images into sitemap","Aggiungi immagini alla mappa del sito"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Controlla l'inclusione delle immagini dei prodotti nelle mappe del sito XML. L'aggiunta di immagini può migliorare la visibilità nei risultati di ricerca di immagini."
"Include disabled products","Includi prodotti disabilitati"
"When enabled, products that are disabled will still appear in XML sitemaps.","Quando abilitato, i prodotti disabilitati appariranno comunque nelle mappe del sito XML."
"Include out of stock products","Includi prodotti esauriti"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Quando abilitato, i prodotti esauriti appariranno comunque nelle mappe del sito XML."
"CMS pages options","Opzioni pagine CMS"
"Configure how CMS pages appear in XML sitemaps.","Configura come le pagine CMS appaiono nelle mappe del sito XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Suggerisci ai motori di ricerca con quale frequenza cambiano le pagine CMS. Le pagine statiche di solito usano 'Mensile' o 'Annuale'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Suggerisci l'importanza relativa delle pagine CMS. La pagina iniziale di solito usa 1.0, mentre le pagine di utilità usano valori più bassi."
"Store URL options","Opzioni URL del negozio"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configura come gli URL delle viste del negozio appaiono nelle mappe del sito XML per configurazioni multi-negozio."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Suggerisci ai motori di ricerca con quale frequenza cambiano le home page delle viste del negozio. Per i siti multilingue con contenuto condiviso, questo dovrebbe corrispondere alla frequenza della tua home page principale."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Suggerisci l'importanza relativa delle home page delle viste del negozio. Per i siti multilingue, i valori dovrebbero in genere corrispondere alla priorità della tua home page principale."
"Generation settings","Impostazioni di generazione"
"Configure automated XML sitemap generation and error notifications.","Configura la generazione automatica della mappa del sito XML e le notifiche di errore."
"Enable sitemap generation","Abilita la generazione della mappa del sito"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Quando abilitato, le mappe del sito XML verranno rigenerate automaticamente secondo il programma seguente. Consigliato per i siti con aggiornamenti frequenti dei contenuti."
"Start time","Ora di inizio"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Imposta l'ora in cui deve iniziare la generazione della mappa del sito. Scegli un momento di basso traffico del sito per minimizzare l'impatto sulle prestazioni."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Imposta la frequenza di rigenerazione delle mappe del sito. Gli aggiornamenti più frequenti sono consigliati per i contenuti dinamici ma possono aumentare il carico del server."
"Error email recipient","Destinatario email di errore"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Indirizzo email che riceverà le notifiche se la generazione della mappa del sito fallisce. Lascia vuoto per disabilitare le notifiche."
"Error email sender","Mittente email di errore"
"Email sender identity for sitemap generation error notifications.","Identità del mittente email per le notifiche di errore della generazione della mappa del sito."
"Error email template","Template email di errore"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email scelto in base al fallback del tema quando è selezionata l'opzione ""Predefinito""."
"Sitemap file limits","Limiti del file della mappa del sito"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configura i limiti di dimensione del file della mappa del sito XML per garantire la compatibilità con i motori di ricerca."
"Maximum number of URLs per file","Numero massimo di URL per file"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","URL massimi per file della mappa del sito. Se superato, verranno creati automaticamente più file della mappa del sito."
"Search engines recommend no more than 50,000 URLs per file","I motori di ricerca consigliano non più di 50.000 URL per file"
"Maximum file size","Dimensione massima del file"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Dimensione massima del file della mappa del sito in byte. Se superata, verranno creati automaticamente più file della mappa del sito."
"Search engines recommend files under 50MB (52,428,800 bytes)","I motori di ricerca consigliano file inferiori a 50 MB (52.428.800 byte)"
"Search engine submission settings","Impostazioni di invio ai motori di ricerca"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configura l'invio automatico delle mappe del sito XML ai motori di ricerca tramite robots.txt."
"Enable submission to robots.txt","Abilita l'invio a robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Quando abilitato, le posizioni della mappa del sito verranno aggiunte automaticamente al file robots.txt, aiutando i motori di ricerca a scoprirle. Questo è complementare, non sostitutivo, all'invio diretto negli strumenti per webmaster dei motori di ricerca."
"Split sitemap by entity type","Dividi la sitemap per tipo di entità"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Se abilitato, vengono creati file sitemap separati per tipo di entità (prodotti, categorie, pagine, blog, ecc.). Il file sitemap principale diventa un indice che fa riferimento a tutti i file specifici per entità."
"Custom name for additional sitemap file","Nome personalizzato per il file di sitemap aggiuntivo"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Quando l'opzione ""Split sitemap by entity type"" è abilitata, gli URL non coperti da un file entità dedicato vengono scritti in <em>other-sitemap.xml</em> per impostazione predefinita. Inserisci un prefisso personalizzato (es. <code>brands</code>) per nominarlo <em>brands-sitemap.xml</em>. Lascia vuoto per mantenere il prefisso predefinito <em>other</em>. Usa solo lettere minuscole, cifre e trattini."
"Sort URLs by priority","Ordina URL per priorità"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Se abilitato, gli URL nella sitemap XML vengono ordinati dal valore di priorità più alto al più basso (gli URL con la stessa priorità vengono ordinati alfabeticamente). Aiuta i crawler a raggiungere prima le pagine più importanti quando ci sono limiti di crawl budget. Se è abilitata la divisione per tipo di entità, gli URL vengono ordinati all'interno di ciascun file di entità. L'ordine predefinito rimane invariato quando è disabilitato."
"XML parse error","Errore di analisi XML"
"empty or non-absolute <loc>","<loc> vuoto o non assoluto"
"placeholder <loc>","<loc> segnaposto"
"duplicate <loc>","<loc> duplicato"
"Valid sitemap XML","XML della sitemap valido"
"Valid sitemap URLs","URL della sitemap validi"
