"Home","Início"
"Priority","Prioridade"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Sugira a importância relativa das páginas de categoria. Isto é apenas uma sugestão e pode não afetar a classificação."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Os valores válidos variam de 0.0 (mais baixo) a 1.0 (mais alto)"
"Products options","Opções de produtos"
"Configure how product pages appear in XML sitemaps.","Configure como as páginas de produto aparecem nos mapas do site XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Sugira aos motores de pesquisa com que frequência as páginas de produto mudam. Use 'Diariamente' para inventário ou preços dinâmicos, 'Semanalmente' para produtos mais estáticos."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Sugira a importância relativa das páginas de produto. Para sites de e-commerce, os valores entre 0.6 e 0.8 são comumente usados."
"Valid values range from 0.0 to 1.0","Os valores válidos variam de 0.0 a 1.0"
"Add images into sitemap","Adicionar imagens ao mapa do site"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Controle a inclusão de imagens de produto nos mapas do site XML. Adicionar imagens pode melhorar a visibilidade nos resultados de pesquisa de imagens."
"Include disabled products","Incluir produtos desativados"
"When enabled, products that are disabled will still appear in XML sitemaps.","Quando ativado, os produtos desativados ainda aparecerão nos mapas do site XML."
"Include out of stock products","Incluir produtos sem stock"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Quando ativado, os produtos sem stock ainda aparecerão nos mapas do site XML."
"CMS pages options","Opções de páginas CMS"
"Configure how CMS pages appear in XML sitemaps.","Configure como as páginas CMS aparecem nos mapas do site XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Sugira aos motores de pesquisa com que frequência as páginas CMS mudam. As páginas estáticas normalmente usam 'Mensalmente' ou 'Anualmente'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Sugira a importância relativa das páginas CMS. A página inicial normalmente usa 1.0, enquanto as páginas utilitárias usam valores mais baixos."
"Store URL options","Opções de URL da loja"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configure como os URLs de vista de loja aparecem nos mapas do site XML para configurações de múltiplas lojas."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Sugira aos motores de pesquisa com que frequência as páginas iniciais das vistas de loja mudam. Para sites multilingues com conteúdo partilhado, isto deve corresponder à frequência da sua página inicial principal."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Sugira a importância relativa das páginas iniciais das vistas de loja. Para sites multilingues, os valores devem normalmente corresponder à prioridade da sua página inicial principal."
"Generation settings","Definições de geração"
"Configure automated XML sitemap generation and error notifications.","Configure a geração automatizada de mapas do site XML e as notificações de erros."
"Enable sitemap generation","Ativar geração do mapa do site"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Quando ativado, os mapas do site XML serão automaticamente regenerados de acordo com o calendário abaixo. Recomendado para sites com atualizações de conteúdo frequentes."
"Start time","Hora de início"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Defina a hora em que a geração do mapa do site deve começar. Escolha uma hora de tráfego baixo no site para minimizar o impacto no desempenho."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Defina com que frequência os mapas do site devem ser regenerados. Atualizações mais frequentes são recomendadas para conteúdo dinâmico, mas podem aumentar a carga do servidor."
"Error email recipient","Destinatário de e-mail de erro"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Endereço de e-mail que receberá notificações se a geração do mapa do site falhar. Deixe vazio para desativar as notificações."
"Error email sender","Remetente de e-mail de erro"
"Email sender identity for sitemap generation error notifications.","Identidade do remetente de e-mail para notificações de erro de geração do mapa do site."
"Error email template","Modelo de e-mail de erro"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Modelo de e-mail escolhido com base no tema de reserva quando a opção ""Predefinição"" está selecionada."
"Sitemap file limits","Limites do ficheiro do mapa do site"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configure os limites de tamanho do ficheiro do mapa do site XML para garantir a compatibilidade com os motores de pesquisa."
"Maximum number of URLs per file","Número máximo de URLs por ficheiro"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","URLs máximos por ficheiro de mapa do site. Se excedido, serão criados automaticamente múltiplos ficheiros de mapa do site."
"Search engines recommend no more than 50,000 URLs per file","Os motores de pesquisa recomendam não mais de 50.000 URLs por ficheiro"
"Maximum file size","Tamanho máximo do ficheiro"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Tamanho máximo do ficheiro de mapa do site em bytes. Se excedido, serão criados automaticamente múltiplos ficheiros de mapa do site."
"Search engines recommend files under 50MB (52,428,800 bytes)","Os motores de pesquisa recomendam ficheiros abaixo de 50 MB (52.428.800 bytes)"
"Search engine submission settings","Definições de submissão ao motor de pesquisa"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configure a submissão automática de mapas do site XML aos motores de pesquisa via robots.txt."
"Enable submission to robots.txt","Ativar submissão ao robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Quando ativado, as localizações do mapa do site serão automaticamente adicionadas ao ficheiro robots.txt, ajudando os motores de pesquisa a descobri-las. Isto é complementar, não substituto, da submissão direta nas ferramentas de webmaster dos motores de pesquisa."
"Split sitemap by entity type","Dividir sitemap por tipo de entidade"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Quando ativado, são criados ficheiros de sitemap separados por tipo de entidade (produtos, categorias, páginas, blogues, etc.). O ficheiro de sitemap principal torna-se um índice que referencia todos os ficheiros específicos de cada entidade."
"Custom name for additional sitemap file","Nome personalizado para o ficheiro de sitemap adicional"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Quando a opção ""Split sitemap by entity type"" está ativada, os URLs não abrangidos por um ficheiro de entidade dedicado são escritos em <em>other-sitemap.xml</em> por predefinição. Introduza um prefixo personalizado (ex.: <code>brands</code>) para o nomear <em>brands-sitemap.xml</em>. Deixe em branco para manter o prefixo predefinido <em>other</em>. Utilize apenas letras minúsculas, dígitos e hífens."
"Sort URLs by priority","Ordenar URLs por prioridade"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Quando ativado, os URLs no sitemap XML são ordenados do maior para o menor valor de prioridade (os URLs com prioridade igual são ordenados alfabeticamente). Ajuda os rastreadores a alcançarem primeiro as suas páginas mais importantes quando há limites de orçamento de rastreio. Quando a divisão por tipo de entidade está ativada, os URLs são ordenados dentro de cada ficheiro de entidade. A ordem predefinida permanece inalterada quando desativado."
"XML parse error","Erro de análise de XML"
"empty or non-absolute <loc>","<loc> vazio ou não absoluto"
"placeholder <loc>","<loc> de marcador de posição"
"duplicate <loc>","<loc> duplicado"
"Valid sitemap XML","XML de sitemap válido"
"Valid sitemap URLs","URLs de sitemap válidos"
