"Home","Inicio"
"Controls how redirect URLs are handled in sitemap generation. Excluding redirects prevents search engines from indexing redirect URLs, while including them allows crawlers to discover the redirect chain. Permanent redirects (301) typically should be excluded as they point to canonical URLs already in the sitemap.","Controla cómo se manejan las URLs de redirección en la generación del mapa del sitio. Excluir las redirecciones impide que los motores de búsqueda indexen las URLs de redirección, mientras que incluirlas permite a los rastreadores descubrir la cadena de redirección. Las redirecciones permanentes (301) generalmente deben excluirse ya que apuntan a URLs canónicas que ya están en el mapa del sitio."
"Additional links","Enlaces adicionales"
"Add custom URLs to include in your sitemaps. Format: one URL per line. For frontend sitemaps, specify both URL and page title separated by comma.","Agregue URLs personalizadas para incluir en sus mapas del sitio. Formato: una URL por línea. Para mapas del sitio frontend, especifique tanto la URL como el título de la página separados por coma."
"Example:<br/>/promotions/, Our Promotions<br/>/customer/account/, Customer Account","Ejemplo:<br/>/promotions/, Nuestras promociones<br/>/customer/account/, Cuenta del cliente"
"Exclude by pattern","Excluir por patrón"
"Specify URL patterns to exclude from all sitemaps. Each pattern should be on a new line. Wildcards (*) are supported.","Especifique los patrones de URL que se excluirán de todos los mapas del sitio. Cada patrón debe estar en una nueva línea. Se admiten caracteres comodín (*)."
"Example:<br/>/catalog/category/*<br/>/checkout/*","Ejemplo:<br/>/catalog/category/*<br/>/checkout/*"
"Frontend sitemap settings","Configuración del mapa del sitio frontend"
"Configure how your HTML sitemap appears to visitors and search engines.","Configure cómo aparece su mapa del sitio HTML para los visitantes y los motores de búsqueda."
"Display settings","Configuración de visualización"
"Configure the visual presentation and user interface elements of your HTML sitemap. These settings control how the sitemap is displayed to visitors, including layout structure, navigation aids, and interactive features that enhance user experience.","Configure la presentación visual y los elementos de la interfaz de usuario de su mapa del sitio HTML. Estas configuraciones controlan cómo se muestra el mapa del sitio a los visitantes, incluida la estructura del diseño, las ayudas de navegación y las funciones interactivas que mejoran la experiencia del usuario."
"Columns count","Número de columnas"
"Define how many columns will display in the frontend sitemap. More columns can improve readability on large sites.","Defina cuántas columnas se mostrarán en el mapa del sitio frontend. Más columnas pueden mejorar la legibilidad en sitios grandes."
"Valid values from 1 to 10","Valores válidos de 1 a 10"
"Alphabetical product grouping","Agrupación alfabética de productos"
"When enabled, products will be grouped alphabetically with capital letter headings, improving navigation for visitors.","Cuando está habilitado, los productos se agruparán alfabéticamente con encabezados de letras mayúsculas, mejorando la navegación para los visitantes."
"Show sitemap search box","Mostrar cuadro de búsqueda del mapa del sitio"
"Display a search input field on the frontend sitemap page. Visitors can use this to filter and find specific content within the sitemap without scrolling through all entries.","Muestre un campo de entrada de búsqueda en la página del mapa del sitio frontend. Los visitantes pueden usarlo para filtrar y encontrar contenido específico dentro del mapa del sitio sin tener que desplazarse por todas las entradas."
"Pagination controls position","Posición de los controles de paginación"
"Configure where pagination navigation appears on the frontend sitemap: at the top of the page, bottom of the page, or both locations. For large sitemaps spanning multiple pages, placing controls at both top and bottom improves navigation usability.","Configure dónde aparece la navegación de paginación en el mapa del sitio frontend: en la parte superior de la página, en la parte inferior o en ambas ubicaciones. Para mapas del sitio grandes que abarcan varias páginas, colocar controles tanto arriba como abajo mejora la usabilidad de la navegación."
"Cap product links per page","Limitar enlaces de producto por página"
"Set maximum number of product links per page to prevent excessive page size. Pagination will be applied automatically if exceeded.","Establezca el número máximo de enlaces de producto por página para evitar un tamaño de página excesivo. La paginación se aplicará automáticamente si se supera."
"SEO settings","Configuración SEO"
"Define search engine optimization elements for your HTML sitemap page. These settings directly impact how the sitemap appears in search results and affect its discoverability by both users and crawlers.","Defina los elementos de optimización para motores de búsqueda para su página de mapa del sitio HTML. Estas configuraciones afectan directamente cómo aparece el mapa del sitio en los resultados de búsqueda y afectan su capacidad de descubrimiento tanto por usuarios como por rastreadores."
"Base URL path to frontend sitemap","Ruta URL base al mapa del sitio frontend"
"Specify the URL path where the frontend sitemap will be accessible (e.g., 'map' will make it available at example.com/map).","Especifique la ruta URL donde el mapa del sitio frontend estará accesible (por ejemplo, 'map' lo hará disponible en example.com/map)."
"Meta title","Meta título"
"Define the browser tab title for your sitemap page. Important for search engine indexing.","Defina el título de la pestaña del navegador para su página de mapa del sitio. Importante para la indexación de motores de búsqueda."
"Meta keywords","Meta palabras clave"
"Define keywords for the sitemap page. While less important for modern SEO, this can still be useful for internal search.","Defina palabras clave para la página del mapa del sitio. Aunque menos importantes para el SEO moderno, esto aún puede ser útil para la búsqueda interna."
"Meta description","Meta descripción"
"Define the meta description for your sitemap page. This text may appear in search engine results.","Defina la meta descripción para su página de mapa del sitio. Este texto puede aparecer en los resultados de los motores de búsqueda."
"H1 header","Encabezado H1"
"Define the main heading (H1) that appears on the sitemap page. Important for both usability and SEO.","Defina el encabezado principal (H1) que aparece en la página del mapa del sitio. Importante tanto para la usabilidad como para el SEO."
"Content settings","Configuración de contenido"
"Control which types of content are included in your HTML sitemap. These settings determine the scope and comprehensiveness of your sitemap, allowing you to tailor it to your site's specific navigation needs while considering performance implications for large catalogs.","Controle qué tipos de contenido se incluyen en su mapa del sitio HTML. Estas configuraciones determinan el alcance e integralidad de su mapa del sitio, permitiéndole adaptarlo a las necesidades de navegación específicas de su sitio mientras considera las implicaciones de rendimiento para catálogos grandes."
"Show products","Mostrar productos"
"When enabled, all products will be listed in the frontend sitemap. Consider performance impact for large catalogs.","Cuando está habilitado, todos los productos se listarán en el mapa del sitio frontend. Considere el impacto en el rendimiento para catálogos grandes."
"Show categories","Mostrar categorías"
"When enabled, all categories will be included in the frontend sitemap.","Cuando está habilitado, todas las categorías se incluirán en el mapa del sitio frontend."
"Show CMS pages","Mostrar páginas CMS"
"When enabled, CMS pages (except those excluded in General sitemap settings) will appear in the frontend sitemap.","Cuando está habilitado, las páginas CMS (excepto las excluidas en la Configuración general del mapa del sitio) aparecerán en el mapa del sitio frontend."
"Show additional links","Mostrar enlaces adicionales"
"When enabled, additional links will be included in the frontend sitemap.","Cuando está habilitado, los enlaces adicionales se incluirán en el mapa del sitio frontend."
"Show stores","Mostrar tiendas"
"When enabled, links to all store views will be included in the frontend sitemap. Useful for multi-language stores to improve navigation.","Cuando está habilitado, los enlaces a todas las vistas de la tienda se incluirán en el mapa del sitio frontend. Útil para tiendas multilingüe para mejorar la navegación."
"Show landing pages","Mostrar páginas de destino"
"When enabled, landing pages will be included in the frontend sitemap.","Cuando está habilitado, las páginas de destino se incluirán en el mapa del sitio frontend."
"Show brands","Mostrar marcas"
"When enabled, brands will be included in the frontend sitemap.","Cuando está habilitado, las marcas se incluirán en el mapa del sitio frontend."
"Show knowledge base","Mostrar base de conocimientos"
"When enabled, the knowledge base will be included in the frontend sitemap.","Cuando está habilitado, la base de conocimientos se incluirá en el mapa del sitio frontend."
"Show blog","Mostrar blog"
"When enabled, the blog will be included in the frontend sitemap.","Cuando está habilitado, el blog se incluirá en el mapa del sitio frontend."
"Show Aheadworks blog","Mostrar blog de Aheadworks"
"When enabled, the Aheadworks blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de Aheadworks se incluirá en el mapa del sitio frontend."
"Show FishPig blog","Mostrar blog de FishPig"
"When enabled, the FishPig blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de FishPig se incluirá en el mapa del sitio frontend."
"Show Mageplaza blog","Mostrar blog de Mageplaza"
"When enabled, the Mageplaza blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de Mageplaza se incluirá en el mapa del sitio frontend."
"Show Magefan blog","Mostrar blog de Magefan"
"When enabled, the Magefan blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de Magefan se incluirá en el mapa del sitio frontend."
"Show Amasty blog","Mostrar blog de Amasty"
"When enabled, the Amasty blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de Amasty se incluirá en el mapa del sitio frontend."
"Show Magezon blog","Mostrar blog de Magezon"
"When enabled, the Magezon blog will be included in the frontend sitemap.","Cuando está habilitado, el blog de Magezon se incluirá en el mapa del sitio frontend."
"XML sitemap settings","Configuración del mapa del sitio XML"
"Configure XML sitemaps for search engine crawlers. These settings affect how search engines discover and index your site content.","Configure los mapas del sitio XML para los rastreadores de motores de búsqueda. Estas configuraciones afectan cómo los motores de búsqueda descubren e indexan el contenido de su sitio."
"Common settings","Configuración común"
"Settings that apply to all XML sitemap entries regardless of content type.","Configuraciones que se aplican a todas las entradas del mapa del sitio XML independientemente del tipo de contenido."
"Strip optional sitemap tags","Eliminar etiquetas opcionales del mapa del sitio"
"When enabled, changefreq and priority tags will be removed from all XML sitemaps. Some SEO experts recommend this as these values are often ignored by search engines.","Cuando está habilitado, las etiquetas changefreq y priority se eliminarán de todos los mapas del sitio XML. Algunos expertos en SEO recomiendan esto ya que estos valores suelen ser ignorados por los motores de búsqueda."
"Strip optional image tags","Eliminar etiquetas de imagen opcionales"
"When enabled, image:title and image:caption tags will be removed from all XML sitemaps. Reduces sitemap file size and improves generation performance.","Cuando está habilitado, las etiquetas image:title e image:caption se eliminarán de todos los mapas del sitio XML. Reduce el tamaño del archivo del mapa del sitio y mejora el rendimiento de generación."
"Strip PageMap tags","Eliminar etiquetas PageMap"
"When enabled, PageMap tags will be removed from all XML sitemaps. PageMap is a deprecated Google feature rarely used in modern indexing. Enable to reduce sitemap complexity.","Cuando está habilitado, las etiquetas PageMap se eliminarán de todos los mapas del sitio XML. PageMap es una función obsoleta de Google que rara vez se usa en la indexación moderna. Habilitar para reducir la complejidad del mapa del sitio."
"Categories options","Opciones de categorías"
"Configure how category pages appear in XML sitemaps.","Configure cómo aparecen las páginas de categoría en los mapas del sitio XML."
"Frequency","Frecuencia"
"Suggest to search engines how frequently category pages change. This is a hint only and may not affect crawl frequency.","Sugiera a los motores de búsqueda con qué frecuencia cambian las páginas de categoría. Esto es solo una sugerencia y puede no afectar la frecuencia de rastreo."
"Priority","Prioridad"
"Suggest the relative importance of category pages. This is a hint only and may not affect ranking.","Sugiera la importancia relativa de las páginas de categoría. Esto es solo una sugerencia y puede no afectar el ranking."
"Valid values range from 0.0 (lowest) to 1.0 (highest)","Los valores válidos van de 0.0 (menor) a 1.0 (mayor)"
"Products options","Opciones de productos"
"Configure how product pages appear in XML sitemaps.","Configure cómo aparecen las páginas de producto en los mapas del sitio XML."
"Suggest to search engines how frequently product pages change. Use 'Daily' for dynamic inventory or pricing, 'Weekly' for more static products.","Sugiera a los motores de búsqueda con qué frecuencia cambian las páginas de producto. Use 'Diario' para inventario o precios dinámicos, 'Semanal' para productos más estáticos."
"Suggest the relative importance of product pages. For ecommerce sites, values between 0.6 and 0.8 are commonly used.","Sugiera la importancia relativa de las páginas de producto. Para sitios de comercio electrónico, se suelen usar valores entre 0.6 y 0.8."
"Valid values range from 0.0 to 1.0","Los valores válidos van de 0.0 a 1.0"
"Add images into sitemap","Agregar imágenes al mapa del sitio"
"Control product image inclusion in XML sitemaps. Adding images may improve visibility in image search results.","Controle la inclusión de imágenes del producto en los mapas del sitio XML. Agregar imágenes puede mejorar la visibilidad en los resultados de búsqueda de imágenes."
"Include disabled products","Incluir productos deshabilitados"
"When enabled, products that are disabled will still appear in XML sitemaps.","Cuando está habilitado, los productos que están deshabilitados seguirán apareciendo en los mapas del sitio XML."
"Include out of stock products","Incluir productos sin stock"
"When enabled, products that are out of stock will still appear in XML sitemaps.","Cuando está habilitado, los productos sin stock seguirán apareciendo en los mapas del sitio XML."
"CMS pages options","Opciones de páginas CMS"
"Configure how CMS pages appear in XML sitemaps.","Configure cómo aparecen las páginas CMS en los mapas del sitio XML."
"Suggest to search engines how frequently CMS pages change. Static pages typically use 'Monthly' or 'Yearly'.","Sugiera a los motores de búsqueda con qué frecuencia cambian las páginas CMS. Las páginas estáticas suelen usar 'Mensual' o 'Anual'."
"Suggest the relative importance of CMS pages. Home page typically uses 1.0, while utility pages use lower values.","Sugiera la importancia relativa de las páginas CMS. La página de inicio suele usar 1.0, mientras que las páginas de utilidad usan valores más bajos."
"Store URL options","Opciones de URL de tienda"
"Configure how store view URLs appear in XML sitemaps for multi-store setups.","Configure cómo aparecen las URLs de vista de tienda en los mapas del sitio XML para configuraciones de múltiples tiendas."
"Suggest to search engines how frequently store view homepages change. For multi-language sites with shared content, this should match your main homepage frequency.","Sugiera a los motores de búsqueda con qué frecuencia cambian las páginas de inicio de las vistas de tienda. Para sitios multilingüe con contenido compartido, esto debe coincidir con la frecuencia de su página de inicio principal."
"Suggest the relative importance of store view homepages. For multi-language sites, values should typically match your main homepage priority.","Sugiera la importancia relativa de las páginas de inicio de las vistas de tienda. Para sitios multilingüe, los valores generalmente deben coincidir con la prioridad de su página de inicio principal."
"Generation settings","Configuración de generación"
"Configure automated XML sitemap generation and error notifications.","Configure la generación automatizada del mapa del sitio XML y las notificaciones de error."
"Enable sitemap generation","Habilitar generación del mapa del sitio"
"When enabled, XML sitemaps will be automatically regenerated according to the schedule below. Recommended for sites with frequent content updates.","Cuando está habilitado, los mapas del sitio XML se regenerarán automáticamente según el programa a continuación. Recomendado para sitios con actualizaciones frecuentes de contenido."
"Start time","Hora de inicio"
"Set the time when sitemap generation should start. Choose a time of low site traffic to minimize performance impact.","Establezca la hora en que debe comenzar la generación del mapa del sitio. Elija un momento de bajo tráfico del sitio para minimizar el impacto en el rendimiento."
"Set how often sitemaps should be regenerated. More frequent updates are recommended for dynamic content but may increase server load.","Establezca con qué frecuencia se deben regenerar los mapas del sitio. Se recomiendan actualizaciones más frecuentes para contenido dinámico, pero pueden aumentar la carga del servidor."
"Error email recipient","Destinatario del correo electrónico de error"
"Email address that will receive notifications if sitemap generation fails. Leave empty to disable notifications.","Dirección de correo electrónico que recibirá notificaciones si la generación del mapa del sitio falla. Deje vacío para deshabilitar las notificaciones."
"Error email sender","Remitente del correo electrónico de error"
"Email sender identity for sitemap generation error notifications.","Identidad del remitente del correo electrónico para las notificaciones de error de generación del mapa del sitio."
"Error email template","Plantilla de correo electrónico de error"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida basándose en la reserva del tema cuando se selecciona la opción ""Predeterminado""."
"Sitemap file limits","Límites del archivo de mapa del sitio"
"Configure XML sitemap file size limits to ensure compatibility with search engines.","Configure los límites de tamaño del archivo del mapa del sitio XML para garantizar la compatibilidad con los motores de búsqueda."
"Maximum number of URLs per file","Número máximo de URLs por archivo"
"Maximum URLs per sitemap file. If exceeded, multiple sitemap files will be created automatically.","URLs máximas por archivo de mapa del sitio. Si se excede, se crearán automáticamente múltiples archivos de mapa del sitio."
"Search engines recommend no more than 50,000 URLs per file","Los motores de búsqueda recomiendan no más de 50.000 URLs por archivo"
"Maximum file size","Tamaño máximo de archivo"
"Maximum sitemap file size in bytes. If exceeded, multiple sitemap files will be created automatically.","Tamaño máximo del archivo de mapa del sitio en bytes. Si se excede, se crearán automáticamente múltiples archivos de mapa del sitio."
"Search engines recommend files under 50MB (52,428,800 bytes)","Los motores de búsqueda recomiendan archivos de menos de 50 MB (52.428.800 bytes)"
"Search engine submission settings","Configuración de envío a motores de búsqueda"
"Configure automatic submission of XML sitemaps to search engines via robots.txt.","Configure el envío automático de mapas del sitio XML a los motores de búsqueda a través de robots.txt."
"Enable submission to robots.txt","Habilitar envío a robots.txt"
"When enabled, sitemap locations will be automatically added to robots.txt file, helping search engines discover them. This is complementary to, not a replacement for, direct submission in search engine webmaster tools.","Cuando está habilitado, las ubicaciones del mapa del sitio se agregarán automáticamente al archivo robots.txt, ayudando a los motores de búsqueda a descubrirlos. Esto es complementario, no un reemplazo, del envío directo en las herramientas de administradores de sitios web de motores de búsqueda."
"Split sitemap by entity type","Dividir el sitemap por tipo de entidad"
"When enabled, separate sitemap files will be created per entity type (products, categories, pages, blogs, etc.). The main sitemap file becomes an index referencing all entity-specific files.","Cuando está habilitado, se crearán archivos de sitemap separados por tipo de entidad (productos, categorías, páginas, blogs, etc.). El archivo de sitemap principal se convierte en un índice que referencia todos los archivos específicos de cada entidad."
"Custom name for additional sitemap file","Nombre personalizado para el archivo de mapa del sitio adicional"
"When ""Split sitemap by entity type"" is enabled, URLs not covered by a dedicated entity file are written to <em>other-sitemap.xml</em> by default. Enter a custom prefix (e.g. <code>brands</code>) to name it <em>brands-sitemap.xml</em> instead. Leave empty to keep the default <em>other</em> prefix. Use lowercase letters, digits, and hyphens only.","Cuando la opción ""Split sitemap by entity type"" está habilitada, las URL no cubiertas por un archivo de entidad dedicado se escriben en <em>other-sitemap.xml</em> de forma predeterminada. Introduzca un prefijo personalizado (p. ej. <code>brands</code>) para nombrar el archivo <em>brands-sitemap.xml</em>. Déjelo vacío para mantener el prefijo predeterminado <em>other</em>. Use solo letras minúsculas, dígitos y guiones."
"Sort URLs by priority","Ordenar URLs por prioridad"
"When enabled, XML sitemap URLs are ordered from highest to lowest priority value (URLs with equal priority are ordered alphabetically). Helps crawlers reach your most important pages first under crawl-budget limits. When split by entity type is enabled, URLs are sorted within each entity file. Default order is unchanged when disabled.","Cuando está habilitado, las URLs del sitemap XML se ordenan del valor de prioridad más alto al más bajo (las URLs con la misma prioridad se ordenan alfabéticamente). Ayuda a los rastreadores a llegar primero a sus páginas más importantes cuando hay límites de presupuesto de rastreo. Cuando la división por tipo de entidad está habilitada, las URLs se ordenan dentro de cada archivo de entidad. El orden predeterminado no cambia cuando está deshabilitado."
"XML parse error","Error de análisis de XML"
"empty or non-absolute <loc>","<loc> vacío o no absoluto"
"placeholder <loc>","<loc> de marcador de posición"
"duplicate <loc>","<loc> duplicado"
"Valid sitemap XML","XML de sitemap válido"
"Valid sitemap URLs","URLs de sitemap válidas"
