"%1 service is not properly configured or available","%1-tjänsten är inte korrekt konfigurerad eller tillgänglig"
"Invalid AI request data","Ogiltig AI-förfrågningsdata"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Din Anthropic Claude API-nyckel som börjar med 'sk-ant-'. Denna nyckel är krypterad och lagrad säkert.<br>Hämta din API-nyckel från: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Standard Claude-modell"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Välj standard Claude-modell för AI-operationer. Olika modeller har varierande kapacitet och kostnader."
"Google Gemini Configuration","Google Gemini-konfiguration"
"Enable Gemini provider","Aktivera Gemini-leverantör"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Aktivera Google Gemini som en tillgänglig AI-leverantör. Kräver giltig API-nyckelkonfiguration."
"Gemini API key","Gemini API-nyckel"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Din Google AI Studio API-nyckel som börjar med 'AIza'. Denna nyckel är krypterad och lagrad säkert.<br>Hämta din API-nyckel från: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Standard Gemini-modell"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Välj standard Gemini-modell för AI-operationer. Olika modeller har varierande kapacitet och kostnader."
"Determine visitor's country, city, and timezone based on their IP address.","Bestäm besökarens land, stad och tidszon baserat på deras IP-adress."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Gratis <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind-konto</a> krävs för automatiska uppdateringar (kontrolleras varje vecka)."
"Used by:","Används av:"
message,meddelande
"Error downloading database: %1","Fel vid nedladdning av databas: %1"
"MaxMind credentials not configured","MaxMind-autentiseringsuppgifter ej konfigurerade"
"Failed to download remote hash","Misslyckades med att ladda ner fjärr-hash"
"Database is up to date","Databasen är uppdaterad"
"Failed to download and extract database","Misslyckades med att ladda ner och extrahera databas"
"Database updated successfully","Databasen uppdaterades framgångsrikt"
"Download failed: %1","Nedladdning misslyckades: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Detta tillägg använder GeoLite2-data skapad av MaxMind."
"Database available (auto-update enabled)","Databas tillgänglig (automatisk uppdatering aktiverad)"
"Database available (auto-update disabled)","Databas tillgänglig (automatisk uppdatering inaktiverad)"
Configure,Konfigurera
"Database not available","Databas ej tillgänglig"
"Database status:","Databasstatus:"
"Not available","Ej tillgänglig"
"Credentials configured. Click the button below to download the database.","Autentiseringsuppgifter konfigurerade. Klicka på knappen nedan för att ladda ner databasen."
"Download database","Ladda ner databas"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Ange MaxMind-autentiseringsuppgifter ovan för att aktivera automatiska nedladdningar, eller kör setup:upgrade för att installera den medföljande databasen."
"Available (auto-update disabled)","Tillgänglig (automatisk uppdatering inaktiverad)"
Version:,Version:
Size:,Storlek:
"Enter MaxMind credentials above to enable automatic weekly updates.","Ange MaxMind-autentiseringsuppgifter ovan för att aktivera automatiska veckovisa uppdateringar."
"Available (auto-update enabled)","Tillgänglig (automatisk uppdatering aktiverad)"
"Update database","Uppdatera databas"
"Database updated successfully.","Databasen uppdaterades framgångsrikt."
Notice,Meddelande
"Database is up to date.","Databasen är uppdaterad."
"An error occurred while downloading the database.","Ett fel uppstod vid nedladdning av databasen."
"IP Geolocation","IP-geolokalisering"
"Account ID","Konto-ID"
"License Key","Licensnyckel"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generera licensnyckel</a>"
Cron,Cron
Delete,Radera
"Delete items","Radera objekt"
"Are you sure you want to delete selected items?","Är du säker på att du vill radera valda objekt?"
ID,ID
Code,Kod
Messages,Meddelanden
Created,Skapad
Scheduled,Schemalagd
Finished,Avslutad
