"%1 service is not properly configured or available","Сервіс %1 не налаштований належним чином або недоступний"
"Invalid AI request data","Недійсні дані запиту ШІ"
"AI Provider Status","Статус постачальників ШІ"
"No AI providers are currently enabled. Please configure AI providers in %1.","Наразі не увімкнено жодного постачальника ШІ. Налаштуйте постачальників ШІ в %1."
"%1 of %2 providers enabled. You can manage providers in %3.","Увімкнено %1 з %2 постачальників. Ви можете керувати постачальниками в %3."
Enabled,Увімкнено
Disabled,Вимкнено
"All tests have been passed","Усі тести пройдено"
Module,Модуль
Test,Тест
"How to fix","Як виправити"
Warning,Попередження
Info,Інформація
Failed,Не вдалося
Today,Сьогодні
"Last 7 days","Останні 7 днів"
"Last 30 days","Останні 30 днів"
"Last 365 days","Останні 365 днів"
"Mirasvit Extensions Validator","Валідатор розширень Mirasvit"
"Mirasvit Menu","Меню Mirasvit"
Core,Core
Mirasvit,Mirasvit
Extensions,Розширення
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Розширення Mirasvit"
Developer,Розробник
"Menu Settings","Налаштування меню"
"Enable Mirasvit Menu","Увімкнути меню Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","Меню відображається, якщо у вас є принаймні два активних розширення Mirasvit."
"Additional CSS Styles","Додаткові CSS-стилі"
"AI Configuration","Конфігурація ШІ"
"Modules using AI","Модулі з використанням ШІ"
"Enable AI features","Увімкнути функції ШІ"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Глобально увімкніть або вимкніть усі функції на базі ШІ в розширеннях Mirasvit.<br>При вимкненні всі функції ШІ будуть недоступні незалежно від індивідуальних налаштувань постачальників або налаштувань ШІ в інших модулях."
"Default AI provider","Постачальник ШІ за замовчуванням"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Виберіть основного постачальника ШІ для використання, коли налаштовано кілька постачальників.<br>Він буде використовуватися як резервний постачальник для всіх операцій ШІ, коли не вказано конкретного постачальника."
"Request timeout","Тайм-аут запиту"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Максимальний час у секундах для очікування відповідей від постачальників ШІ.<br> Залиште порожнім, щоб вимкнути тайм-аут.<br> Це налаштування вплине на всі функції ШІ в інших модулях."
"Maximum tokens per request","Максимальна кількість токенів на запит"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Максимальна кількість токенів для генерації в одному запиті ШІ. Вищі значення дозволяють довші відповіді, але збільшують витрати.<br> Залиште порожнім, щоб вимкнути обмеження.<br> Різні постачальники та моделі мають власні ліміти.<br> Це налаштування вплине на всі функції ШІ в інших модулях."
"Default temperature","Температура за замовчуванням"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Контролює випадковість у відповідях ШІ. Нижчі значення дають більш послідовні результати, вищі — більш креативні.<br>Приклад:<br><code>0.1</code> - дуже послідовні, фактичні відповіді<br><code>0.7</code> - збалансована креативність та послідовність<br><code>1.0</code> - високо креативні та різноманітні відповіді.<br>Якщо порожньо, буде використано температуру за замовчуванням 0.7.<br>Це налаштування вплине на всі функції ШІ в інших модулях.<br>Деякі розширення можуть перевизначити це налаштування."
"Debug mode","Режим налагодження"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Увімкніть детальне журналювання запитів та відповідей ШІ для цілей налагодження.<br>Увага: це може записувати конфіденційні дані та впливати на продуктивність. Використовуйте лише для розробки."
"OpenAI Configuration","Конфігурація OpenAI"
"Enable OpenAI provider","Увімкнути постачальника OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Увімкніть OpenAI як доступного постачальника ШІ. Потрібна дійсна конфігурація API-ключа."
"OpenAI API key","API-ключ OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Ваш API-ключ OpenAI, що починається з 'sk-'. Цей ключ зашифрований та зберігається безпечно.<br>Отримайте свій API-ключ тут: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Модель OpenAI за замовчуванням"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Виберіть модель OpenAI за замовчуванням для операцій ШІ. Різні моделі мають різні можливості та вартість."
"Claude Configuration","Конфігурація Claude"
"Enable Claude provider","Увімкнути постачальника Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Увімкніть Anthropic Claude як доступного постачальника ШІ. Потрібна дійсна конфігурація API-ключа."
"Claude API key","API-ключ Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Ваш API-ключ Anthropic Claude, що починається з 'sk-ant-'. Цей ключ зашифрований та зберігається безпечно.<br>Отримайте свій API-ключ тут: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Модель Claude за замовчуванням"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Виберіть модель Claude за замовчуванням для операцій ШІ. Різні моделі мають різні можливості та вартість."
"Google Gemini Configuration","Конфігурація Google Gemini"
"Enable Gemini provider","Увімкнути постачальника Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Увімкніть Google Gemini як доступного постачальника ШІ. Потрібна дійсна конфігурація API-ключа."
"Gemini API key","API-ключ Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Ваш API-ключ Google AI Studio, що починається з 'AIza'. Цей ключ зашифрований та зберігається безпечно.<br>Отримайте свій API-ключ тут: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Модель Gemini за замовчуванням"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Виберіть модель Gemini за замовчуванням для операцій ШІ. Різні моделі мають різні можливості та вартість."
"Determine visitor's country, city, and timezone based on their IP address.","Визначає країну, місто та часовий пояс відвідувача за його IP-адресою."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Для автоматичних оновлень потрібен безкоштовний обліковий запис <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind</a> (перевірка щотижня)."
"Used by:","Використовується:"
message,повідомлення
"Error downloading database: %1","Помилка завантаження бази даних: %1"
"MaxMind credentials not configured","Облікові дані MaxMind не налаштовані"
"Failed to download remote hash","Не вдалося завантажити віддалений хеш"
"Database is up to date","База даних актуальна"
"Failed to download and extract database","Не вдалося завантажити та розпакувати базу даних"
"Database updated successfully","Базу даних успішно оновлено"
"Download failed: %1","Завантаження не вдалося: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Це розширення використовує дані GeoLite2, створені MaxMind."
"Database available (auto-update enabled)","База даних доступна (автооновлення увімкнено)"
"Database available (auto-update disabled)","База даних доступна (автооновлення вимкнено)"
Configure,Налаштувати
"Database not available","База даних недоступна"
"Database status:","Статус бази даних:"
"Not available","Недоступно"
"Credentials configured. Click the button below to download the database.","Облікові дані налаштовані. Натисніть кнопку нижче, щоб завантажити базу даних."
"Download database","Завантажити базу даних"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Введіть облікові дані MaxMind вище, щоб увімкнути автоматичне завантаження, або виконайте setup:upgrade для встановлення вбудованої бази даних."
"Available (auto-update disabled)","Доступно (автооновлення вимкнено)"
Version:,Версія:
Size:,Розмір:
"Enter MaxMind credentials above to enable automatic weekly updates.","Введіть облікові дані MaxMind вище, щоб увімкнути автоматичні щотижневі оновлення."
"Available (auto-update enabled)","Доступно (автооновлення увімкнено)"
"Update database","Оновити базу даних"
"Database updated successfully.","Базу даних успішно оновлено."
Notice,Повідомлення
"Database is up to date.","База даних актуальна."
"An error occurred while downloading the database.","Під час завантаження бази даних сталася помилка."
"IP Geolocation","Геолокація за IP"
"Account ID","ID облікового запису"
"License Key","Ліцензійний ключ"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Згенерувати ліцензійний ключ</a>"
Cron,Cron
Delete,Видалити
"Delete items","Видалити елементи"
"Are you sure you want to delete selected items?","Ви впевнені, що хочете видалити вибрані елементи?"
ID,ID
Code,Код
Messages,Повідомлення
Created,Створено
Scheduled,Заплановано
Finished,Завершено
