"%1 service is not properly configured or available","%1 paslauga netinkamai sukonfigūruota arba nepasiekiama"
"Invalid AI request data","Neteisingi AI užklausos duomenys"
"Request New Feature","Prašyti naujos funkcijos"
"Installed Extensions","Įdiegti plėtiniai"
"Check changes","Tikrinti pakeitimus"
"Validate All Extensions","Patvirtinti visus plėtinius"
"Suggest Improvement","Siūlyti patobulinimą"
"%1 (opens in new window)","%1 (atsidaro naujame lange)"
"More Details","Daugiau informacijos"
"Developer settings","Kūrėjo nustatymai"
"AI Provider Status","AI teikėjo būsena"
"No AI providers are currently enabled. Please configure AI providers in %1.","Šiuo metu nėra įjungtų AI teikėjų. Sukonfigūruokite AI teikėjus %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 iš %2 teikėjų įjungta. Galite valdyti teikėjus %3."
Enabled,Įjungta
Disabled,Išjungta
"All tests have been passed","Visi testai sėkmingai praeiti"
Module,Modulis
Test,Testas
"How to fix","Kaip pataisyti"
Warning,Įspėjimas
Info,Informacija
Failed,Nepavyko
Today,Šiandien
"Last 7 days","Paskutinės 7 dienos"
"Last 30 days","Paskutinės 30 dienų"
"Last 365 days","Paskutinės 365 dienos"
"Mirasvit Extensions Validator","Mirasvit plėtinių tikrintuvas"
"Mirasvit Menu","Mirasvit meniu"
Core,Core
Mirasvit,Mirasvit
Extensions,Plėtiniai
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit plėtiniai"
Developer,Kūrėjas
"Menu Settings","Meniu nustatymai"
"Enable Mirasvit Menu","Įjungti Mirasvit meniu"
"The menu is visible, if you have at least two active Mirasvit extensions.","Meniu matomas, jei turite bent du aktyvius Mirasvit plėtinius."
"Additional CSS Styles","Papildomi CSS stiliai"
"AI Configuration","AI konfigūracija"
"Modules using AI","Moduliai naudojantys AI"
"Enable AI features","Įjungti AI funkcijas"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Globaliai įjunkite arba išjunkite visas AI funkcijas Mirasvit plėtiniuose.<br>Kai išjungta, visos AI funkcijos bus neprieinamos, nepriklausomai nuo individualių teikėjo nustatymų ar AI nustatymų kituose moduliuose."
"Default AI provider","Numatytasis AI teikėjas"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Pasirinkite pagrindinį AI teikėją, kuris bus naudojamas, kai sukonfigūruota keletas teikėjų.<br>Tai bus naudojama kaip atsarginis teikėjas visoms AI operacijoms, kai neprašomas konkretus teikėjas."
"Request timeout","Užklausos skirtasis laikas"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maksimalus laikas sekundėmis laukti AI teikėjo atsakymų.<br> Palikite tuščią, kad išjungtumėte skirtąjį laiką.<br> Šis nustatymas paveiks visas AI funkcijas kituose moduliuose."
"Maximum tokens per request","Maksimalus žetonų skaičius užklausai"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maksimalus žetonų skaičius, generuojamas vienoje AI užklausoje. Didesnės reikšmės leidžia ilgesnius atsakymus, bet padidina kaštus.<br> Palikite tuščią, kad išjungtumėte apribojimą.<br> Skirtingi teikėjai ir modeliai turi savo ribas.<br> Šis nustatymas paveiks visas AI funkcijas kituose moduliuose."
"Default temperature","Numatytoji temperatūra"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Valdo atsitiktinumą AI atsakymuose. Mažesnės reikšmės duoda nuoseklesnius rezultatus, didesnės - kūrybiškesnius.<br>Pavyzdys:<br><code>0.1</code> - labai nuoseklūs, faktiniai atsakymai<br><code>0.7</code> - subalansuota kūrybiškumas ir nuoseklumas<br><code>1.0</code> - labai kūrybiški ir įvairūs atsakymai.<br>Jei tuščia, bus naudojama numatytoji temperatūra 0.7.<br>Šis nustatymas paveiks visas AI funkcijas kituose moduliuose.<br>Kai kurie plėtiniai gali perrašyti šį nustatymą."
"Debug mode","Derinimo režimas"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Įjunkite detalų AI užklausų ir atsakymų registravimą derinimo tikslais.<br>Įspėjimas: Tai gali registruoti jautrius duomenis ir paveikti našumą. Naudokite tik kūrimui."
"OpenAI Configuration","OpenAI konfigūracija"
"Enable OpenAI provider","Įjungti OpenAI teikėją"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Įjunkite OpenAI kaip prieinamą AI teikėją. Reikalinga galiojanti API rakto konfigūracija."
"OpenAI API key","OpenAI API raktas"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Jūsų OpenAI API raktas, prasidedantis 'sk-'. Šis raktas yra užšifruotas ir saugiai saugomas.<br>Gaukite savo API raktą iš: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Numatytasis OpenAI modelis"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Pasirinkite numatytąjį OpenAI modelį AI operacijoms. Skirtingi modeliai turi skirtingas galimybes ir kainas."
"Claude Configuration","Claude konfigūracija"
"Enable Claude provider","Įjungti Claude teikėją"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Įjunkite Anthropic Claude kaip prieinamą AI teikėją. Reikalinga galiojanti API rakto konfigūracija."
"Claude API key","Claude API raktas"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Jūsų Anthropic Claude API raktas, prasidedantis 'sk-ant-'. Šis raktas yra užšifruotas ir saugiai saugomas.<br>Gaukite savo API raktą iš: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Numatytasis Claude modelis"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Pasirinkite numatytąjį Claude modelį AI operacijoms. Skirtingi modeliai turi skirtingas galimybes ir kainas."
"Google Gemini Configuration","Google Gemini konfigūracija"
"Enable Gemini provider","Įjungti Gemini teikėją"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Įjunkite Google Gemini kaip prieinamą AI teikėją. Reikalinga galiojanti API rakto konfigūracija."
"Gemini API key","Gemini API raktas"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Jūsų Google AI Studio API raktas, prasidedantis 'AIza'. Šis raktas yra užšifruotas ir saugiai saugomas.<br>Gaukite savo API raktą iš: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Numatytasis Gemini modelis"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Pasirinkite numatytąjį Gemini modelį AI operacijoms. Skirtingi modeliai turi skirtingas galimybes ir kainas."
"Determine visitor's country, city, and timezone based on their IP address.","Nustatykite lankytojo šalį, miestą ir laiko juostą pagal jo IP adresą."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Automatiniams atnaujinimams reikalinga nemokama <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind paskyra</a> (tikrinama kas savaitę)."
"Used by:","Naudoja:"
message,pranešimas
"Error downloading database: %1","Klaida atsisiunčiant duomenų bazę: %1"
"MaxMind credentials not configured","MaxMind kredencialai nesukonfigūruoti"
"Failed to download remote hash","Nepavyko atsisiųsti nuotolinio hash"
"Database is up to date","Duomenų bazė yra atnaujinta"
"Failed to download and extract database","Nepavyko atsisiųsti ir išskleisti duomenų bazės"
"Database updated successfully","Duomenų bazė sėkmingai atnaujinta"
"Download failed: %1","Atsisiuntimas nepavyko: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Šis plėtinys naudoja GeoLite2 duomenis, sukurtus MaxMind."
"Database available (auto-update enabled)","Duomenų bazė prieinama (automatinis atnaujinimas įjungtas)"
"Database available (auto-update disabled)","Duomenų bazė prieinama (automatinis atnaujinimas išjungtas)"
Configure,Konfigūruoti
"Database not available","Duomenų bazė nepasiekiama"
"Database status:","Duomenų bazės būsena:"
"Not available","Nepasiekiama"
"Credentials configured. Click the button below to download the database.","Kredencialai sukonfigūruoti. Spustelėkite mygtuką žemiau, kad atsisiųstumėte duomenų bazę."
"Download database","Atsisiųsti duomenų bazę"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Įveskite MaxMind kredencialus aukščiau, kad įjungtumėte automatinius atsisiuntimus, arba paleiskite setup:upgrade, kad įdiegtumėte pridėtą duomenų bazę."
"Available (auto-update disabled)","Prieinama (automatinis atnaujinimas išjungtas)"
Version:,Versija:
Size:,Dydis:
"Enter MaxMind credentials above to enable automatic weekly updates.","Įveskite MaxMind kredencialus aukščiau, kad įjungtumėte automatinius savaitinius atnaujinimus."
"Available (auto-update enabled)","Prieinama (automatinis atnaujinimas įjungtas)"
"Update database","Atnaujinti duomenų bazę"
"Database updated successfully.","Duomenų bazė sėkmingai atnaujinta."
Notice,Pranešimas
"Database is up to date.","Duomenų bazė yra atnaujinta."
"An error occurred while downloading the database.","Atsisiunčiant duomenų bazę įvyko klaida."
"IP Geolocation","IP geolokacija"
"Account ID","Paskyros ID"
"License Key","Licencijos raktas"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generuoti licencijos raktą</a>"
Cron,Cron
Delete,Ištrinti
"Delete items","Ištrinti elementus"
"Are you sure you want to delete selected items?","Ar tikrai norite ištrinti pasirinktus elementus?"
ID,ID
Code,Kodas
Messages,Pranešimai
Created,Sukurta
Scheduled,Suplanuota
Finished,Baigta
