"%1 service is not properly configured or available","Teenus %1 pole õigesti seadistatud või pole saadaval"
"Invalid AI request data","Vigased AI päringu andmed"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Teie OpenAI API võti, mis algab 'sk-'. See võti on krüpteeritud ja turvaliselt salvestatud.<br>Hankige oma API võti siit: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Vaikimisi OpenAI mudel"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Valige vaikimisi OpenAI mudel AI toimingute jaoks. Erinevatel mudelitel on erinevad võimalused ja kulud."
"Claude Configuration","Claude konfiguratsioon"
"Enable Claude provider","Luba Claude pakkuja"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Lubab Anthropic Claude saadaval oleva AI pakkujana. Nõuab kehtivat API võtme konfiguratsiooni."
"Claude API key","Claude API võti"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Teie Anthropic Claude API võti, mis algab 'sk-ant-'. See võti on krüpteeritud ja turvaliselt salvestatud.<br>Hankige oma API võti siit: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Vaikimisi Claude mudel"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Valige vaikimisi Claude mudel AI toimingute jaoks. Erinevatel mudelitel on erinevad võimalused ja kulud."
"Google Gemini Configuration","Google Gemini konfiguratsioon"
"Enable Gemini provider","Luba Gemini pakkuja"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Lubab Google Gemini saadaval oleva AI pakkujana. Nõuab kehtivat API võtme konfiguratsiooni."
"Gemini API key","Gemini API võti"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Teie Google AI Studio API võti, mis algab 'AIza'. See võti on krüpteeritud ja turvaliselt salvestatud.<br>Hankige oma API võti siit: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Vaikimisi Gemini mudel"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Valige vaikimisi Gemini mudel AI toimingute jaoks. Erinevatel mudelitel on erinevad võimalused ja kulud."
"Determine visitor's country, city, and timezone based on their IP address.","Määrake külastaja riik, linn ja ajavöönd tema IP-aadressi põhjal."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Automaatsete värskenduste jaoks on vajalik tasuta <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind konto</a> (kontrollitakse iganädalaselt)."
"Used by:","Kasutaja:"
message,sõnum
"Error downloading database: %1","Viga andmebaasi allalaadimisel: %1"
"MaxMind credentials not configured","MaxMindi mandaadid pole konfigureeritud"
"Failed to download remote hash","Kaug-hashi allalaadimine ebaõnnestus"
"Database is up to date","Andmebaas on ajakohane"
"Failed to download and extract database","Andmebaasi allalaadimine ja lahtipakkimine ebaõnnestus"
"Database updated successfully","Andmebaas edukalt värskendatud"
"Download failed: %1","Allalaadimine ebaõnnestus: %1"
"This extension uses GeoLite2 Data created by MaxMind.","See laiendus kasutab MaxMindi loodud GeoLite2 andmeid."
"Database available (auto-update enabled)","Andmebaas saadaval (automaatne värskendus lubatud)"
"Database available (auto-update disabled)","Andmebaas saadaval (automaatne värskendus keelatud)"
Configure,Konfigureeri
"Database not available","Andmebaas pole saadaval"
"Database status:","Andmebaasi olek:"
"Not available","Pole saadaval"
"Credentials configured. Click the button below to download the database.","Mandaadid konfigureeritud. Andmebaasi allalaadimiseks klõpsake alloleval nupul."
"Download database","Laadi andmebaas alla"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Sisestage ülal MaxMindi mandaadid automaatsete allalaadimiste lubamiseks või käivitage setup:upgrade komplektis oleva andmebaasi installimiseks."
"Available (auto-update disabled)","Saadaval (automaatne värskendus keelatud)"
Version:,Versioon:
Size:,Suurus:
"Enter MaxMind credentials above to enable automatic weekly updates.","Sisestage ülal MaxMindi mandaadid automaatsete iganädalaste värskenduste lubamiseks."
"Available (auto-update enabled)","Saadaval (automaatne värskendus lubatud)"
"Update database","Värskenda andmebaasi"
"Database updated successfully.","Andmebaas edukalt värskendatud."
Notice,Teade
"Database is up to date.","Andmebaas on ajakohane."
"An error occurred while downloading the database.","Andmebaasi allalaadimisel ilmnes viga."
"IP Geolocation","IP geograafiline asukoht"
"Account ID","Konto ID"
"License Key","Litsentsivõti"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Loo litsentsivõti</a>"
Cron,Cron
Delete,Kustuta
"Delete items","Kustuta elemendid"
"Are you sure you want to delete selected items?","Kas olete kindel, et soovite valitud elemendid kustutada?"
ID,ID
Code,Kood
Messages,Sõnumid
Created,Loodud
Scheduled,Ajastatud
Finished,Lõpetatud
