"%1 service is not properly configured or available","%1 service is not properly configured or available"
"Available (auto-update disabled)","Available (auto-update disabled)"
Version:,Version:
Size:,Size:
"Enter MaxMind credentials above to enable automatic weekly updates.","Enter MaxMind credentials above to enable automatic weekly updates."
"Available (auto-update enabled)","Available (auto-update enabled)"
"Update database","Update database"
"Database updated successfully.","Database updated successfully."
Notice,Notice
"Database is up to date.","Database is up to date."
"An error occurred while downloading the database.","An error occurred while downloading the database."
"IP Geolocation","IP Geolocation"
"Account ID","Account ID"
"License Key","Licence Key"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate licence key</a>"
Cron,Cron
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
ID,ID
Code,Code
Messages,Messages
Created,Created
Scheduled,Scheduled
Finished,Finished
