"%1 service is not properly configured or available","Η υπηρεσία %1 δεν έχει ρυθμιστεί σωστά ή δεν είναι διαθέσιμη"
"Cron jobs [%1] are not running. Please check the table %2 for frozen jobs and remove them.","Οι εργασίες cron [%1] δεν εκτελούνται. Ελέγξτε τον πίνακα %2 για παγωμένες εργασίες και αφαιρέστε τις."
"Remove","Αφαίρεση"
"Error","Σφάλμα"
"Missed","Χαμένο"
"Running","Εκτελείται"
"Pending","Σε αναμονή"
"Success","Επιτυχία"
"Server gmt time","Ώρα GMT διακομιστή"
"Last job","Τελευταία εργασία"
"Executed","Εκτελέστηκε"
"none","κανένα"
"Cron setup","Ρύθμιση Cron"
"Cron Jobs","Εργασίες Cron"
"No AI-enabled modules are currently active.","Δεν υπάρχουν ενεργές μονάδες AI αυτή τη στιγμή."
"%1 module(s) using AI functionality:","%1 μονάδα(ες) χρησιμοποιούν λειτουργικότητα AI:"
"Provider:","Πάροχος:"
"ai_provider","ai_provider"
"You have the latest version","Έχετε την πιο πρόσφατη έκδοση"
"New version %1 is available","Νέα έκδοση %1 είναι διαθέσιμη"
"View %1 details (opens in new window)","Προβολή λεπτομερειών %1 (ανοίγει σε νέο παράθυρο)"
"Details","Λεπτομέρειες"
"View %1 user guide (opens in new window)","Προβολή οδηγού χρήστη %1 (ανοίγει σε νέο παράθυρο)"
"User Guide","Οδηγός χρήστη"
"View %1 changelog (opens in new window)","Προβολή αρχείου αλλαγών %1 (ανοίγει σε νέο παράθυρο)"
"Changelog","Αρχείο αλλαγών"
"Request new feature for %1 (opens in new window)","Αίτημα νέας λειτουργίας για %1 (ανοίγει σε νέο παράθυρο)"
"Request New Feature","Αίτημα νέας λειτουργίας"
"Installed Extensions","Εγκατεστημένες επεκτάσεις"
"Check changes","Έλεγχος αλλαγών"
"Validate All Extensions","Επικύρωση όλων των επεκτάσεων"
"Suggest Improvement","Πρόταση βελτίωσης"
"%1 (opens in new window)","%1 (ανοίγει σε νέο παράθυρο)"
"More Details","Περισσότερες λεπτομέρειες"
"Developer settings","Ρυθμίσεις προγραμματιστή"
"AI Provider Status","Κατάσταση παρόχου AI"
"No AI providers are currently enabled. Please configure AI providers in %1.","Δεν υπάρχουν ενεργοποιημένοι πάροχοι AI αυτή τη στιγμή. Ρυθμίστε τους παρόχους AI στο %1."
"%1 of %2 providers enabled. You can manage providers in %3.","%1 από %2 πάροχοι ενεργοποιημένοι. Μπορείτε να διαχειριστείτε τους παρόχους στο %3."
"Enabled","Ενεργοποιημένο"
"Disabled","Απενεργοποιημένο"
"All tests have been passed","Όλες οι δοκιμές πέρασαν"
"Module","Μονάδα"
"Test","Δοκιμή"
"How to fix","Πώς να διορθωθεί"
"Warning","Προειδοποίηση"
"Info","Πληροφορίες"
"Failed","Απέτυχε"
"Today","Σήμερα"
"Last 7 days","Τελευταίες 7 ημέρες"
"Last 30 days","Τελευταίες 30 ημέρες"
"Last 365 days","Τελευταίες 365 ημέρες"
"Mirasvit Extensions Validator","Επικυρωτής επεκτάσεων Mirasvit"
"Mirasvit Menu","Μενού Mirasvit"
"Core","Core"
"Mirasvit","Mirasvit"
"Extensions","Επεκτάσεις"
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Επεκτάσεις Mirasvit"
"Developer","Προγραμματιστής"
"Menu Settings","Ρυθμίσεις μενού"
"Enable Mirasvit Menu","Ενεργοποίηση μενού Mirasvit"
"The menu is visible, if you have at least two active Mirasvit extensions.","Το μενού είναι ορατό αν έχετε τουλάχιστον δύο ενεργές επεκτάσεις Mirasvit."
"Additional CSS Styles","Επιπλέον στυλ CSS"
"AI Configuration","Διαμόρφωση AI"
"Modules using AI","Μονάδες που χρησιμοποιούν AI"
"Enable AI features","Ενεργοποίηση λειτουργιών AI"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Ενεργοποιήστε ή απενεργοποιήστε καθολικά όλες τις λειτουργίες AI στις επεκτάσεις Mirasvit.<br>Όταν απενεργοποιηθεί, όλη η λειτουργικότητα AI θα είναι μη διαθέσιμη ανεξάρτητα από τις ρυθμίσεις μεμονωμένου παρόχου ή τις ρυθμίσεις AI σε άλλες μονάδες."
"Default AI provider","Προεπιλεγμένος πάροχος AI"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Επιλέξτε τον κύριο πάροχο AI για χρήση όταν έχουν ρυθμιστεί πολλοί πάροχοι.<br>Θα χρησιμοποιηθεί ως εφεδρικός πάροχος για όλες τις λειτουργίες AI όταν δεν ζητείται συγκεκριμένος πάροχος."
"Request timeout","Χρονικό όριο αιτήματος"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Μέγιστος χρόνος σε δευτερόλεπτα για αναμονή απαντήσεων παρόχου AI.<br> Αφήστε κενό για απενεργοποίηση χρονικού ορίου.<br> Αυτή η ρύθμιση θα επηρεάσει όλες τις λειτουργίες AI σε άλλες μονάδες."
"Maximum tokens per request","Μέγιστα tokens ανά αίτημα"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Μέγιστος αριθμός tokens για δημιουργία σε ένα μόνο αίτημα AI. Υψηλότερες τιμές επιτρέπουν μεγαλύτερες απαντήσεις αλλά αυξάνουν το κόστος.<br> Αφήστε κενό για απενεργοποίηση περιορισμού.<br> Διαφορετικοί πάροχοι και μοντέλα έχουν τα δικά τους όρια.<br> Αυτή η ρύθμιση θα επηρεάσει όλες τις λειτουργίες AI σε άλλες μονάδες."
"Default temperature","Προεπιλεγμένη θερμοκρασία"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Ελέγχει την τυχαιότητα στις απαντήσεις AI. Χαμηλότερες τιμές παράγουν πιο συνεπή αποτελέσματα, υψηλότερες τιμές πιο δημιουργικά.<br>Παράδειγμα:<br><code>0.1</code> - πολύ συνεπείς, πραγματικές απαντήσεις<br><code>0.7</code> - ισορροπημένη δημιουργικότητα και συνέπεια<br><code>1.0</code> - πολύ δημιουργικές και ποικίλες απαντήσεις.<br>Αν είναι κενό, θα χρησιμοποιηθεί η προεπιλεγμένη θερμοκρασία 0.7.<br>Αυτή η ρύθμιση θα επηρεάσει όλες τις λειτουργίες AI σε άλλες μονάδες.<br>Ορισμένες επεκτάσεις μπορεί να παρακάμψουν αυτή τη ρύθμιση."
"Debug mode","Λειτουργία εντοπισμού σφαλμάτων"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Ενεργοποιήστε λεπτομερή καταγραφή αιτημάτων και απαντήσεων AI για σκοπούς εντοπισμού σφαλμάτων.<br>Προειδοποίηση: Αυτό μπορεί να καταγράψει ευαίσθητα δεδομένα και να επηρεάσει την απόδοση. Χρησιμοποιήστε μόνο για ανάπτυξη."
"OpenAI Configuration","Διαμόρφωση OpenAI"
"Enable OpenAI provider","Ενεργοποίηση παρόχου OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Ενεργοποιήστε το OpenAI ως διαθέσιμο πάροχο AI. Απαιτεί έγκυρη διαμόρφωση κλειδιού API."
"OpenAI API key","Κλειδί API OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Το κλειδί API OpenAI σας που ξεκινά με 'sk-'. Αυτό το κλειδί είναι κρυπτογραφημένο και αποθηκευμένο με ασφάλεια.<br>Αποκτήστε το κλειδί API από: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Προεπιλεγμένο μοντέλο OpenAI"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Επιλέξτε το προεπιλεγμένο μοντέλο OpenAI για λειτουργίες AI. Διαφορετικά μοντέλα έχουν διαφορετικές δυνατότητες και κόστη."
"Claude Configuration","Διαμόρφωση Claude"
"Enable Claude provider","Ενεργοποίηση παρόχου Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Ενεργοποιήστε το Anthropic Claude ως διαθέσιμο πάροχο AI. Απαιτεί έγκυρη διαμόρφωση κλειδιού API."
"Claude API key","Κλειδί API Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Το κλειδί API Anthropic Claude σας που ξεκινά με 'sk-ant-'. Αυτό το κλειδί είναι κρυπτογραφημένο και αποθηκευμένο με ασφάλεια.<br>Αποκτήστε το κλειδί API από: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Προεπιλεγμένο μοντέλο Claude"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Επιλέξτε το προεπιλεγμένο μοντέλο Claude για λειτουργίες AI. Διαφορετικά μοντέλα έχουν διαφορετικές δυνατότητες και κόστη."
"Google Gemini Configuration","Διαμόρφωση Google Gemini"
"Enable Gemini provider","Ενεργοποίηση παρόχου Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Ενεργοποιήστε το Google Gemini ως διαθέσιμο πάροχο AI. Απαιτεί έγκυρη διαμόρφωση κλειδιού API."
"Gemini API key","Κλειδί API Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Το κλειδί API Google AI Studio σας που ξεκινά με 'AIza'. Αυτό το κλειδί είναι κρυπτογραφημένο και αποθηκευμένο με ασφάλεια.<br>Αποκτήστε το κλειδί API από: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Προεπιλεγμένο μοντέλο Gemini"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Επιλέξτε το προεπιλεγμένο μοντέλο Gemini για λειτουργίες AI. Διαφορετικά μοντέλα έχουν διαφορετικές δυνατότητες και κόστη."
"Determine visitor's country, city, and timezone based on their IP address.","Προσδιορίστε τη χώρα, την πόλη και τη ζώνη ώρας του επισκέπτη με βάση τη διεύθυνση IP του."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Απαιτείται δωρεάν λογαριασμός <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind</a> για αυτόματες ενημερώσεις (εβδομαδιαίος έλεγχος)."
"Used by:","Χρησιμοποιείται από:"
message,μήνυμα
"Error downloading database: %1","Σφάλμα λήψης βάσης δεδομένων: %1"
"MaxMind credentials not configured","Τα διαπιστευτήρια MaxMind δεν έχουν ρυθμιστεί"
"Failed to download remote hash","Αποτυχία λήψης απομακρυσμένου hash"
"Database is up to date","Η βάση δεδομένων είναι ενημερωμένη"
"Failed to download and extract database","Αποτυχία λήψης και εξαγωγής βάσης δεδομένων"
"Database updated successfully","Η βάση δεδομένων ενημερώθηκε επιτυχώς"
"Download failed: %1","Η λήψη απέτυχε: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Αυτή η επέκταση χρησιμοποιεί δεδομένα GeoLite2 που δημιουργήθηκαν από τη MaxMind."
"Database available (auto-update enabled)","Βάση δεδομένων διαθέσιμη (αυτόματη ενημέρωση ενεργοποιημένη)"
"Database available (auto-update disabled)","Βάση δεδομένων διαθέσιμη (αυτόματη ενημέρωση απενεργοποιημένη)"
Configure,Ρύθμιση
"Database not available","Η βάση δεδομένων δεν είναι διαθέσιμη"
"Database status:","Κατάσταση βάσης δεδομένων:"
"Not available","Μη διαθέσιμο"
"Credentials configured. Click the button below to download the database.","Τα διαπιστευτήρια ρυθμίστηκαν. Κάντε κλικ στο παρακάτω κουμπί για λήψη της βάσης δεδομένων."
"Download database","Λήψη βάσης δεδομένων"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Εισαγάγετε τα διαπιστευτήρια MaxMind παραπάνω για αυτόματες λήψεις, ή εκτελέστε setup:upgrade για να εγκαταστήσετε τη συνοδευτική βάση δεδομένων."
"Available (auto-update disabled)","Διαθέσιμο (αυτόματη ενημέρωση απενεργοποιημένη)"
Version:,Έκδοση:
Size:,Μέγεθος:
"Enter MaxMind credentials above to enable automatic weekly updates.","Εισαγάγετε τα διαπιστευτήρια MaxMind παραπάνω για αυτόματες εβδομαδιαίες ενημερώσεις."
"Available (auto-update enabled)","Διαθέσιμο (αυτόματη ενημέρωση ενεργοποιημένη)"
"Update database","Ενημέρωση βάσης δεδομένων"
"Database updated successfully.","Η βάση δεδομένων ενημερώθηκε επιτυχώς."
Notice,Ειδοποίηση
"Database is up to date.","Η βάση δεδομένων είναι ενημερωμένη."
"An error occurred while downloading the database.","Παρουσιάστηκε σφάλμα κατά τη λήψη της βάσης δεδομένων."
"IP Geolocation","Γεωγραφική εντόπιση IP"
"Account ID","Αναγνωριστικό λογαριασμού"
"License Key","Κλειδί άδειας"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Δημιουργία κλειδιού άδειας</a>"
Cron,Cron
Delete,Διαγραφή
"Delete items","Διαγραφή στοιχείων"
"Are you sure you want to delete selected items?","Είστε βέβαιοι ότι θέλετε να διαγράψετε τα επιλεγμένα στοιχεία;"
ID,ID
Code,Κωδικός
Messages,Μηνύματα
Created,Δημιουργήθηκε
Scheduled,Προγραμματισμένο
Finished,Ολοκληρώθηκε
