"%1 service is not properly configured or available","%1-tjenesten er ikke korrekt konfigureret eller tilgængelig"
"Invalid AI request data","Ugyldige AI-anmodningsdata"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Aktiver eller deaktiver globalt alle AI-drevne funktioner på tværs af Mirasvit-udvidelser.<br>Når deaktiveret, vil al AI-funktionalitet være utilgængelig uanset individuelle udbyderindstillinger eller AI-indstillinger i andre moduler."
"Default AI provider","Standard AI-udbyder"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Vælg den primære AI-udbyder, der skal bruges, når flere udbydere er konfigureret.<br>Dette vil blive brugt som fallback-udbyder for alle AI-operationer, når ingen specifik udbyder anmodes."
"Request timeout","Anmodningstimeout"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maksimal tid i sekunder at vente på AI-udbydersvar.<br> Lad være tom for at deaktivere timeout.<br> Denne indstilling påvirker alle AI-funktioner i andre moduler."
"Maximum tokens per request","Maksimalt antal tokens pr. anmodning"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maksimalt antal tokens at generere i en enkelt AI-anmodning. Højere værdier tillader længere svar, men øger omkostningerne.<br> Lad være tom for at deaktivere begrænsning.<br> Forskellige udbydere og modeller har deres egne grænser.<br> Denne indstilling påvirker alle AI-funktioner i andre moduler."
"Default temperature","Standardtemperatur"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Styrer tilfældighed i AI-svar. Lavere værdier producerer mere konsistente resultater, højere værdier mere kreative.<br>Eksempel:<br><code>0.1</code> - meget konsistente, faktuelle svar<br><code>0.7</code> - balanceret kreativitet og konsistens<br><code>1.0</code> - meget kreative og varierede svar.<br>Hvis tom, bruges standardtemperaturen 0.7.<br>Denne indstilling påvirker alle AI-funktioner i andre moduler.<br>Nogle udvidelser kan tilsidesætte denne indstilling."
"Debug mode","Fejlfindingstilstand"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Aktiver detaljeret logning af AI-anmodninger og -svar til fejlfindingsformål.<br>Advarsel: Dette kan logge følsomme data og påvirke ydeevnen. Brug kun til udvikling."
"OpenAI Configuration","OpenAI-konfiguration"
"Enable OpenAI provider","Aktiver OpenAI-udbyder"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Aktiver OpenAI som en tilgængelig AI-udbyder. Kræver gyldig API-nøglekonfiguration."
"OpenAI API key","OpenAI API-nøgle"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Din OpenAI API-nøgle, der starter med 'sk-'. Denne nøgle er krypteret og gemt sikkert.<br>Få din API-nøgle fra: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Standard OpenAI-model"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Vælg standard OpenAI-modellen til AI-operationer. Forskellige modeller har varierende kapaciteter og omkostninger."
"Claude Configuration","Claude-konfiguration"
"Enable Claude provider","Aktiver Claude-udbyder"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Aktiver Anthropic Claude som en tilgængelig AI-udbyder. Kræver gyldig API-nøglekonfiguration."
"Claude API key","Claude API-nøgle"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Din Anthropic Claude API-nøgle, der starter med 'sk-ant-'. Denne nøgle er krypteret og gemt sikkert.<br>Få din API-nøgle fra: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Standard Claude-model"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Vælg standard Claude-modellen til AI-operationer. Forskellige modeller har varierende kapaciteter og omkostninger."
"Google Gemini Configuration","Google Gemini-konfiguration"
"Enable Gemini provider","Aktiver Gemini-udbyder"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Aktiver Google Gemini som en tilgængelig AI-udbyder. Kræver gyldig API-nøglekonfiguration."
"Gemini API key","Gemini API-nøgle"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Din Google AI Studio API-nøgle, der starter med 'AIza'. Denne nøgle er krypteret og gemt sikkert.<br>Få din API-nøgle fra: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Standard Gemini-model"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Vælg standard Gemini-modellen til AI-operationer. Forskellige modeller har varierende kapaciteter og omkostninger."
"Determine visitor's country, city, and timezone based on their IP address.","Bestem besøgendes land, by og tidszone baseret på deres IP-adresse."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Gratis <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind-konto</a> kræves til automatiske opdateringer (tjekkes ugentligt)."
"Used by:","Brugt af:"
message,besked
"Error downloading database: %1","Fejl ved download af database: %1"
"MaxMind credentials not configured","MaxMind-legitimationsoplysninger er ikke konfigureret"
"Failed to download remote hash","Kunne ikke downloade fjern-hash"
"Database is up to date","Databasen er opdateret"
"Failed to download and extract database","Kunne ikke downloade og udpakke database"
"Database updated successfully","Database opdateret"
"Download failed: %1","Download mislykkedes: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Denne udvidelse bruger GeoLite2-data oprettet af MaxMind."
"Database available (auto-update enabled)","Database tilgængelig (automatisk opdatering aktiveret)"
"Database available (auto-update disabled)","Database tilgængelig (automatisk opdatering deaktiveret)"
Configure,Konfigurer
"Database not available","Database ikke tilgængelig"
"Database status:","Databasestatus:"
"Not available","Ikke tilgængelig"
"Credentials configured. Click the button below to download the database.","Legitimationsoplysninger konfigureret. Klik på knappen nedenfor for at downloade databasen."
"Download database","Download database"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Indtast MaxMind-legitimationsoplysninger ovenfor for at aktivere automatiske downloads, eller kør setup:upgrade for at installere den medfølgende database."
"Available (auto-update disabled)","Tilgængelig (automatisk opdatering deaktiveret)"
Version:,Version:
Size:,Størrelse:
"Enter MaxMind credentials above to enable automatic weekly updates.","Indtast MaxMind-legitimationsoplysninger ovenfor for at aktivere automatiske ugentlige opdateringer."
"Available (auto-update enabled)","Tilgængelig (automatisk opdatering aktiveret)"
"Update database","Opdater database"
"Database updated successfully.","Database opdateret."
Notice,Bemærkning
"Database is up to date.","Databasen er opdateret."
"An error occurred while downloading the database.","Der opstod en fejl under download af databasen."
"IP Geolocation","IP-geolokation"
"Account ID","Konto-ID"
"License Key","Licensnøgle"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generer licensnøgle</a>"
Cron,Cron
Delete,Slet
"Delete items","Slet elementer"
"Are you sure you want to delete selected items?","Er du sikker på, at du vil slette de valgte elementer?"
ID,ID
Code,Kode
Messages,Beskeder
Created,Oprettet
Scheduled,Planlagt
Finished,Afsluttet
