"%1 service is not properly configured or available","Le service %1 n'est pas correctement configuré ou disponible"
"Error downloading database: %1","Erreur lors du téléchargement de la base de données : %1"
"MaxMind credentials not configured","Identifiants MaxMind non configurés"
"Failed to download remote hash","Échec du téléchargement du hash distant"
"Database is up to date","La base de données est à jour"
"Failed to download and extract database","Échec du téléchargement et de l'extraction de la base de données"
"Database updated successfully","Base de données mise à jour avec succès"
"Download failed: %1","Échec du téléchargement : %1"
"This extension uses GeoLite2 Data created by MaxMind.","Cette extension utilise les données GeoLite2 créées par MaxMind."
"Database available (auto-update enabled)","Base de données disponible (mise à jour automatique activée)"
"Database available (auto-update disabled)","Base de données disponible (mise à jour automatique désactivée)"
Configure,Configurer
"Database not available","Base de données non disponible"
"Database status:","État de la base de données :"
"Not available","Non disponible"
"Credentials configured. Click the button below to download the database.","Identifiants configurés. Cliquez sur le bouton ci-dessous pour télécharger la base de données."
"Download database","Télécharger la base de données"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Entrez les identifiants MaxMind ci-dessus pour activer les téléchargements automatiques, ou exécutez setup:upgrade pour installer la base de données incluse."
"Available (auto-update disabled)","Disponible (mise à jour automatique désactivée)"
Version:,Version :
Size:,Taille :
"Enter MaxMind credentials above to enable automatic weekly updates.","Entrez les identifiants MaxMind ci-dessus pour activer les mises à jour hebdomadaires automatiques."
"Available (auto-update enabled)","Disponible (mise à jour automatique activée)"
"Update database","Mettre à jour la base de données"
"Database updated successfully.","Base de données mise à jour avec succès."
Notice,Avis
"Database is up to date.","La base de données est à jour."
"An error occurred while downloading the database.","Une erreur s'est produite lors du téléchargement de la base de données."
"IP Geolocation","Géolocalisation IP"
"Account ID","ID de compte"
"License Key","Clé de licence"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Générer une clé de licence</a>"
Cron,Cron
Delete,Supprimer
"Delete items","Supprimer les éléments"
"Are you sure you want to delete selected items?","Êtes-vous sûr de vouloir supprimer les éléments sélectionnés?"
ID,ID
Code,Code
Messages,Messages
Created,Créé
Scheduled,Planifié
Finished,Terminé
