"%1 service is not properly configured or available","Služba %1 není správně nakonfigurována nebo není dostupná"
"Invalid AI request data","Neplatná data požadavku AI"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Globálně povolte nebo zakažte všechny funkce AI v rozšířeních Mirasvit.<br>Při zakázání budou všechny funkce AI nedostupné bez ohledu na individuální nastavení poskytovatele nebo nastavení AI v jiných modulech."
"Default AI provider","Výchozí poskytovatel AI"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","Vyberte primárního poskytovatele AI pro použití při konfiguraci více poskytovatelů.<br>Bude použit jako záložní poskytovatel pro všechny operace AI, když není požadován konkrétní poskytovatel."
"Request timeout","Časový limit požadavku"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","Maximální doba v sekundách pro čekání na odpovědi poskytovatele AI.<br> Ponechte prázdné pro zakázání časového limitu.<br> Toto nastavení ovlivní všechny funkce AI v jiných modulech."
"Maximum tokens per request","Maximální počet tokenů na požadavek"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","Maximální počet tokenů pro generování v jednom požadavku AI. Vyšší hodnoty umožňují delší odpovědi, ale zvyšují náklady.<br> Ponechte prázdné pro zakázání omezení.<br> Různí poskytovatelé a modely mají vlastní limity.<br> Toto nastavení ovlivní všechny funkce AI v jiných modulech."
"Default temperature","Výchozí teplota"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","Řídí náhodnost v odpovědích AI. Nižší hodnoty produkují konzistentnější výsledky, vyšší hodnoty kreativnější.<br>Příklad:<br><code>0.1</code> - velmi konzistentní, faktické odpovědi<br><code>0.7</code> - vyvážená kreativita a konzistence<br><code>1.0</code> - vysoce kreativní a rozmanité odpovědi.<br>Pokud je prázdné, použije se výchozí teplota 0.7.<br>Toto nastavení ovlivní všechny funkce AI v jiných modulech.<br>Některá rozšíření mohou toto nastavení přepsat."
"Debug mode","Režim ladění"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","Povolte podrobné protokolování požadavků a odpovědí AI pro účely ladění.<br>Varování: Může to protokolovat citlivá data a ovlivnit výkon. Používejte pouze pro vývoj."
"OpenAI Configuration","Konfigurace OpenAI"
"Enable OpenAI provider","Povolit poskytovatele OpenAI"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","Povolte OpenAI jako dostupného poskytovatele AI. Vyžaduje platnou konfiguraci klíče API."
"OpenAI API key","Klíč API OpenAI"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","Váš klíč API OpenAI začínající 'sk-'. Tento klíč je šifrován a bezpečně uložen.<br>Získejte svůj klíč API z: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","Výchozí model OpenAI"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","Vyberte výchozí model OpenAI pro operace AI. Různé modely mají různé schopnosti a ceny."
"Claude Configuration","Konfigurace Claude"
"Enable Claude provider","Povolit poskytovatele Claude"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Povolte Anthropic Claude jako dostupného poskytovatele AI. Vyžaduje platnou konfiguraci klíče API."
"Claude API key","Klíč API Claude"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","Váš klíč API Anthropic Claude začínající 'sk-ant-'. Tento klíč je šifrován a bezpečně uložen.<br>Získejte svůj klíč API z: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","Výchozí model Claude"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","Vyberte výchozí model Claude pro operace AI. Různé modely mají různé schopnosti a ceny."
"Google Gemini Configuration","Konfigurace Google Gemini"
"Enable Gemini provider","Povolit poskytovatele Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Povolte Google Gemini jako dostupného poskytovatele AI. Vyžaduje platnou konfiguraci klíče API."
"Gemini API key","Klíč API Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Váš klíč API Google AI Studio začínající 'AIza'. Tento klíč je šifrován a bezpečně uložen.<br>Získejte svůj klíč API z: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Výchozí model Gemini"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Vyberte výchozí model Gemini pro operace AI. Různé modely mají různé schopnosti a ceny."
"Determine visitor's country, city, and timezone based on their IP address.","Určete zemi, město a časové pásmo návštěvníka na základě jeho IP adresy."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Pro automatické aktualizace je vyžadován bezplatný účet <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind</a> (kontrola týdně)."
"Used by:","Používáno:"
message,zpráva
"Error downloading database: %1","Chyba při stahování databáze: %1"
"MaxMind credentials not configured","Přihlašovací údaje MaxMind nejsou nakonfigurovány"
"Failed to download remote hash","Stažení vzdáleného hashe se nezdařilo"
"Database is up to date","Databáze je aktuální"
"Failed to download and extract database","Stažení a rozbalení databáze se nezdařilo"
"Database updated successfully","Databáze byla úspěšně aktualizována"
"Download failed: %1","Stahování selhalo: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Toto rozšíření používá data GeoLite2 vytvořená společností MaxMind."
"Database available (auto-update enabled)","Databáze dostupná (automatická aktualizace povolena)"
"Database available (auto-update disabled)","Databáze dostupná (automatická aktualizace zakázána)"
Configure,Konfigurovat
"Database not available","Databáze není dostupná"
"Database status:","Stav databáze:"
"Not available","Nedostupné"
"Credentials configured. Click the button below to download the database.","Přihlašovací údaje nakonfigurovány. Klikněte na tlačítko níže pro stažení databáze."
"Download database","Stáhnout databázi"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Zadejte výše přihlašovací údaje MaxMind pro povolení automatického stahování, nebo spusťte setup:upgrade pro instalaci přibalené databáze."
"Available (auto-update disabled)","Dostupné (automatická aktualizace zakázána)"
Version:,Verze:
Size:,Velikost:
"Enter MaxMind credentials above to enable automatic weekly updates.","Zadejte výše přihlašovací údaje MaxMind pro povolení automatických týdenních aktualizací."
"Available (auto-update enabled)","Dostupné (automatická aktualizace povolena)"
"Update database","Aktualizovat databázi"
"Database updated successfully.","Databáze byla úspěšně aktualizována."
Notice,Oznámení
"Database is up to date.","Databáze je aktuální."
"An error occurred while downloading the database.","Při stahování databáze došlo k chybě."
"IP Geolocation","Geolokace IP"
"Account ID","ID účtu"
"License Key","Licenční klíč"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Vygenerovat licenční klíč</a>"
Cron,Cron
Delete,Smazat
"Delete items","Smazat položky"
"Are you sure you want to delete selected items?","Opravdu chcete smazat vybrané položky?"
ID,ID
Code,Kód
Messages,Zprávy
Created,Vytvořeno
Scheduled,Naplánováno
Finished,Dokončeno
