"%1 service is not properly configured or available","Služba %1 nie je správne nakonfigurovaná alebo nie je dostupná"
"Invalid AI request data","Neplatné údaje požiadavky AI"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Povoľte Google Gemini ako dostupného poskytovateľa AI. Vyžaduje platnú konfiguráciu API kľúča."
"Gemini API key","API kľúč Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","Váš API kľúč Google AI Studio začínajúci 'AIza'. Tento kľúč je šifrovaný a bezpečne uložený.<br>Získajte svoj API kľúč z: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Predvolený model Gemini"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Vyberte predvolený model Gemini pre operácie AI. Rôzne modely majú rôzne schopnosti a náklady."
"Determine visitor's country, city, and timezone based on their IP address.","Určte krajinu, mesto a časové pásmo návštevníka na základe jeho IP adresy."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","Pre automatické aktualizácie je potrebný bezplatný účet <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind</a> (kontrola týždenne)."
"Used by:","Používané:"
message,správa
"Error downloading database: %1","Chyba pri sťahovaní databázy: %1"
"MaxMind credentials not configured","Prihlasovacie údaje MaxMind nie sú nakonfigurované"
"Failed to download remote hash","Stiahnutie vzdialeného hashu zlyhalo"
"Database is up to date","Databáza je aktuálna"
"Failed to download and extract database","Stiahnutie a rozbalenie databázy zlyhalo"
"Database updated successfully","Databáza bola úspešne aktualizovaná"
"Download failed: %1","Sťahovanie zlyhalo: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Toto rozšírenie používa dáta GeoLite2 vytvorené spoločnosťou MaxMind."
"Database available (auto-update enabled)","Databáza dostupná (automatická aktualizácia povolená)"
"Database available (auto-update disabled)","Databáza dostupná (automatická aktualizácia zakázaná)"
Configure,Konfigurovať
"Database not available","Databáza nie je dostupná"
"Database status:","Stav databázy:"
"Not available","Nedostupné"
"Credentials configured. Click the button below to download the database.","Prihlasovacie údaje nakonfigurované. Kliknite na tlačidlo nižšie pre stiahnutie databázy."
"Download database","Stiahnuť databázu"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Zadajte vyššie prihlasovacie údaje MaxMind pre povolenie automatického sťahovania, alebo spustite setup:upgrade pre inštaláciu pribalenej databázy."
"Available (auto-update disabled)","Dostupné (automatická aktualizácia zakázaná)"
Version:,Verzia:
Size:,Veľkosť:
"Enter MaxMind credentials above to enable automatic weekly updates.","Zadajte vyššie prihlasovacie údaje MaxMind pre povolenie automatických týždenných aktualizácií."
"Available (auto-update enabled)","Dostupné (automatická aktualizácia povolená)"
"Update database","Aktualizovať databázu"
"Database updated successfully.","Databáza bola úspešne aktualizovaná."
Notice,Oznámenie
"Database is up to date.","Databáza je aktuálna."
"An error occurred while downloading the database.","Pri sťahovaní databázy došlo k chybe."
"IP Geolocation","IP geolokácia"
"Account ID","ID účtu"
"License Key","Licenčný kľúč"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Vygenerovať licenčný kľúč</a>"
Cron,Cron
Delete,Odstrániť
"Delete items","Odstrániť položky"
"Are you sure you want to delete selected items?","Ste si istí, že chcete odstrániť vybrané položky?"
ID,ID
Code,Kód
Messages,Správy
Created,Vytvorené
Scheduled,Naplánované
Finished,Dokončené
