"%1 service is not properly configured or available","%1 서비스가 올바르게 구성되지 않았거나 사용할 수 없습니다"
"Invalid AI request data","잘못된 AI 요청 데이터"
"View %1 details (opens in new window)","%1 세부 정보 보기(새 창에서 열림)"
Details,세부 정보
"View %1 user guide (opens in new window)","%1 사용자 가이드 보기(새 창에서 열림)"
"User Guide","사용자 가이드"
"View %1 changelog (opens in new window)","%1 변경 로그 보기(새 창에서 열림)"
Changelog,변경 로그
"Request new feature for %1 (opens in new window)","%1에 대한 새 기능 요청(새 창에서 열림)"
"Request New Feature","새 기능 요청"
"Installed Extensions","설치된 확장 프로그램"
"Check changes","변경 사항 확인"
"Validate All Extensions","모든 확장 프로그램 검증"
"Suggest Improvement","개선 제안"
"%1 (opens in new window)","%1(새 창에서 열림)"
"More Details","자세한 정보"
"Developer settings","개발자 설정"
"AI Provider Status","AI 공급자 상태"
"No AI providers are currently enabled. Please configure AI providers in %1.","현재 AI 공급자가 활성화되어 있지 않습니다. %1에서 AI 공급자를 구성하세요."
"%1 of %2 providers enabled. You can manage providers in %3.","%2개 중 %1개의 공급자가 활성화되었습니다. %3에서 공급자를 관리할 수 있습니다."
Enabled,활성화됨
Disabled,비활성화됨
"All tests have been passed","모든 테스트를 통과했습니다"
Module,모듈
Test,테스트
"How to fix","수정 방법"
Warning,경고
Info,정보
Failed,실패
Today,오늘
"Last 7 days","지난 7일"
"Last 30 days","지난 30일"
"Last 365 days","지난 365일"
"Mirasvit Extensions Validator","Mirasvit 확장 프로그램 검증기"
"Mirasvit Menu","Mirasvit 메뉴"
Core,Core
Mirasvit,Mirasvit
Extensions,확장 프로그램
"Mirasvit Marketplace","Mirasvit Marketplace"
"Mirasvit Extensions","Mirasvit 확장 프로그램"
Developer,개발자
"Menu Settings","메뉴 설정"
"Enable Mirasvit Menu","Mirasvit 메뉴 활성화"
"The menu is visible, if you have at least two active Mirasvit extensions.","최소 2개의 Mirasvit 확장 프로그램이 활성화되어 있으면 메뉴가 표시됩니다."
"Additional CSS Styles","추가 CSS 스타일"
"AI Configuration","AI 구성"
"Modules using AI","AI를 사용하는 모듈"
"Enable AI features","AI 기능 활성화"
"Globally enable or disable all AI-powered features across Mirasvit extensions.<br>When disabled, all AI functionality will be unavailable regardless of individual provider settings or AI settings in other modules.","Mirasvit 확장 프로그램 전체에서 모든 AI 기능을 전역적으로 활성화하거나 비활성화합니다.<br>비활성화하면 개별 공급자 설정이나 다른 모듈의 AI 설정에 관계없이 모든 AI 기능을 사용할 수 없습니다."
"Default AI provider","기본 AI 공급자"
"Select the primary AI provider to use when multiple providers are configured.<br>This will be used as the fallback provider for all AI operations when no specific provider is requested.","여러 공급자가 구성된 경우 사용할 기본 AI 공급자를 선택합니다.<br>특정 공급자가 요청되지 않을 때 모든 AI 작업의 대체 공급자로 사용됩니다."
"Request timeout","요청 제한 시간"
"Maximum time in seconds to wait for AI provider responses.<br> Leave empty to disable timeout.<br> This setting will affect all AI features in other modules.","AI 공급자 응답을 기다리는 최대 시간(초).<br> 제한 시간을 비활성화하려면 비워두세요.<br> 이 설정은 다른 모듈의 모든 AI 기능에 영향을 미칩니다."
"Maximum tokens per request","요청당 최대 토큰 수"
"Maximum number of tokens to generate in a single AI request. Higher values allow longer responses but increase costs.<br> Leave empty to disable limitation.<br> Different providers and models has their own limits.<br> This setting will affect all AI features in other modules.","단일 AI 요청에서 생성할 최대 토큰 수. 높은 값은 더 긴 응답을 허용하지만 비용이 증가합니다.<br> 제한을 비활성화하려면 비워두세요.<br> 공급자와 모델마다 고유한 제한이 있습니다.<br> 이 설정은 다른 모듈의 모든 AI 기능에 영향을 미칩니다."
"Default temperature","기본 온도"
"Controls randomness in AI responses. Lower values produce more consistent results, higher values more creative.<br>Example:<br><code>0.1</code> - very consistent, factual responses<br><code>0.7</code> - balanced creativity and consistency<br><code>1.0</code> - highly creative and varied responses.<br>If empty the default temperature 0.7 will be used.<br>This setting will affect all AI features in other modules.<br>Some extensions might override this setting.","AI 응답의 무작위성을 제어합니다. 낮은 값은 더 일관된 결과를, 높은 값은 더 창의적인 결과를 생성합니다.<br>예:<br><code>0.1</code> - 매우 일관되고 사실적인 응답<br><code>0.7</code> - 창의성과 일관성의 균형<br><code>1.0</code> - 매우 창의적이고 다양한 응답.<br>비어 있으면 기본 온도 0.7이 사용됩니다.<br>이 설정은 다른 모듈의 모든 AI 기능에 영향을 미칩니다.<br>일부 확장 프로그램은 이 설정을 재정의할 수 있습니다."
"Debug mode","디버그 모드"
"Enable detailed logging of AI requests and responses for debugging purposes.<br>Warning: This may log sensitive data and impact performance. Use only for development.","디버깅 목적으로 AI 요청 및 응답의 상세 로깅을 활성화합니다.<br>경고: 민감한 데이터가 기록되고 성능에 영향을 줄 수 있습니다. 개발 용도로만 사용하세요."
"OpenAI Configuration","OpenAI 구성"
"Enable OpenAI provider","OpenAI 공급자 활성화"
"Enable OpenAI as an available AI provider. Requires valid API key configuration.","OpenAI를 사용 가능한 AI 공급자로 활성화합니다. 유효한 API 키 구성이 필요합니다."
"OpenAI API key","OpenAI API 키"
"Your OpenAI API key starting with 'sk-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>","'sk-'로 시작하는 OpenAI API 키입니다. 이 키는 암호화되어 안전하게 저장됩니다.<br>API 키 받기: <a href=""https://platform.openai.com/api-keys"" target=""_blank"">OpenAI API Keys</a>"
"Default OpenAI model","기본 OpenAI 모델"
"Select the default OpenAI model for AI operations. Different models have varying capabilities and costs.","AI 작업에 사용할 기본 OpenAI 모델을 선택합니다. 모델마다 기능과 비용이 다릅니다."
"Claude Configuration","Claude 구성"
"Enable Claude provider","Claude 공급자 활성화"
"Enable Anthropic Claude as an available AI provider. Requires valid API key configuration.","Anthropic Claude를 사용 가능한 AI 공급자로 활성화합니다. 유효한 API 키 구성이 필요합니다."
"Claude API key","Claude API 키"
"Your Anthropic Claude API key starting with 'sk-ant-'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>","'sk-ant-'로 시작하는 Anthropic Claude API 키입니다. 이 키는 암호화되어 안전하게 저장됩니다.<br>API 키 받기: <a href=""https://console.anthropic.com/"" target=""_blank"">Anthropic Console</a>"
"Default Claude model","기본 Claude 모델"
"Select the default Claude model for AI operations. Different models have varying capabilities and costs.","AI 작업에 사용할 기본 Claude 모델을 선택합니다. 모델마다 기능과 비용이 다릅니다."
"Google Gemini Configuration","Google Gemini 구성"
"Enable Gemini provider","Gemini 공급자 활성화"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Google Gemini를 사용 가능한 AI 공급자로 활성화합니다. 유효한 API 키 구성이 필요합니다."
"Gemini API key","Gemini API 키"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","'AIza'로 시작하는 Google AI Studio API 키입니다. 이 키는 암호화되어 안전하게 저장됩니다.<br>API 키 받기: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","기본 Gemini 모델"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","AI 작업에 사용할 기본 Gemini 모델을 선택합니다. 모델마다 기능과 비용이 다릅니다."
"Determine visitor's country, city, and timezone based on their IP address.","방문자의 IP 주소를 기반으로 국가, 도시 및 시간대를 확인합니다."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","자동 업데이트를 위해 무료 <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind 계정</a>이 필요합니다(주간 확인)."
"Used by:","사용처:"
message,메시지
"Error downloading database: %1","데이터베이스 다운로드 오류: %1"
"MaxMind credentials not configured","MaxMind 자격 증명이 구성되지 않음"
"Failed to download remote hash","원격 해시 다운로드 실패"
"Database is up to date","데이터베이스가 최신 상태입니다"
"Failed to download and extract database","데이터베이스 다운로드 및 추출 실패"
"Database updated successfully","데이터베이스가 성공적으로 업데이트됨"
"Download failed: %1","다운로드 실패: %1"
"This extension uses GeoLite2 Data created by MaxMind.","이 확장 프로그램은 MaxMind에서 만든 GeoLite2 데이터를 사용합니다."
"Database available (auto-update enabled)","데이터베이스 사용 가능(자동 업데이트 활성화됨)"
"Database available (auto-update disabled)","데이터베이스 사용 가능(자동 업데이트 비활성화됨)"
Configure,구성
"Database not available","데이터베이스를 사용할 수 없음"
"Database status:","데이터베이스 상태:"
"Not available","사용 불가"
"Credentials configured. Click the button below to download the database.","자격 증명이 구성되었습니다. 아래 버튼을 클릭하여 데이터베이스를 다운로드하세요."
"Download database","데이터베이스 다운로드"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","자동 다운로드를 활성화하려면 위에 MaxMind 자격 증명을 입력하거나, setup:upgrade를 실행하여 번들된 데이터베이스를 설치하세요."
"Available (auto-update disabled)","사용 가능(자동 업데이트 비활성화됨)"
Version:,버전:
Size:,크기:
"Enter MaxMind credentials above to enable automatic weekly updates.","위에 MaxMind 자격 증명을 입력하여 자동 주간 업데이트를 활성화하세요."
"Available (auto-update enabled)","사용 가능(자동 업데이트 활성화됨)"
"Update database","데이터베이스 업데이트"
"Database updated successfully.","데이터베이스가 성공적으로 업데이트되었습니다."
Notice,알림
"Database is up to date.","데이터베이스가 최신 상태입니다."
"An error occurred while downloading the database.","데이터베이스를 다운로드하는 중 오류가 발생했습니다."
"IP Geolocation","IP 지리적 위치"
"Account ID","계정 ID"
"License Key","라이선스 키"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">라이선스 키 생성</a>"
Cron,Cron
Delete,삭제
"Delete items","항목 삭제"
"Are you sure you want to delete selected items?","선택한 항목을 삭제하시겠습니까?"
ID,ID
Code,코드
Messages,메시지
Created,생성됨
Scheduled,예약됨
Finished,완료됨
