"%1 service is not properly configured or available","%1 服务未正确配置或不可用"
"Invalid AI request data","无效的 AI 请求数据"
"Determine visitor's country, city, and timezone based on their IP address.","根据访客的IP地址确定其国家、城市和时区。"
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","自动更新需要免费的<a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind账户</a>（每周检查）。"
"Used by:","使用者："
message,消息
"Error downloading database: %1","下载数据库错误：%1"
"MaxMind credentials not configured","MaxMind凭据未配置"
"Failed to download remote hash","下载远程哈希失败"
"Database is up to date","数据库已是最新"
"Failed to download and extract database","下载和解压数据库失败"
"Database updated successfully","数据库更新成功"
"Download failed: %1","下载失败：%1"
"This extension uses GeoLite2 Data created by MaxMind.","此扩展使用由MaxMind创建的GeoLite2数据。"
"Database available (auto-update enabled)","数据库可用（自动更新已启用）"
"Database available (auto-update disabled)","数据库可用（自动更新已禁用）"
Configure,配置
"Database not available","数据库不可用"
"Database status:","数据库状态："
"Not available","不可用"
"Credentials configured. Click the button below to download the database.","凭据已配置。点击下面的按钮下载数据库。"
"Download database","下载数据库"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","在上方输入MaxMind凭据以启用自动下载，或运行setup:upgrade安装捆绑的数据库。"
"Available (auto-update disabled)","可用（自动更新已禁用）"
Version:,版本：
Size:,大小：
"Enter MaxMind credentials above to enable automatic weekly updates.","在上方输入MaxMind凭据以启用自动每周更新。"
"Available (auto-update enabled)","可用（自动更新已启用）"
"Update database","更新数据库"
"Database updated successfully.","数据库更新成功。"
Notice,通知
"Database is up to date.","数据库已是最新。"
"An error occurred while downloading the database.","下载数据库时发生错误。"
"IP Geolocation","IP地理定位"
"Account ID","账户ID"
"License Key","许可证密钥"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">生成许可证密钥</a>"
Cron,Cron
Delete,删除
"Delete items","删除项目"
"Are you sure you want to delete selected items?","您确定要删除所选项目吗？"
ID,ID
Code,代码
Messages,消息
Created,创建时间
Scheduled,计划时间
Finished,完成时间
