"%1 service is not properly configured or available","Il servizio %1 non è configurato correttamente o non è disponibile"
"Google Gemini Configuration","Configurazione Google Gemini"
"Enable Gemini provider","Abilita provider Gemini"
"Enable Google Gemini as an available AI provider. Requires valid API key configuration.","Abilita Google Gemini come provider AI disponibile. Richiede una configurazione valida della chiave API."
"Gemini API key","Chiave API Gemini"
"Your Google AI Studio API key starting with 'AIza'. This key is encrypted and stored securely.<br>Get your API key from: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>","La tua chiave API Google AI Studio che inizia con 'AIza'. Questa chiave è crittografata e memorizzata in modo sicuro.<br>Ottieni la tua chiave API da: <a href=""https://aistudio.google.com/app/apikey"" target=""_blank"">Google AI Studio</a>"
"Default Gemini model","Modello Gemini predefinito"
"Select the default Gemini model for AI operations. Different models have varying capabilities and costs.","Seleziona il modello Gemini predefinito per le operazioni AI. Modelli diversi hanno capacità e costi differenti."
"Determine visitor's country, city, and timezone based on their IP address.","Determina il paese, la città e il fuso orario del visitatore in base al suo indirizzo IP."
"Free <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind account</a> required for automatic updates (checked weekly).","È richiesto un account <a href=""https://www.maxmind.com/en/geolite2/signup"" target=""_blank"">MaxMind gratuito</a> per gli aggiornamenti automatici (controllo settimanale)."
"Used by:","Utilizzato da:"
message,messaggio
"Error downloading database: %1","Errore durante il download del database: %1"
"MaxMind credentials not configured","Credenziali MaxMind non configurate"
"Failed to download remote hash","Download dell'hash remoto non riuscito"
"Database is up to date","Il database è aggiornato"
"Failed to download and extract database","Download ed estrazione del database non riusciti"
"Database updated successfully","Database aggiornato con successo"
"Download failed: %1","Download non riuscito: %1"
"This extension uses GeoLite2 Data created by MaxMind.","Questa estensione utilizza i dati GeoLite2 creati da MaxMind."
"Database available (auto-update enabled)","Database disponibile (aggiornamento automatico abilitato)"
"Database available (auto-update disabled)","Database disponibile (aggiornamento automatico disabilitato)"
Configure,Configura
"Database not available","Database non disponibile"
"Database status:","Stato del database:"
"Not available","Non disponibile"
"Credentials configured. Click the button below to download the database.","Credenziali configurate. Fai clic sul pulsante qui sotto per scaricare il database."
"Download database","Scarica database"
"Enter MaxMind credentials above to enable automatic database downloads, or run setup:upgrade to install the bundled database.","Inserisci le credenziali MaxMind sopra per abilitare i download automatici, oppure esegui setup:upgrade per installare il database incluso."
"Available (auto-update disabled)","Disponibile (aggiornamento automatico disabilitato)"
Version:,Versione:
Size:,Dimensione:
"Enter MaxMind credentials above to enable automatic weekly updates.","Inserisci le credenziali MaxMind sopra per abilitare gli aggiornamenti settimanali automatici."
"Available (auto-update enabled)","Disponibile (aggiornamento automatico abilitato)"
"Update database","Aggiorna database"
"Database updated successfully.","Database aggiornato con successo."
Notice,Avviso
"Database is up to date.","Il database è aggiornato."
"An error occurred while downloading the database.","Si è verificato un errore durante il download del database."
"IP Geolocation","Geolocalizzazione IP"
"Account ID","ID account"
"License Key","Chiave di licenza"
"<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Generate license key</a>","<a href=""https://www.maxmind.com/en/account/license-key"" target=""_blank"">Genera chiave di licenza</a>"
Cron,Cron
Delete,Elimina
"Delete items","Elimina elementi"
"Are you sure you want to delete selected items?","Sei sicuro di voler eliminare gli elementi selezionati?"
ID,ID
Code,Codice
Messages,Messaggi
Created,Creato
Scheduled,Pianificato
Finished,Terminato
